grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b40_heavy_work_r1,SPT,38,BLK_38S,1,판계,1,2025-10-28 08:00:00,2025-10-28 08:14:24,14.4,,공통
b40_heavy_work_r1,SPT,38,BLK_38S,1,전면SAW,2,2025-10-28 08:14:24,2025-10-28 09:04:19,49.9,,공통
b40_heavy_work_r1,SPT,38,BLK_38S,1,TurnOver,3,2025-10-28 09:04:19,2025-10-28 09:18:43,14.4,,공통
b40_heavy_work_r1,SPT,38,BLK_38S,1,후면SAW,4,2025-10-28 09:18:43,2025-10-28 09:59:05,40.4,,공통
b40_heavy_work_r1,SPT,38,BLK_38S,1,NC,5,2025-10-28 09:59:05,2025-10-28 10:23:56,24.9,,공통
b40_heavy_work_r1,SPT,38,BLK_38S,1,베이35A 론지취부,6,2025-10-28 10:23:56,2025-10-28 10:56:56,33.0,35A,베이35A
b40_heavy_work_r1,SPT,38,BLK_38S,1,베이35A 론지용접,7,2025-10-28 10:56:56,2025-10-28 11:11:20,14.4,35A,베이35A
b40_heavy_work_r1,SPT,38,BLK_38S,1,베이35A 수정,8,2025-10-28 11:11:20,2025-10-28 11:30:32,19.2,35A,베이35A
b40_heavy_work_r1,SPT,18,BLK_18C,2,판계,1,2025-10-28 08:14:24,2025-10-28 08:28:48,14.4,,공통
b40_heavy_work_r1,SPT,18,BLK_18C,2,전면SAW,2,2025-10-28 09:04:19,2025-10-28 09:52:26,48.1,,공통
b40_heavy_work_r1,SPT,18,BLK_18C,2,TurnOver,3,2025-10-28 09:52:26,2025-10-28 10:06:50,14.4,,공통
b40_heavy_work_r1,SPT,18,BLK_18C,2,후면SAW,4,2025-10-28 10:06:50,2025-10-28 10:44:47,38.0,,공통
b40_heavy_work_r1,SPT,18,BLK_18C,2,NC,5,2025-10-28 10:44:47,2025-10-28 11:09:13,24.4,,공통
b40_heavy_work_r1,SPT,18,BLK_18C,2,베이36B 론지취부,6,2025-10-28 11:09:13,2025-10-28 11:59:01,49.8,36B,베이36B
b40_heavy_work_r1,SPT,18,BLK_18C,2,베이36B 론지용접,7,2025-10-28 11:59:01,2025-10-28 12:16:18,17.3,36B,베이36B
b40_heavy_work_r1,SPT,18,BLK_18C,2,베이36B 수정,8,2025-10-28 12:16:18,2025-10-28 12:46:04,29.8,36B,베이36B
b40_heavy_work_r1,SPT,28,BLK_28C,3,판계,1,2025-10-28 08:28:48,2025-10-28 08:43:12,14.4,,공통
b40_heavy_work_r1,SPT,28,BLK_28C,3,전면SAW,2,2025-10-28 09:52:26,2025-10-28 11:15:33,83.1,,공통
b40_heavy_work_r1,SPT,28,BLK_28C,3,TurnOver,3,2025-10-28 11:15:33,2025-10-28 11:29:57,14.4,,공통
b40_heavy_work_r1,SPT,28,BLK_28C,3,후면SAW,4,2025-10-28 11:29:57,2025-10-28 12:53:58,84.0,,공통
b40_heavy_work_r1,SPT,28,BLK_28C,3,NC,5,2025-10-28 12:53:58,2025-10-28 13:21:43,27.8,,공통
b40_heavy_work_r1,SPT,28,BLK_28C,3,베이35A 론지취부,6,2025-10-28 13:21:43,2025-10-28 14:24:07,62.4,35A,베이35A
b40_heavy_work_r1,SPT,28,BLK_28C,3,베이35A 론지용접,7,2025-10-28 14:24:07,2025-10-28 14:48:22,24.2,35A,베이35A
b40_heavy_work_r1,SPT,28,BLK_28C,3,베이35A 수정,8,2025-10-28 14:48:22,2025-10-28 15:26:03,37.7,35A,베이35A
b40_heavy_work_r1,SPT,5,BLK_5S,4,판계,1,2025-10-28 08:43:12,2025-10-28 08:57:36,14.4,,공통
b40_heavy_work_r1,SPT,5,BLK_5S,4,전면SAW,2,2025-10-28 11:15:33,2025-10-28 12:00:05,44.5,,공통
b40_heavy_work_r1,SPT,5,BLK_5S,4,TurnOver,3,2025-10-28 12:00:05,2025-10-28 12:14:29,14.4,,공통
b40_heavy_work_r1,SPT,5,BLK_5S,4,후면SAW,4,2025-10-28 12:53:58,2025-10-28 13:27:13,33.3,,공통
b40_heavy_work_r1,SPT,5,BLK_5S,4,NC,5,2025-10-28 13:27:13,2025-10-28 13:52:40,25.5,,공통
b40_heavy_work_r1,SPT,5,BLK_5S,4,베이36B 론지취부,6,2025-10-28 13:52:40,2025-10-28 14:13:04,20.4,36B,베이36B
b40_heavy_work_r1,SPT,5,BLK_5S,4,베이36B 론지용접,7,2025-10-28 14:13:04,2025-10-28 14:25:19,12.2,36B,베이36B
b40_heavy_work_r1,SPT,5,BLK_5S,4,베이36B 수정,8,2025-10-28 14:25:19,2025-10-28 14:36:36,11.3,36B,베이36B
b40_heavy_work_r1,SPT,9,BLK_9P,5,판계,1,2025-10-28 08:57:36,2025-10-28 09:21:36,24.0,,공통
b40_heavy_work_r1,SPT,9,BLK_9P,5,전면SAW,2,2025-10-28 12:00:05,2025-10-28 12:55:45,55.7,,공통
b40_heavy_work_r1,SPT,9,BLK_9P,5,TurnOver,3,2025-10-28 12:55:45,2025-10-28 13:10:09,14.4,,공통
b40_heavy_work_r1,SPT,9,BLK_9P,5,후면SAW,4,2025-10-28 13:27:13,2025-10-28 14:15:09,47.9,,공통
b40_heavy_work_r1,SPT,9,BLK_9P,5,NC,5,2025-10-28 14:15:09,2025-10-28 14:48:41,33.5,,공통
b40_heavy_work_r1,SPT,9,BLK_9P,5,베이35A 론지취부,6,2025-10-28 14:48:41,2025-10-28 15:46:53,58.2,35A,베이35A
b40_heavy_work_r1,SPT,9,BLK_9P,5,베이35A 론지용접,7,2025-10-28 15:46:53,2025-10-28 16:10:24,23.5,35A,베이35A
