grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,17,BLK_17C,1,판계,1,2025-03-28 08:00:00,2025-03-28 08:44:00,44.0,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,17,BLK_17C,1,전면SAW,2,2025-03-28 08:44:00,2025-03-28 11:43:45,179.8,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,17,BLK_17C,1,TurnOver,3,2025-03-28 11:43:45,2025-03-28 11:56:57,13.2,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,17,BLK_17C,1,후면SAW,4,2025-03-28 11:56:57,2025-03-28 14:09:54,132.9,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,17,BLK_17C,1,NC,5,2025-03-28 14:09:54,2025-03-28 15:03:02,53.1,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,17,BLK_17C,1,베이35A 론지취부,6,2025-03-28 15:03:02,2025-03-28 16:57:59,115.0,35A,베이35A,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,17,BLK_17C,1,베이35A 론지용접,7,2025-03-28 16:57:59,2025-03-28 17:30:06,32.1,35A,베이35A,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,17,BLK_17C,1,베이35A 수정,8,2025-03-28 17:30:06,2025-03-28 18:40:56,70.8,35A,베이35A,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,27,BLK_27P,2,판계,1,2025-03-28 08:44:00,2025-03-28 09:22:30,38.5,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,27,BLK_27P,2,전면SAW,2,2025-03-28 11:43:45,2025-03-28 14:09:57,146.2,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,27,BLK_27P,2,TurnOver,3,2025-03-28 14:09:57,2025-03-28 14:23:09,13.2,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,27,BLK_27P,2,후면SAW,4,2025-03-28 14:23:09,2025-03-28 16:27:54,124.8,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,27,BLK_27P,2,NC,5,2025-03-28 16:27:54,2025-03-28 17:07:05,39.2,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,27,BLK_27P,2,베이36B 론지취부,6,2025-03-28 17:07:05,2025-03-28 17:52:44,45.7,36B,베이36B,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,27,BLK_27P,2,베이36B 론지용접,7,2025-03-28 17:52:44,2025-03-28 18:08:35,15.8,36B,베이36B,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,27,BLK_27P,2,베이36B 수정,8,2025-03-28 18:08:35,2025-03-28 18:35:51,27.3,36B,베이36B,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,13,BLK_13S,3,판계,1,2025-03-28 09:22:30,2025-03-28 09:55:30,33.0,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,13,BLK_13S,3,전면SAW,2,2025-03-28 14:09:57,2025-03-28 14:48:25,38.5,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,13,BLK_13S,3,TurnOver,3,2025-03-28 14:48:25,2025-03-28 15:01:37,13.2,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,13,BLK_13S,3,후면SAW,4,2025-03-28 16:27:54,2025-03-28 16:55:18,27.4,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,13,BLK_13S,3,NC,5,2025-03-28 17:07:05,2025-03-28 17:57:24,50.3,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,13,BLK_13S,3,베이36B 론지취부,6,2025-03-28 17:57:24,2025-03-28 19:56:12,118.8,36B,베이36B,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,13,BLK_13S,3,베이36B 론지용접,7,2025-03-28 19:56:12,2025-03-28 20:28:59,32.8,36B,베이36B,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,13,BLK_13S,3,베이36B 수정,8,2025-03-28 20:28:59,2025-03-28 21:42:15,73.3,36B,베이36B,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,37,BLK_37S,4,판계,1,2025-03-28 09:55:30,2025-03-28 10:31:48,36.3,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,37,BLK_37S,4,전면SAW,2,2025-03-28 14:48:25,2025-03-28 16:11:51,83.4,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,37,BLK_37S,4,TurnOver,3,2025-03-28 16:11:51,2025-03-28 16:25:03,13.2,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,37,BLK_37S,4,후면SAW,4,2025-03-28 16:55:18,2025-03-28 17:57:54,62.6,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,37,BLK_37S,4,NC,5,2025-03-28 17:57:54,2025-03-28 18:37:17,39.4,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,37,BLK_37S,4,베이35A 론지취부,6,2025-03-28 18:37:17,2025-03-28 19:30:38,53.4,35A,베이35A,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,37,BLK_37S,4,베이35A 론지용접,7,2025-03-28 19:30:38,2025-03-28 19:52:11,21.6,35A,베이35A,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,37,BLK_37S,4,베이35A 수정,8,2025-03-28 19:52:11,2025-03-28 20:24:18,32.1,35A,베이35A,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,1,BLK_1C,5,판계,1,2025-03-28 10:31:48,2025-03-28 10:59:18,27.5,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,1,BLK_1C,5,전면SAW,2,2025-03-28 16:11:51,2025-03-28 16:48:58,37.1,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,1,BLK_1C,5,TurnOver,3,2025-03-28 16:48:58,2025-03-28 17:02:10,13.2,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,1,BLK_1C,5,후면SAW,4,2025-03-28 17:57:54,2025-03-28 18:23:29,25.6,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,1,BLK_1C,5,NC,5,2025-03-28 18:37:17,2025-03-28 19:16:02,38.8,,공통,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,1,BLK_1C,5,베이36B 론지취부,6,2025-03-28 19:56:12,2025-03-28 21:08:48,72.6,36B,베이36B,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,1,BLK_1C,5,베이36B 론지용접,7,2025-03-28 21:08:48,2025-03-28 21:33:40,24.9,36B,베이36B,raw,
b40_overload_r1,Proposed,Small (20-80),40,overload,77.13333333333334,1,20250328,1,BLK_1C,5,베이36B 수정,8,2025-03-28 21:42:15,2025-03-28 22:26:28,44.2,36B,베이36B,raw,
