grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,5,BLK_5S,1,판계,1,2025-04-08 08:00:00,2025-04-08 08:20:00,20.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,5,BLK_5S,1,전면SAW,2,2025-04-08 08:20:00,2025-04-08 08:55:09,35.2,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,5,BLK_5S,1,TurnOver,3,2025-04-08 08:55:09,2025-04-08 09:07:09,12.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,5,BLK_5S,1,후면SAW,4,2025-04-08 09:07:09,2025-04-08 09:32:18,25.1,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,5,BLK_5S,1,NC,5,2025-04-08 09:32:18,2025-04-08 09:59:16,27.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,5,BLK_5S,1,베이35A 론지취부,6,2025-04-08 09:59:16,2025-04-08 10:30:16,31.0,35A,베이35A,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,5,BLK_5S,1,베이35A 론지용접,7,2025-04-08 10:30:16,2025-04-08 10:42:52,12.6,35A,베이35A,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,5,BLK_5S,1,베이35A 수정,8,2025-04-08 10:42:52,2025-04-08 11:01:04,18.2,35A,베이35A,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,9,BLK_9C,2,판계,1,2025-04-08 08:20:00,2025-04-08 08:45:00,25.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,9,BLK_9C,2,전면SAW,2,2025-04-08 08:55:09,2025-04-08 09:25:57,30.8,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,9,BLK_9C,2,TurnOver,3,2025-04-08 09:25:57,2025-04-08 09:37:57,12.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,9,BLK_9C,2,후면SAW,4,2025-04-08 09:37:57,2025-04-08 09:57:21,19.4,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,9,BLK_9C,2,NC,5,2025-04-08 09:59:16,2025-04-08 10:31:33,32.3,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,9,BLK_9C,2,베이36B 론지취부,6,2025-04-08 10:31:33,2025-04-08 11:09:33,38.0,36B,베이36B,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,9,BLK_9C,2,베이36B 론지용접,7,2025-04-08 11:09:33,2025-04-08 11:27:21,17.8,36B,베이36B,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,9,BLK_9C,2,베이36B 수정,8,2025-04-08 11:27:21,2025-04-08 11:49:57,22.6,36B,베이36B,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,17,BLK_17C,3,판계,1,2025-04-08 08:45:00,2025-04-08 09:10:00,25.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,17,BLK_17C,3,전면SAW,2,2025-04-08 09:25:57,2025-04-08 09:57:51,31.9,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,17,BLK_17C,3,TurnOver,3,2025-04-08 09:57:51,2025-04-08 10:09:51,12.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,17,BLK_17C,3,후면SAW,4,2025-04-08 10:09:51,2025-04-08 10:30:41,20.8,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,17,BLK_17C,3,NC,5,2025-04-08 10:31:33,2025-04-08 11:09:08,37.6,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,17,BLK_17C,3,베이35A 론지취부,6,2025-04-08 11:09:08,2025-04-08 12:22:08,73.0,35A,베이35A,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,17,BLK_17C,3,베이35A 론지용접,7,2025-04-08 12:22:08,2025-04-08 12:45:56,23.8,35A,베이35A,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,17,BLK_17C,3,베이35A 수정,8,2025-04-08 12:45:56,2025-04-08 13:30:32,44.6,35A,베이35A,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,1,BLK_1C,4,판계,1,2025-04-08 09:10:00,2025-04-08 10:02:00,52.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,1,BLK_1C,4,전면SAW,2,2025-04-08 10:02:00,2025-04-08 10:39:26,37.4,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,1,BLK_1C,4,TurnOver,3,2025-04-08 10:39:26,2025-04-08 10:51:26,12.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,1,BLK_1C,4,후면SAW,4,2025-04-08 10:51:26,2025-04-08 11:19:34,28.1,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,1,BLK_1C,4,NC,5,2025-04-08 11:19:34,2025-04-08 12:20:32,61.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,1,BLK_1C,4,베이36B 론지취부,6,2025-04-08 12:20:32,2025-04-08 13:58:02,97.5,36B,베이36B,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,1,BLK_1C,4,베이36B 론지용접,7,2025-04-08 13:58:02,2025-04-08 14:26:02,28.0,36B,베이36B,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,1,BLK_1C,4,베이36B 수정,8,2025-04-08 14:26:02,2025-04-08 15:26:02,60.0,36B,베이36B,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,13,BLK_13S,5,판계,1,2025-04-08 10:02:00,2025-04-08 10:40:00,38.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,13,BLK_13S,5,전면SAW,2,2025-04-08 10:40:00,2025-04-08 12:18:14,98.2,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,13,BLK_13S,5,TurnOver,3,2025-04-08 12:18:14,2025-04-08 12:30:14,12.0,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,13,BLK_13S,5,후면SAW,4,2025-04-08 12:30:14,2025-04-08 14:06:47,96.5,,공통,raw,
b50_base_r1,MSF,Small (20-80),50,base,69.21666666666667,9,20250408,13,BLK_13S,5,NC,5,2025-04-08 14:06:47,2025-04-08 14:52:47,46.0,,공통,raw,
