grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b50_base_r1,Proposed,13,BLK_13S,1,36B,381.8,S,line,L_1,22.8,10,4,1,0,2025-04-08 08:00,2025-04-08 14:21,2025-04-08 14:21
b50_base_r1,Proposed,17,BLK_17C,2,35A,268.7,C,line,L_1,16.5,18,3,0,0,2025-04-08 08:38,2025-04-08 15:49,2025-04-08 15:49
b50_base_r1,Proposed,42,BLK_42S,3,36B,379.3,S,fixed,F_10,15.4,14,4,1,0,2025-04-08 09:03,2025-04-08 16:29,2025-04-08 16:29
b50_base_r1,Proposed,21,BLK_21C,4,35A,288.9,C,fixed,F_1,14.0,9,3,0,0,2025-04-08 09:41,2025-04-08 16:39,2025-04-08 16:39
b50_base_r1,Proposed,41,BLK_41P,5,36B,332.1,P,fixed,F_1,6.7,3,2,2,0,2025-04-08 10:14,2025-04-08 18:29,2025-04-08 18:29
b50_base_r1,Proposed,32,BLK_32P,6,35A,279.9,P,fixed,F_10,9.2,11,1,0,0,2025-04-08 10:49,2025-04-08 20:19,2025-04-08 20:19
b50_base_r1,Proposed,31,BLK_31S,7,36B,277.4,S,fixed,F_1,15.3,18,4,0,0,2025-04-08 11:01,2025-04-08 21:45,2025-04-08 21:45
b50_base_r1,Proposed,22,BLK_22C,8,35A,259.4,C,fixed,F_10,15.7,17,3,0,0,2025-04-08 11:31,2025-04-08 22:13,2025-04-08 22:13
b50_base_r1,Proposed,1,BLK_1C,9,36B,376.0,C,line,L_1,21.2,25,4,0,0,2025-04-08 11:56,2025-04-09 00:05,2025-04-09 00:05
b50_base_r1,Proposed,9,BLK_9C,10,35A,197.9,C,line,L_1,15.3,8,3,0,0,2025-04-08 12:48,2025-04-08 22:50,2025-04-08 22:50
b50_base_r1,Proposed,14,BLK_14P,11,36B,447.3,P,line,L_1,14.6,14,4,3,0,2025-04-08 13:13,2025-04-09 01:33,2025-04-09 01:33
b50_base_r1,Proposed,5,BLK_5S,12,35A,181.1,S,line,L_1,7.4,6,2,0,0,2025-04-08 13:58,2025-04-09 01:06,2025-04-09 01:06
b50_base_r1,Proposed,33,BLK_33S,13,36B,440.7,S,fixed,F_2,13.6,21,4,1,0,2025-04-08 14:18,2025-04-09 04:18,2025-04-09 04:18
b50_base_r1,Proposed,2,BLK_2C,14,35A,541.9,C,line,L_1,16.9,18,3,0,0,2025-04-08 14:56,2025-04-09 07:47,2025-04-09 07:47
b50_base_r1,Proposed,6,BLK_6C,15,36B,292.3,C,line,L_1,14.5,22,2,0,0,2025-04-08 15:29,2025-04-09 08:43,2025-04-09 08:43
b50_base_r1,Proposed,43,BLK_43C,16,35A,276.0,C,fixed,F_2,19.4,17,4,0,0,2025-04-08 15:49,2025-04-09 08:56,2025-04-09 08:56
b50_base_r1,Proposed,23,BLK_23C,17,36B,223.5,C,fixed,F_2,8.7,12,3,0,0,2025-04-08 16:19,2025-04-09 09:14,2025-04-09 09:14
b50_base_r1,Proposed,18,BLK_18S,18,36B,377.6,S,line,L_1,21.2,25,6,0,0,2025-04-08 16:44,2025-04-09 11:21,2025-04-09 11:21
b50_base_r1,Proposed,10,BLK_10C,19,35A,328.8,C,line,L_1,19.9,25,4,0,0,2025-04-08 17:29,2025-04-09 11:59,2025-04-09 11:59
b50_base_r1,Proposed,12,BLK_12C,20,36B,341.0,C,line,L_2,15.6,21,2,0,0,2025-04-08 17:59,2025-04-09 12:33,2025-04-09 12:33
b50_base_r1,Proposed,37,BLK_37P,21,35A,216.4,P,fixed,F_6,5.4,6,2,0,0,2025-04-08 18:19,2025-04-09 12:17,2025-04-09 12:17
b50_base_r1,Proposed,20,BLK_20C,22,36B,519.1,C,line,L_2,15.9,16,3,2,0,2025-04-09 08:00,2025-04-09 16:39,2025-04-09 16:39
b50_base_r1,Proposed,4,BLK_4C,23,35A,469.1,C,line,L_2,19.9,19,4,0,0,2025-04-09 08:40,2025-04-09 18:46,2025-04-09 18:46
b50_base_r1,Proposed,15,BLK_15S,24,36B,397.9,S,line,L_2,15.6,15,3,1,0,2025-04-09 09:10,2025-04-09 19:41,2025-04-09 19:41
b50_base_r1,Proposed,16,BLK_16S,25,35A,328.2,S,line,L_2,19.9,23,4,0,0,2025-04-09 09:43,2025-04-09 21:13,2025-04-09 21:13
b50_base_r1,Proposed,8,BLK_8P,26,36B,459.3,P,line,L_2,12.6,13,3,2,0,2025-04-09 10:13,2025-04-09 23:01,2025-04-09 23:01
b50_base_r1,Proposed,3,BLK_3C,27,36B,361.9,C,line,L_2,23.3,11,4,0,0,2025-04-09 10:53,2025-04-10 00:05,2025-04-10 00:05
b50_base_r1,Proposed,19,BLK_19C,28,35A,357.4,C,line,L_2,12.6,13,4,1,0,2025-04-09 11:23,2025-04-10 01:27,2025-04-10 01:27
b50_base_r1,Proposed,29,BLK_29C,29,36B,322.6,C,fixed,F_8,22.8,24,4,0,0,2025-04-09 12:01,2025-04-10 03:27,2025-04-10 03:27
b50_base_r1,Proposed,7,BLK_7S,30,35A,322.0,S,line,L_2,19.9,21,4,0,0,2025-04-09 12:31,2025-04-10 03:50,2025-04-10 03:50
b50_base_r1,Proposed,11,BLK_11C,31,36B,320.0,C,line,L_2,18.1,20,4,0,0,2025-04-09 13:01,2025-04-10 04:36,2025-04-10 04:36
b50_base_r1,Proposed,47,BLK_47S,32,35A,551.0,S,fixed,F_6,15.6,25,4,2,0,2025-04-09 13:31,2025-04-10 07:58,2025-04-10 07:58
b50_base_r1,Proposed,27,BLK_27C,33,36B,191.2,C,fixed,F_6,5.4,8,2,0,0,2025-04-09 14:16,2025-04-10 06:43,2025-04-10 06:43
b50_base_r1,Proposed,39,BLK_39S,34,35A,426.5,S,fixed,F_8,13.6,15,3,2,0,2025-04-09 14:36,2025-04-10 08:56,2025-04-10 08:56
b50_base_r1,Proposed,49,BLK_49C,35,36B,155.7,C,fixed,F_8,6.8,2,1,0,0,2025-04-09 15:16,2025-04-10 07:52,2025-04-10 07:52
b50_base_r1,Proposed,26,BLK_26C,36,36B,380.8,C,fixed,F_5,28.9,24,4,0,0,2025-04-09 15:28,2025-04-10 11:18,2025-04-10 11:18
b50_base_r1,Proposed,46,BLK_46S,37,35A,190.2,S,fixed,F_5,5.6,2,1,0,0,2025-04-09 16:20,2025-04-10 09:16,2025-04-10 09:16
b50_base_r1,Proposed,35,BLK_35C,38,36B,503.2,C,fixed,F_4,12.4,12,2,2,0,2025-04-09 16:32,2025-04-10 14:38,2025-04-10 14:38
b50_base_r1,Proposed,36,BLK_36P,39,36B,371.3,P,fixed,F_5,23.3,22,6,0,0,2025-04-09 17:07,2025-04-10 16:39,2025-04-10 16:39
b50_base_r1,Proposed,38,BLK_38S,40,35A,463.6,S,fixed,F_7,13.6,13,1,1,0,2025-04-09 17:52,2025-04-10 18:01,2025-04-10 18:01
b50_base_r1,Proposed,28,BLK_28C,41,36B,320.1,C,fixed,F_7,17.4,19,4,0,0,2025-04-10 08:00,2025-04-10 13:44,2025-04-10 13:44
b50_base_r1,Proposed,50,BLK_50C,42,35A,586.1,C,fixed,F_9,16.6,18,3,2,0,2025-04-10 08:30,2025-04-10 18:22,2025-04-10 18:22
b50_base_r1,Proposed,40,BLK_40C,43,36B,279.1,C,fixed,F_9,16.5,17,5,0,0,2025-04-10 09:10,2025-04-10 19:03,2025-04-10 19:03
b50_base_r1,Proposed,45,BLK_45C,44,35A,399.2,C,fixed,F_4,7.4,13,1,1,0,2025-04-10 09:40,2025-04-10 19:36,2025-04-10 19:36
b50_base_r1,Proposed,44,BLK_44S,45,36B,253.0,S,fixed,F_3,14.5,14,3,0,0,2025-04-10 10:00,2025-04-10 20:19,2025-04-10 20:19
