grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,1,5,BLK_5S,S,line,L_1,L_11,2025-01-20,16.4,16,4,0,False,7,35A,False,313.1,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 08:00,2025-01-20 08:30,2025-01-20 13:13,2025-01-20 08:00,2025-01-20 13:13,313.1,5.22,30.0,40.7,14.4,28.2,45.3,79.2,27.1,48.2
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,2,1,BLK_1C,C,line,L_1,L_11,2025-01-20,17.4,20,5,0,False,8,36B,False,351.5,True,NORMAL,False,0,0,1,[],[],[],2025-01-20 08:30,2025-01-20 09:10,2025-01-20 14:33,2025-01-20 08:30,2025-01-20 14:33,393.9,6.57,36.0,39.3,14.4,26.4,50.6,96.0,30.0,58.8
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,3,9,BLK_9C,C,line,L_1,L_11,2025-01-20,22.5,27,5,2,False,10,36B,False,749.0,True,NORMAL,True,1,1,2,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 3판 연속 → 최대 2판'],2025-01-20 09:06,2025-01-20 10:00,2025-01-20 21:35,2025-01-20 09:06,2025-01-20 21:35,815.0,13.58,54.0,215.2,14.4,160.3,67.4,125.4,35.0,77.3
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,3,50,BLK_9C,C,line,L_1,L_11,2025-01-20,22.5,27,5,2,False,10,36B,False,749.0,True,NORMAL,True,0,0,0,[],[],[],2025-01-20 09:06,2025-01-20 10:00,2025-01-20 21:35,2025-01-20 09:06,2025-01-20 21:35,815.0,13.58,54.0,215.2,14.4,160.3,67.4,125.4,35.0,77.3
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,4,17,BLK_17P,P,line,L_1,L_11,2025-01-21,9.1,7,4,0,False,5,35A,False,230.8,True,NORMAL,False,1,1,2,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 4판 연속 → 최대 2판'],2025-01-20 10:00,2025-01-20 13:35,2025-01-20 19:42,2025-01-20 10:00,2025-01-20 19:42,815.0,13.58,30.0,37.3,14.4,23.7,38.9,41.4,20.6,24.5
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,5,13,BLK_13C,C,line,L_1,L_11,2025-01-21,22.3,20,5,3,False,7,36B,False,747.3,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 5판 연속 → 최대 2판'],2025-01-20 10:30,2025-01-20 14:12,2025-01-21 01:45,2025-01-20 10:30,2025-01-21 01:45,1065.8,17.76,54.0,228.0,14.4,194.4,71.7,96.0,30.0,58.8
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,6,41,BLK_41P,P,fixed,F_1,F_1,2025-01-22,19.0,15,5,0,False,9,35A,False,314.7,True,NORMAL,False,0,0,1,[],[],[],2025-01-20 11:24,2025-01-20 18:00,2025-01-21 02:00,2025-01-20 11:24,2025-01-21 02:00,1080.5,18.01,36.0,38.9,14.4,25.8,52.5,75.0,26.4,45.6
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,7,6,BLK_6C,C,line,L_1,L_12,2025-01-22,17.2,17,5,0,False,7,36B,False,322.6,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 12:00,2025-01-20 18:39,2025-01-21 03:06,2025-01-20 12:00,2025-01-21 03:06,1146.2,19.1,36.0,36.6,14.4,22.9,50.6,83.4,27.8,50.9
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,8,14,BLK_14C,C,line,L_1,L_12,2025-01-22,20.9,17,6,0,False,10,35A,False,323.5,True,NORMAL,False,0,0,1,[],[],[],2025-01-20 12:36,2025-01-20 19:15,2025-01-21 04:04,2025-01-20 12:36,2025-01-21 04:04,1204.8,20.08,36.0,33.6,14.4,18.9,58.5,83.4,27.8,50.9
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,9,21,BLK_21C,C,fixed,F_1,F_1,2025-01-22,5.7,8,1,0,False,3,36B,False,444.1,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 13:12,2025-01-20 19:49,2025-01-21 05:38,2025-01-20 13:12,2025-01-21 05:38,1298.3,21.64,14.4,79.9,14.4,79.8,25.3,129.6,92.2,8.6
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,10,18,BLK_18P,P,line,L_1,L_12,2025-01-22,20.9,18,5,0,False,7,35A,False,336.6,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 13:26,2025-01-20 21:09,2025-01-21 05:35,2025-01-20 13:26,2025-01-21 05:35,1298.3,21.64,36.0,38.6,14.4,25.4,52.5,87.6,28.6,53.5
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,11,31,BLK_31C,C,fixed,F_1,F_1,2025-01-22,19.8,28,6,0,False,9,36B,False,449.1,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 14:02,2025-01-20 21:48,2025-01-21 08:02,2025-01-20 14:02,2025-01-21 08:02,1442.8,24.05,36.0,51.4,14.4,42.2,59.8,129.6,35.8,79.9
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,12,10,BLK_10P,P,line,L_1,L_12,2025-01-22,12.6,12,1,0,False,1,35A,False,341.4,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 14:38,2025-01-20 22:39,2025-01-21 06:17,2025-01-20 14:38,2025-01-21 06:17,1442.8,24.05,14.4,80.0,14.4,79.9,28.4,62.4,24.2,37.7
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,13,2,BLK_2C,C,line,L_1,L_12,2025-01-22,19.0,23,5,0,False,9,36B,False,379.1,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 14:52,2025-01-20 23:59,2025-01-21 09:34,2025-01-20 14:52,2025-01-21 09:34,1534.6,25.58,36.0,40.6,14.4,28.0,52.6,108.6,32.2,66.7
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,14,42,BLK_42P,P,fixed,F_10,F_10,2025-01-26,15.2,10,4,0,False,5,35A,False,294.1,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 15:28,2025-01-21 00:39,2025-01-21 07:31,2025-01-20 15:28,2025-01-21 07:31,1534.6,25.58,30.0,53.9,14.4,45.6,41.0,54.0,22.8,32.4
b50_heavy_work_r1,SPT,Small (20-80),50,heavy_work,86.56666666666666,11,20250120,15,22,BLK_22C,C,fixed,F_10,F_10,2025-01-26,16.1,22,5,0,False,6,36B,False,709.5,True,NORMAL,False,0,0,0,[],[],[],2025-01-20 15:58,2025-01-21 01:33,2025-01-21 12:29,2025-01-20 15:58,2025-01-21 12:29,1709.3,28.49,54.0,201.7,14.4,176.6,62.8,104.4,31.4,64.1
