grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b50_mixed_ps_sub_r1,LPT,2,BLK_2C,1,35A,559.6,C,line,L_1,19.9,20,4,0,0,2025-10-20 08:00,2025-10-20 17:19,2025-10-20 17:19
b50_mixed_ps_sub_r1,LPT,6,BLK_6P,2,36B,469.2,P,line,L_1,15.7,20,4,1,0,2025-10-20 08:30,2025-10-20 18:55,2025-10-20 18:55
b50_mixed_ps_sub_r1,LPT,9,BLK_9P,3,35A,293.1,P,line,L_1,17.2,21,3,0,0,2025-10-20 09:08,2025-10-20 19:40,2025-10-20 19:40
b50_mixed_ps_sub_r1,LPT,47,BLK_6S,4,36B,469.2,S,line,L_1,15.7,20,4,1,0,2025-10-20 09:33,2025-10-20 21:09,2025-10-20 21:09
b50_mixed_ps_sub_r1,LPT,10,BLK_10C,5,35A,264.4,C,line,L_1,15.6,17,4,0,0,2025-10-20 10:11,2025-10-20 21:31,2025-10-20 21:31
b50_mixed_ps_sub_r1,LPT,50,BLK_10C,5,35A,264.4,C,line,L_1,15.6,17,4,0,0,2025-10-20 10:11,2025-10-20 21:31,2025-10-20 21:31
b50_mixed_ps_sub_r1,LPT,13,BLK_13C,6,36B,244.3,C,line,L_1,12.5,14,2,0,0,2025-10-20 10:41,2025-10-20 21:51,2025-10-20 21:51
b50_mixed_ps_sub_r1,LPT,49,BLK_13C,6,36B,244.3,C,line,L_1,12.5,14,2,0,0,2025-10-20 10:41,2025-10-20 21:51,2025-10-20 21:51
b50_mixed_ps_sub_r1,LPT,14,BLK_14C,7,35A,237.0,C,line,L_1,10.2,14,2,0,0,2025-10-20 11:01,2025-10-20 22:21,2025-10-20 22:21
b50_mixed_ps_sub_r1,LPT,1,BLK_1C,8,36B,237.3,C,line,L_1,5.4,13,1,0,0,2025-10-20 11:21,2025-10-20 22:44,2025-10-20 22:44
b50_mixed_ps_sub_r1,LPT,5,BLK_5P,9,35A,185.6,P,line,L_1,6.4,8,2,0,0,2025-10-20 11:33,2025-10-20 22:44,2025-10-20 22:44
b50_mixed_ps_sub_r1,LPT,17,BLK_17P,10,36B,161.4,P,line,L_1,5.4,6,2,0,1,2025-10-20 11:53,2025-10-20 23:02,2025-10-20 23:02
b50_mixed_ps_sub_r1,LPT,12,BLK_12P,11,35A,602.2,P,line,L_2,18.9,18,5,3,0,2025-10-20 12:13,2025-10-21 04:25,2025-10-21 04:25
b50_mixed_ps_sub_r1,LPT,48,BLK_12S,12,36B,602.2,S,line,L_2,18.9,18,5,3,0,2025-10-20 12:43,2025-10-21 07:35,2025-10-21 07:35
b50_mixed_ps_sub_r1,LPT,20,BLK_20C,13,35A,359.9,C,fixed,F_1,20.0,12,4,0,0,2025-10-20 13:13,2025-10-21 07:55,2025-10-21 07:55
b50_mixed_ps_sub_r1,LPT,31,BLK_31C,14,36B,496.5,C,fixed,F_10,28.9,24,7,1,0,2025-10-20 13:43,2025-10-21 10:58,2025-10-21 10:58
b50_mixed_ps_sub_r1,LPT,30,BLK_30S,15,35A,288.7,S,fixed,F_1,19.9,17,4,0,0,2025-10-20 14:35,2025-10-21 10:56,2025-10-21 10:56
b50_mixed_ps_sub_r1,LPT,41,BLK_41S,16,36B,467.9,S,fixed,F_10,18.9,17,5,2,0,2025-10-20 15:05,2025-10-21 12:16,2025-10-21 12:16
b50_mixed_ps_sub_r1,LPT,40,BLK_40P,17,35A,279.6,P,fixed,F_1,10.3,12,2,0,0,2025-10-20 15:35,2025-10-21 12:14,2025-10-21 12:14
b50_mixed_ps_sub_r1,LPT,21,BLK_21C,18,36B,226.2,C,fixed,F_10,11.8,12,3,0,0,2025-10-20 15:55,2025-10-21 12:54,2025-10-21 12:54
b50_mixed_ps_sub_r1,LPT,16,BLK_16P,19,35A,204.3,P,line,L_2,9.9,11,1,0,0,2025-10-20 16:20,2025-10-21 13:02,2025-10-21 13:02
b50_mixed_ps_sub_r1,LPT,4,BLK_4C,20,36B,395.9,C,line,L_2,15.4,14,4,0,0,2025-10-21 08:00,2025-10-21 15:17,2025-10-21 15:17
b50_mixed_ps_sub_r1,LPT,8,BLK_8P,21,35A,325.3,P,line,L_2,18.1,25,4,0,1,2025-10-21 08:38,2025-10-21 17:11,2025-10-21 17:11
b50_mixed_ps_sub_r1,LPT,23,BLK_23C,22,36B,525.4,C,fixed,F_3,15.9,23,4,0,0,2025-10-21 09:08,2025-10-21 19:49,2025-10-21 19:49
b50_mixed_ps_sub_r1,LPT,33,BLK_33P,23,35A,417.3,P,fixed,F_3,10.7,15,1,1,0,2025-10-21 09:38,2025-10-21 20:27,2025-10-21 20:27
b50_mixed_ps_sub_r1,LPT,18,BLK_18P,24,36B,294.3,P,line,L_1,18.1,21,3,0,0,2025-10-21 09:58,2025-10-21 21:42,2025-10-21 21:42
b50_mixed_ps_sub_r1,LPT,43,BLK_43P,25,35A,268.3,P,fixed,F_3,19.0,18,3,0,0,2025-10-21 10:23,2025-10-21 22:00,2025-10-21 22:00
b50_mixed_ps_sub_r1,LPT,3,BLK_3C,26,36B,438.1,C,line,L_2,13.1,21,4,0,0,2025-10-21 10:48,2025-10-21 23:45,2025-10-21 23:45
b50_mixed_ps_sub_r1,LPT,7,BLK_7P,27,35A,376.3,P,line,L_2,15.5,15,4,1,0,2025-10-21 11:26,2025-10-22 00:25,2025-10-22 00:25
b50_mixed_ps_sub_r1,LPT,11,BLK_11C,28,36B,306.8,C,line,L_2,19.9,22,5,0,1,2025-10-21 12:04,2025-10-22 01:59,2025-10-22 01:59
b50_mixed_ps_sub_r1,LPT,15,BLK_15C,29,35A,283.5,C,line,L_2,15.6,14,3,0,1,2025-10-21 12:34,2025-10-22 01:46,2025-10-22 01:46
b50_mixed_ps_sub_r1,LPT,19,BLK_19S,30,36B,278.4,S,line,L_2,16.4,15,3,0,1,2025-10-21 12:59,2025-10-22 02:42,2025-10-22 02:42
b50_mixed_ps_sub_r1,LPT,32,BLK_32C,31,36B,609.2,C,fixed,F_2,21.4,32,5,2,1,2025-10-21 13:24,2025-10-22 07:59,2025-10-22 07:59
b50_mixed_ps_sub_r1,LPT,22,BLK_22C,32,35A,505.6,C,fixed,F_2,18.0,26,4,0,0,2025-10-21 13:54,2025-10-22 08:47,2025-10-22 08:47
b50_mixed_ps_sub_r1,LPT,24,BLK_24C,33,36B,484.7,C,fixed,F_4,15.7,19,4,0,0,2025-10-21 14:32,2025-10-22 10:33,2025-10-22 10:33
b50_mixed_ps_sub_r1,LPT,44,BLK_44C,34,35A,433.2,C,fixed,F_4,14.5,18,4,1,0,2025-10-21 15:02,2025-10-22 11:53,2025-10-22 11:53
b50_mixed_ps_sub_r1,LPT,25,BLK_25C,35,36B,371.7,C,fixed,F_5,18.1,12,3,0,0,2025-10-21 15:40,2025-10-22 12:33,2025-10-22 12:33
b50_mixed_ps_sub_r1,LPT,45,BLK_45P,36,35A,289.5,P,fixed,F_5,20.0,21,5,0,0,2025-10-21 16:13,2025-10-22 14:15,2025-10-22 14:15
b50_mixed_ps_sub_r1,LPT,42,BLK_42P,37,36B,277.5,P,fixed,F_2,18.1,18,4,0,0,2025-10-21 16:43,2025-10-22 14:38,2025-10-22 14:38
b50_mixed_ps_sub_r1,LPT,26,BLK_26C,38,35A,317.3,C,fixed,F_6,12.0,9,3,0,0,2025-10-21 17:13,2025-10-22 14:40,2025-10-22 14:40
b50_mixed_ps_sub_r1,LPT,34,BLK_34P,39,36B,252.8,P,fixed,F_4,15.3,15,4,0,0,2025-10-22 08:00,2025-10-22 15:37,2025-10-22 15:37
b50_mixed_ps_sub_r1,LPT,35,BLK_35S,40,35A,175.0,S,fixed,F_5,12.5,5,4,0,0,2025-10-22 08:30,2025-10-22 15:09,2025-10-22 15:09
b50_mixed_ps_sub_r1,LPT,37,BLK_37C,41,36B,395.4,C,fixed,F_7,28.9,28,7,0,0,2025-10-22 09:00,2025-10-22 18:35,2025-10-22 18:35
b50_mixed_ps_sub_r1,LPT,27,BLK_27C,42,35A,315.1,C,fixed,F_7,19.9,24,4,0,0,2025-10-22 09:52,2025-10-22 18:55,2025-10-22 18:55
b50_mixed_ps_sub_r1,LPT,46,BLK_46S,43,36B,232.0,S,fixed,F_6,9.9,9,1,0,0,2025-10-22 10:22,2025-10-22 19:00,2025-10-22 19:00
b50_mixed_ps_sub_r1,LPT,36,BLK_36S,44,36B,393.6,S,fixed,F_6,22.8,28,7,0,0,2025-10-22 10:34,2025-10-22 21:04,2025-10-22 21:04
b50_mixed_ps_sub_r1,LPT,38,BLK_38S,45,35A,513.6,S,fixed,F_8,12.7,17,1,1,0,2025-10-22 11:26,2025-10-22 22:47,2025-10-22 22:47
b50_mixed_ps_sub_r1,LPT,28,BLK_28C,46,36B,272.8,C,fixed,F_8,19.9,16,4,0,0,2025-10-22 11:46,2025-10-22 23:25,2025-10-22 23:25
b50_mixed_ps_sub_r1,LPT,39,BLK_39S,47,35A,258.0,S,fixed,F_9,6.4,9,1,0,0,2025-10-22 12:16,2025-10-22 23:13,2025-10-22 23:13
b50_mixed_ps_sub_r1,LPT,29,BLK_29C,48,36B,240.5,C,fixed,F_9,10.3,14,2,0,0,2025-10-22 12:28,2025-10-23 00:23,2025-10-23 00:23
