grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b50_mixed_ps_sub_r1,MSF,14,BLK_14C,1,판계,1,2025-10-20 08:00:00,2025-10-20 08:20:00,20.0,,공통
b50_mixed_ps_sub_r1,MSF,14,BLK_14C,1,전면SAW,2,2025-10-20 08:20:00,2025-10-20 08:54:57,35.0,,공통
b50_mixed_ps_sub_r1,MSF,14,BLK_14C,1,TurnOver,3,2025-10-20 08:54:57,2025-10-20 09:06:57,12.0,,공통
b50_mixed_ps_sub_r1,MSF,14,BLK_14C,1,후면SAW,4,2025-10-20 09:06:57,2025-10-20 09:31:49,24.9,,공통
b50_mixed_ps_sub_r1,MSF,14,BLK_14C,1,NC,5,2025-10-20 09:31:49,2025-10-20 10:00:48,29.0,,공통
b50_mixed_ps_sub_r1,MSF,14,BLK_14C,1,베이35A 론지취부,6,2025-10-20 10:00:48,2025-10-20 10:59:48,59.0,35A,베이35A
b50_mixed_ps_sub_r1,MSF,14,BLK_14C,1,베이35A 론지용접,7,2025-10-20 10:59:48,2025-10-20 11:21:12,21.4,35A,베이35A
b50_mixed_ps_sub_r1,MSF,14,BLK_14C,1,베이35A 수정,8,2025-10-20 11:21:12,2025-10-20 11:57:00,35.8,35A,베이35A
b50_mixed_ps_sub_r1,MSF,2,BLK_2C,2,판계,1,2025-10-20 08:20:00,2025-10-20 08:50:00,30.0,,공통
b50_mixed_ps_sub_r1,MSF,2,BLK_2C,2,전면SAW,2,2025-10-20 08:54:57,2025-10-20 11:37:24,162.4,,공통
b50_mixed_ps_sub_r1,MSF,2,BLK_2C,2,TurnOver,3,2025-10-20 11:37:24,2025-10-20 11:49:24,12.0,,공통
b50_mixed_ps_sub_r1,MSF,2,BLK_2C,2,후면SAW,4,2025-10-20 11:49:24,2025-10-20 14:11:06,141.7,,공통
b50_mixed_ps_sub_r1,MSF,2,BLK_2C,2,NC,5,2025-10-20 14:11:06,2025-10-20 15:10:33,59.4,,공통
b50_mixed_ps_sub_r1,MSF,2,BLK_2C,2,베이36B 론지취부,6,2025-10-20 15:10:33,2025-10-20 16:30:33,80.0,36B,베이36B
b50_mixed_ps_sub_r1,MSF,2,BLK_2C,2,베이36B 론지용접,7,2025-10-20 16:30:33,2025-10-20 16:55:33,25.0,36B,베이36B
b50_mixed_ps_sub_r1,MSF,2,BLK_2C,2,베이36B 수정,8,2025-10-20 16:55:33,2025-10-20 17:44:33,49.0,36B,베이36B
b50_mixed_ps_sub_r1,MSF,1,BLK_1C,3,판계,1,2025-10-20 08:50:00,2025-10-20 09:02:00,12.0,,공통
b50_mixed_ps_sub_r1,MSF,1,BLK_1C,3,전면SAW,2,2025-10-20 11:37:24,2025-10-20 12:21:59,44.6,,공통
b50_mixed_ps_sub_r1,MSF,1,BLK_1C,3,TurnOver,3,2025-10-20 12:21:59,2025-10-20 12:33:59,12.0,,공통
b50_mixed_ps_sub_r1,MSF,1,BLK_1C,3,후면SAW,4,2025-10-20 14:11:06,2025-10-20 14:48:40,37.6,,공통
b50_mixed_ps_sub_r1,MSF,1,BLK_1C,3,NC,5,2025-10-20 15:10:33,2025-10-20 15:31:46,21.2,,공통
b50_mixed_ps_sub_r1,MSF,1,BLK_1C,3,베이35A 론지취부,6,2025-10-20 15:31:46,2025-10-20 16:27:16,55.5,35A,베이35A
b50_mixed_ps_sub_r1,MSF,1,BLK_1C,3,베이35A 론지용접,7,2025-10-20 16:27:16,2025-10-20 16:48:04,20.8,35A,베이35A
b50_mixed_ps_sub_r1,MSF,1,BLK_1C,3,베이35A 수정,8,2025-10-20 16:48:04,2025-10-20 17:21:40,33.6,35A,베이35A
b50_mixed_ps_sub_r1,MSF,6,BLK_6P,4,판계,1,2025-10-20 09:02:00,2025-10-20 09:40:00,38.0,,공통
b50_mixed_ps_sub_r1,MSF,6,BLK_6P,4,전면SAW,2,2025-10-20 12:21:59,2025-10-20 14:11:56,110.0,,공통
b50_mixed_ps_sub_r1,MSF,6,BLK_6P,4,TurnOver,3,2025-10-20 14:11:56,2025-10-20 14:23:56,12.0,,공통
b50_mixed_ps_sub_r1,MSF,6,BLK_6P,4,후면SAW,4,2025-10-20 14:48:40,2025-10-20 16:38:52,110.2,,공통
b50_mixed_ps_sub_r1,MSF,6,BLK_6P,4,NC,5,2025-10-20 16:38:52,2025-10-20 17:23:56,45.1,,공통
b50_mixed_ps_sub_r1,MSF,6,BLK_6P,4,베이36B 론지취부,6,2025-10-20 17:23:56,2025-10-20 18:43:56,80.0,36B,베이36B
b50_mixed_ps_sub_r1,MSF,6,BLK_6P,4,베이36B 론지용접,7,2025-10-20 18:43:56,2025-10-20 19:08:56,25.0,36B,베이36B
b50_mixed_ps_sub_r1,MSF,6,BLK_6P,4,베이36B 수정,8,2025-10-20 19:08:56,2025-10-20 19:57:56,49.0,36B,베이36B
b50_mixed_ps_sub_r1,MSF,10,BLK_10C,5,판계,1,2025-10-20 09:40:00,2025-10-20 10:10:00,30.0,,공통
b50_mixed_ps_sub_r1,MSF,10,BLK_10C,5,전면SAW,2,2025-10-20 14:11:56,2025-10-20 14:41:07,29.2,,공통
b50_mixed_ps_sub_r1,MSF,10,BLK_10C,5,TurnOver,3,2025-10-20 14:41:07,2025-10-20 14:53:07,12.0,,공통
b50_mixed_ps_sub_r1,MSF,10,BLK_10C,5,후면SAW,4,2025-10-20 16:38:52,2025-10-20 16:56:09,17.3,,공통
b50_mixed_ps_sub_r1,MSF,10,BLK_10C,5,NC,5,2025-10-20 17:23:56,2025-10-20 18:04:49,40.9,,공통
b50_mixed_ps_sub_r1,MSF,10,BLK_10C,5,베이35A 론지취부,6,2025-10-20 18:04:49,2025-10-20 19:14:19,69.5,35A,베이35A
b50_mixed_ps_sub_r1,MSF,10,BLK_10C,5,베이35A 론지용접,7,2025-10-20 19:14:19,2025-10-20 19:37:31,23.2,35A,베이35A
b50_mixed_ps_sub_r1,MSF,10,BLK_10C,5,베이35A 수정,8,2025-10-20 19:37:31,2025-10-20 20:19:55,42.4,35A,베이35A
b50_mixed_ps_sub_r1,MSF,5,BLK_5P,6,판계,1,2025-10-20 10:10:00,2025-10-20 10:30:00,20.0,,공통
b50_mixed_ps_sub_r1,MSF,5,BLK_5P,6,전면SAW,2,2025-10-20 14:41:07,2025-10-20 15:13:14,32.1,,공통
b50_mixed_ps_sub_r1,MSF,5,BLK_5P,6,TurnOver,3,2025-10-20 15:13:14,2025-10-20 15:25:14,12.0,,공통
b50_mixed_ps_sub_r1,MSF,5,BLK_5P,6,후면SAW,4,2025-10-20 16:56:09,2025-10-20 17:17:17,21.1,,공통
b50_mixed_ps_sub_r1,MSF,5,BLK_5P,6,NC,5,2025-10-20 18:04:49,2025-10-20 18:30:47,26.0,,공통
b50_mixed_ps_sub_r1,MSF,5,BLK_5P,6,베이36B 론지취부,6,2025-10-20 18:43:56,2025-10-20 19:21:56,38.0,36B,베이36B
b50_mixed_ps_sub_r1,MSF,5,BLK_5P,6,베이36B 론지용접,7,2025-10-20 19:21:56,2025-10-20 19:35:44,13.8,36B,베이36B
b50_mixed_ps_sub_r1,MSF,5,BLK_5P,6,베이36B 수정,8,2025-10-20 19:57:56,2025-10-20 20:20:32,22.6,36B,베이36B
b50_mixed_ps_sub_r1,MSF,47,BLK_6S,7,판계,1,2025-10-20 10:30:00,2025-10-20 11:08:00,38.0,,공통
b50_mixed_ps_sub_r1,MSF,47,BLK_6S,7,전면SAW,2,2025-10-20 15:13:14,2025-10-20 17:03:11,110.0,,공통
b50_mixed_ps_sub_r1,MSF,47,BLK_6S,7,TurnOver,3,2025-10-20 17:03:11,2025-10-20 17:15:11,12.0,,공통
b50_mixed_ps_sub_r1,MSF,47,BLK_6S,7,후면SAW,4,2025-10-20 17:17:17,2025-10-20 19:07:30,110.2,,공통
b50_mixed_ps_sub_r1,MSF,47,BLK_6S,7,NC,5,2025-10-20 19:07:30,2025-10-20 19:52:33,45.1,,공통
b50_mixed_ps_sub_r1,MSF,47,BLK_6S,7,베이35A 론지취부,6,2025-10-20 19:52:33,2025-10-20 21:12:33,80.0,35A,베이35A
b50_mixed_ps_sub_r1,MSF,47,BLK_6S,7,베이35A 론지용접,7,2025-10-20 21:12:33,2025-10-20 21:37:33,25.0,35A,베이35A
b50_mixed_ps_sub_r1,MSF,47,BLK_6S,7,베이35A 수정,8,2025-10-20 21:37:33,2025-10-20 22:26:33,49.0,35A,베이35A
b50_mixed_ps_sub_r1,MSF,13,BLK_13C,8,판계,1,2025-10-20 11:08:00,2025-10-20 11:28:00,20.0,,공통
b50_mixed_ps_sub_r1,MSF,13,BLK_13C,8,전면SAW,2,2025-10-20 17:03:11,2025-10-20 17:41:32,38.4,,공통
