grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,35A,237.0,C,line,L_1,10.2,14,2,0,0,2025-10-20 08:00,2025-10-20 11:57,2025-10-20 11:57
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,36B,264.4,C,line,L_1,15.6,17,4,0,0,2025-10-20 08:20,2025-10-20 12:56,2025-10-20 12:56
b50_mixed_ps_sub_r1,SPT,50,BLK_10C,2,36B,264.4,C,line,L_1,15.6,17,4,0,0,2025-10-20 08:20,2025-10-20 12:56,2025-10-20 12:56
b50_mixed_ps_sub_r1,SPT,17,BLK_17P,3,35A,161.4,P,line,L_1,5.4,6,2,0,0,2025-10-20 08:50,2025-10-20 12:15,2025-10-20 12:15
b50_mixed_ps_sub_r1,SPT,6,BLK_6P,4,36B,469.2,P,line,L_1,15.7,20,4,1,0,2025-10-20 09:10,2025-10-20 17:02,2025-10-20 17:02
b50_mixed_ps_sub_r1,SPT,47,BLK_6S,5,35A,469.2,S,line,L_1,15.7,20,4,1,0,2025-10-20 09:48,2025-10-20 18:52,2025-10-20 18:52
b50_mixed_ps_sub_r1,SPT,5,BLK_5P,6,36B,185.6,P,line,L_1,6.4,8,2,0,0,2025-10-20 10:26,2025-10-20 17:59,2025-10-20 17:59
b50_mixed_ps_sub_r1,SPT,2,BLK_2C,7,35A,559.6,C,line,L_1,19.9,20,4,0,0,2025-10-20 10:46,2025-10-20 22:53,2025-10-20 22:53
b50_mixed_ps_sub_r1,SPT,1,BLK_1C,8,36B,237.3,C,line,L_1,5.4,13,1,0,0,2025-10-20 11:16,2025-10-20 22:30,2025-10-20 22:30
b50_mixed_ps_sub_r1,SPT,13,BLK_13C,9,35A,244.3,C,line,L_1,12.5,14,2,0,0,2025-10-20 11:28,2025-10-20 23:35,2025-10-20 23:35
b50_mixed_ps_sub_r1,SPT,49,BLK_13C,9,35A,244.3,C,line,L_1,12.5,14,2,0,0,2025-10-20 11:28,2025-10-20 23:35,2025-10-20 23:35
b50_mixed_ps_sub_r1,SPT,9,BLK_9P,10,36B,293.1,P,line,L_1,17.2,21,3,0,1,2025-10-20 11:48,2025-10-21 00:27,2025-10-21 00:27
b50_mixed_ps_sub_r1,SPT,16,BLK_16P,11,35A,204.3,P,line,L_2,9.9,11,1,0,0,2025-10-20 12:13,2025-10-21 00:15,2025-10-21 00:15
b50_mixed_ps_sub_r1,SPT,21,BLK_21C,12,36B,226.2,C,fixed,F_10,11.8,12,3,0,0,2025-10-20 12:25,2025-10-21 00:58,2025-10-21 00:58
b50_mixed_ps_sub_r1,SPT,40,BLK_40P,13,35A,279.6,P,fixed,F_1,10.3,12,2,0,0,2025-10-20 12:50,2025-10-21 01:10,2025-10-21 01:10
b50_mixed_ps_sub_r1,SPT,30,BLK_30S,14,36B,288.7,S,fixed,F_1,19.9,17,4,0,0,2025-10-20 13:10,2025-10-21 02:17,2025-10-21 02:17
b50_mixed_ps_sub_r1,SPT,8,BLK_8P,15,35A,325.3,P,line,L_2,18.1,25,4,0,0,2025-10-20 13:40,2025-10-21 03:41,2025-10-21 03:41
b50_mixed_ps_sub_r1,SPT,20,BLK_20C,16,36B,359.9,C,fixed,F_1,20.0,12,4,0,0,2025-10-20 14:10,2025-10-21 03:30,2025-10-21 03:30
b50_mixed_ps_sub_r1,SPT,41,BLK_41S,17,35A,467.9,S,fixed,F_10,18.9,17,5,2,0,2025-10-20 14:40,2025-10-21 06:50,2025-10-21 06:50
b50_mixed_ps_sub_r1,SPT,4,BLK_4C,18,36B,395.9,C,line,L_2,15.4,14,4,0,0,2025-10-20 15:10,2025-10-21 07:45,2025-10-21 07:45
b50_mixed_ps_sub_r1,SPT,31,BLK_31C,19,36B,496.5,C,fixed,F_10,28.9,24,7,1,0,2025-10-20 15:48,2025-10-21 10:53,2025-10-21 10:53
b50_mixed_ps_sub_r1,SPT,12,BLK_12P,20,35A,602.2,P,line,L_2,18.9,18,5,3,1,2025-10-20 16:40,2025-10-21 14:36,2025-10-21 14:36
b50_mixed_ps_sub_r1,SPT,48,BLK_12S,21,36B,602.2,S,line,L_2,18.9,18,5,3,0,2025-10-21 08:00,2025-10-21 18:02,2025-10-21 18:02
b50_mixed_ps_sub_r1,SPT,43,BLK_43P,22,35A,268.3,P,fixed,F_3,19.0,18,3,0,0,2025-10-21 08:30,2025-10-21 18:38,2025-10-21 18:38
b50_mixed_ps_sub_r1,SPT,18,BLK_18P,23,36B,294.3,P,line,L_1,18.1,21,3,0,0,2025-10-21 08:55,2025-10-21 19:34,2025-10-21 19:34
b50_mixed_ps_sub_r1,SPT,33,BLK_33P,24,35A,417.3,P,fixed,F_3,10.7,15,1,1,0,2025-10-21 09:20,2025-10-21 19:40,2025-10-21 19:40
b50_mixed_ps_sub_r1,SPT,23,BLK_23C,25,36B,525.4,C,fixed,F_3,15.9,23,4,0,0,2025-10-21 09:40,2025-10-21 23:10,2025-10-21 23:10
b50_mixed_ps_sub_r1,SPT,19,BLK_19S,26,35A,278.4,S,line,L_2,16.4,15,3,0,0,2025-10-21 10:10,2025-10-21 22:56,2025-10-21 22:56
b50_mixed_ps_sub_r1,SPT,15,BLK_15C,27,36B,283.5,C,line,L_2,15.6,14,3,0,0,2025-10-21 10:35,2025-10-21 23:46,2025-10-21 23:46
b50_mixed_ps_sub_r1,SPT,11,BLK_11C,28,35A,306.8,C,line,L_2,19.9,22,5,0,1,2025-10-21 11:00,2025-10-22 01:07,2025-10-22 01:07
b50_mixed_ps_sub_r1,SPT,7,BLK_7P,29,36B,376.3,P,line,L_2,15.5,15,4,1,1,2025-10-21 11:30,2025-10-22 01:10,2025-10-22 01:10
b50_mixed_ps_sub_r1,SPT,3,BLK_3C,30,35A,438.1,C,line,L_2,13.1,21,4,0,1,2025-10-21 12:08,2025-10-22 03:24,2025-10-22 03:24
b50_mixed_ps_sub_r1,SPT,35,BLK_35S,31,36B,175.0,S,fixed,F_5,12.5,5,4,0,0,2025-10-21 12:46,2025-10-22 02:18,2025-10-22 02:18
b50_mixed_ps_sub_r1,SPT,34,BLK_34P,32,35A,252.8,P,fixed,F_4,15.3,15,4,0,0,2025-10-21 13:16,2025-10-22 04:10,2025-10-22 04:10
b50_mixed_ps_sub_r1,SPT,42,BLK_42P,33,36B,277.5,P,fixed,F_2,18.1,18,4,0,0,2025-10-21 13:46,2025-10-22 05:01,2025-10-22 05:01
b50_mixed_ps_sub_r1,SPT,45,BLK_45P,34,35A,289.5,P,fixed,F_5,20.0,21,5,0,0,2025-10-21 14:16,2025-10-22 06:05,2025-10-22 06:05
b50_mixed_ps_sub_r1,SPT,25,BLK_25C,35,36B,371.7,C,fixed,F_5,18.1,12,3,0,0,2025-10-21 14:46,2025-10-22 05:59,2025-10-22 05:59
b50_mixed_ps_sub_r1,SPT,44,BLK_44C,36,35A,433.2,C,fixed,F_4,14.5,18,4,1,0,2025-10-21 15:19,2025-10-22 08:37,2025-10-22 08:37
b50_mixed_ps_sub_r1,SPT,24,BLK_24C,37,36B,484.7,C,fixed,F_4,15.7,19,4,0,0,2025-10-21 15:57,2025-10-22 11:15,2025-10-22 11:15
b50_mixed_ps_sub_r1,SPT,22,BLK_22C,38,35A,505.6,C,fixed,F_2,18.0,26,4,0,0,2025-10-21 16:27,2025-10-22 13:46,2025-10-22 13:46
b50_mixed_ps_sub_r1,SPT,46,BLK_46S,39,36B,232.0,S,fixed,F_6,9.9,9,1,0,0,2025-10-21 17:05,2025-10-22 12:22,2025-10-22 12:22
