grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,판계,1,2025-10-20 08:00:00,2025-10-20 08:20:00,20.0,,공통
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,전면SAW,2,2025-10-20 08:20:00,2025-10-20 08:54:57,35.0,,공통
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,TurnOver,3,2025-10-20 08:54:57,2025-10-20 09:06:57,12.0,,공통
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,후면SAW,4,2025-10-20 09:06:57,2025-10-20 09:31:49,24.9,,공통
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,NC,5,2025-10-20 09:31:49,2025-10-20 10:00:48,29.0,,공통
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,베이35A 론지취부,6,2025-10-20 10:00:48,2025-10-20 10:59:48,59.0,35A,베이35A
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,베이35A 론지용접,7,2025-10-20 10:59:48,2025-10-20 11:21:12,21.4,35A,베이35A
b50_mixed_ps_sub_r1,SPT,14,BLK_14C,1,베이35A 수정,8,2025-10-20 11:21:12,2025-10-20 11:57:00,35.8,35A,베이35A
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,판계,1,2025-10-20 08:20:00,2025-10-20 08:50:00,30.0,,공통
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,전면SAW,2,2025-10-20 08:54:57,2025-10-20 09:24:09,29.2,,공통
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,TurnOver,3,2025-10-20 09:24:09,2025-10-20 09:36:09,12.0,,공통
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,후면SAW,4,2025-10-20 09:36:09,2025-10-20 09:53:25,17.3,,공통
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,NC,5,2025-10-20 10:00:48,2025-10-20 10:41:40,40.9,,공통
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,베이36B 론지취부,6,2025-10-20 10:41:40,2025-10-20 11:51:10,69.5,36B,베이36B
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,베이36B 론지용접,7,2025-10-20 11:51:10,2025-10-20 12:14:22,23.2,36B,베이36B
b50_mixed_ps_sub_r1,SPT,10,BLK_10C,2,베이36B 수정,8,2025-10-20 12:14:22,2025-10-20 12:56:46,42.4,36B,베이36B
b50_mixed_ps_sub_r1,SPT,17,BLK_17P,3,판계,1,2025-10-20 08:50:00,2025-10-20 09:10:00,20.0,,공통
b50_mixed_ps_sub_r1,SPT,17,BLK_17P,3,전면SAW,2,2025-10-20 09:24:09,2025-10-20 09:51:32,27.4,,공통
b50_mixed_ps_sub_r1,SPT,17,BLK_17P,3,TurnOver,3,2025-10-20 09:51:32,2025-10-20 10:03:32,12.0,,공통
b50_mixed_ps_sub_r1,SPT,17,BLK_17P,3,후면SAW,4,2025-10-20 10:03:32,2025-10-20 10:18:27,14.9,,공통
b50_mixed_ps_sub_r1,SPT,17,BLK_17P,3,NC,5,2025-10-20 10:41:40,2025-10-20 11:06:59,25.3,,공통
