grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b50_overload_r1,LPT,9,BLK_9C,1,판계,1,2025-06-07 08:00:00,2025-06-07 08:41:48,41.8,,공통
b50_overload_r1,LPT,9,BLK_9C,1,전면SAW,2,2025-06-07 08:41:48,2025-06-07 10:00:44,78.9,,공통
b50_overload_r1,LPT,9,BLK_9C,1,TurnOver,3,2025-06-07 10:00:44,2025-06-07 10:13:56,13.2,,공통
b50_overload_r1,LPT,9,BLK_9C,1,후면SAW,4,2025-06-07 10:13:56,2025-06-07 11:12:27,58.5,,공통
b50_overload_r1,LPT,9,BLK_9C,1,NC,5,2025-06-07 11:12:27,2025-06-07 11:58:52,46.4,,공통
b50_overload_r1,LPT,9,BLK_9C,1,베이35A 론지취부,6,2025-06-07 11:58:52,2025-06-07 12:44:31,45.7,35A,베이35A
b50_overload_r1,LPT,9,BLK_9C,1,베이35A 론지용접,7,2025-06-07 12:44:31,2025-06-07 13:04:45,20.2,35A,베이35A
b50_overload_r1,LPT,9,BLK_9C,1,베이35A 수정,8,2025-06-07 13:04:45,2025-06-07 13:32:02,27.3,35A,베이35A
b50_overload_r1,LPT,17,BLK_17S,2,판계,1,2025-06-07 08:41:48,2025-06-07 09:09:18,27.5,,공통
b50_overload_r1,LPT,17,BLK_17S,2,전면SAW,2,2025-06-07 10:00:44,2025-06-07 10:41:55,41.2,,공통
b50_overload_r1,LPT,17,BLK_17S,2,TurnOver,3,2025-06-07 10:41:55,2025-06-07 10:55:07,13.2,,공통
b50_overload_r1,LPT,17,BLK_17S,2,후면SAW,4,2025-06-07 11:12:27,2025-06-07 11:43:24,31.0,,공통
b50_overload_r1,LPT,17,BLK_17S,2,NC,5,2025-06-07 11:58:52,2025-06-07 12:39:28,40.6,,공통
b50_overload_r1,LPT,17,BLK_17S,2,베이36B 론지취부,6,2025-06-07 12:39:28,2025-06-07 13:40:31,61.1,36B,베이36B
b50_overload_r1,LPT,17,BLK_17S,2,베이36B 론지용접,7,2025-06-07 13:40:31,2025-06-07 14:03:24,22.9,36B,베이36B
b50_overload_r1,LPT,17,BLK_17S,2,베이36B 수정,8,2025-06-07 14:03:24,2025-06-07 14:40:22,37.0,36B,베이36B
b50_overload_r1,LPT,5,BLK_5C,3,판계,1,2025-06-07 09:09:18,2025-06-07 09:22:30,13.2,,공통
b50_overload_r1,LPT,5,BLK_5C,3,전면SAW,2,2025-06-07 10:41:55,2025-06-07 11:48:33,66.6,,공통
b50_overload_r1,LPT,5,BLK_5C,3,TurnOver,3,2025-06-07 11:48:33,2025-06-07 12:01:45,13.2,,공통
b50_overload_r1,LPT,5,BLK_5C,3,후면SAW,4,2025-06-07 12:01:45,2025-06-07 13:06:11,64.4,,공통
b50_overload_r1,LPT,5,BLK_5C,3,NC,5,2025-06-07 13:06:11,2025-06-07 13:29:23,23.2,,공통
b50_overload_r1,LPT,5,BLK_5C,3,베이35A 론지취부,6,2025-06-07 13:29:23,2025-06-07 14:03:29,34.1,35A,베이35A
b50_overload_r1,LPT,5,BLK_5C,3,베이35A 론지용접,7,2025-06-07 14:03:29,2025-06-07 14:17:21,13.9,35A,베이35A
b50_overload_r1,LPT,5,BLK_5C,3,베이35A 수정,8,2025-06-07 14:17:21,2025-06-07 14:37:22,20.0,35A,베이35A
b50_overload_r1,LPT,13,BLK_13P,4,판계,1,2025-06-07 09:22:30,2025-06-07 09:44:30,22.0,,공통
b50_overload_r1,LPT,13,BLK_13P,4,전면SAW,2,2025-06-07 11:48:33,2025-06-07 12:26:45,38.2,,공통
b50_overload_r1,LPT,13,BLK_13P,4,TurnOver,3,2025-06-07 12:26:45,2025-06-07 12:39:57,13.2,,공통
b50_overload_r1,LPT,13,BLK_13P,4,후면SAW,4,2025-06-07 13:06:11,2025-06-07 13:33:14,27.0,,공통
b50_overload_r1,LPT,13,BLK_13P,4,NC,5,2025-06-07 13:33:14,2025-06-07 14:06:30,33.3,,공통
b50_overload_r1,LPT,13,BLK_13P,4,베이36B 론지취부,6,2025-06-07 14:06:30,2025-06-07 15:03:42,57.2,36B,베이36B
b50_overload_r1,LPT,13,BLK_13P,4,베이36B 론지용접,7,2025-06-07 15:03:42,2025-06-07 15:25:55,22.2,36B,베이36B
b50_overload_r1,LPT,13,BLK_13P,4,베이36B 수정,8,2025-06-07 15:25:55,2025-06-07 16:00:28,34.5,36B,베이36B
b50_overload_r1,LPT,1,BLK_1C,5,판계,1,2025-06-07 09:44:30,2025-06-07 10:06:30,22.0,,공통
b50_overload_r1,LPT,1,BLK_1C,5,전면SAW,2,2025-06-07 12:26:45,2025-06-07 13:07:15,40.5,,공통
b50_overload_r1,LPT,1,BLK_1C,5,TurnOver,3,2025-06-07 13:07:15,2025-06-07 13:20:27,13.2,,공통
b50_overload_r1,LPT,1,BLK_1C,5,후면SAW,4,2025-06-07 13:33:14,2025-06-07 14:03:17,30.1,,공통
b50_overload_r1,LPT,1,BLK_1C,5,NC,5,2025-06-07 14:06:30,2025-06-07 14:38:36,32.1,,공통
b50_overload_r1,LPT,1,BLK_1C,5,베이35A 론지취부,6,2025-06-07 14:38:36,2025-06-07 15:28:06,49.5,35A,베이35A
b50_overload_r1,LPT,1,BLK_1C,5,베이35A 론지용접,7,2025-06-07 15:28:06,2025-06-07 15:49:00,20.9,35A,베이35A
b50_overload_r1,LPT,1,BLK_1C,5,베이35A 수정,8,2025-06-07 15:49:00,2025-06-07 16:18:42,29.7,35A,베이35A
b50_overload_r1,LPT,21,BLK_21C,6,판계,1,2025-06-07 10:06:30,2025-06-07 10:50:30,44.0,,공통
b50_overload_r1,LPT,21,BLK_21C,6,전면SAW,2,2025-06-07 13:07:15,2025-06-07 15:31:40,144.4,,공통
b50_overload_r1,LPT,21,BLK_21C,6,TurnOver,3,2025-06-07 15:31:40,2025-06-07 15:44:52,13.2,,공통
b50_overload_r1,LPT,21,BLK_21C,6,후면SAW,4,2025-06-07 15:44:52,2025-06-07 17:47:55,123.1,,공통
b50_overload_r1,LPT,21,BLK_21C,6,NC,5,2025-06-07 17:47:55,2025-06-07 18:37:53,50.0,,공통
b50_overload_r1,LPT,21,BLK_21C,6,베이36B 론지취부,6,2025-06-07 18:37:53,2025-06-07 19:50:29,72.6,36B,베이36B
b50_overload_r1,LPT,21,BLK_21C,6,베이36B 론지용접,7,2025-06-07 19:50:29,2025-06-07 20:15:21,24.9,36B,베이36B
b50_overload_r1,LPT,21,BLK_21C,6,베이36B 수정,8,2025-06-07 20:15:21,2025-06-07 20:59:34,44.2,36B,베이36B
b50_overload_r1,LPT,31,BLK_31S,7,판계,1,2025-06-07 10:50:30,2025-06-07 11:23:30,33.0,,공통
b50_overload_r1,LPT,31,BLK_31S,7,전면SAW,2,2025-06-07 15:31:40,2025-06-07 16:09:31,37.9,,공통
