grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,21,BLK_21C,1,판계,1,2025-12-19 08:00:00,2025-12-19 08:45:00,45.0,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,21,BLK_21C,1,전면SAW,2,2025-12-19 08:45:00,2025-12-19 11:04:34,139.6,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,21,BLK_21C,1,TurnOver,3,2025-12-19 11:04:34,2025-12-19 11:16:34,12.0,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,21,BLK_21C,1,후면SAW,4,2025-12-19 11:16:34,2025-12-19 12:58:20,101.8,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,21,BLK_21C,1,NC,5,2025-12-19 12:58:20,2025-12-19 13:48:12,49.9,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,21,BLK_21C,1,베이35A 론지취부,6,2025-12-19 13:48:12,2025-12-19 14:57:42,69.5,35A,베이35A,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,21,BLK_21C,1,베이35A 론지용접,7,2025-12-19 14:57:42,2025-12-19 15:20:54,23.2,35A,베이35A,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,21,BLK_21C,1,베이35A 수정,8,2025-12-19 15:20:54,2025-12-19 16:03:18,42.4,35A,베이35A,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,36,BLK_36P,2,판계,1,2025-12-19 08:45:00,2025-12-19 09:30:00,45.0,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,36,BLK_36P,2,전면SAW,2,2025-12-19 11:04:34,2025-12-19 12:21:57,77.4,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,36,BLK_36P,2,TurnOver,3,2025-12-19 12:21:57,2025-12-19 12:33:57,12.0,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,36,BLK_36P,2,후면SAW,4,2025-12-19 12:58:20,2025-12-19 14:10:33,72.2,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,36,BLK_36P,2,NC,5,2025-12-19 14:10:33,2025-12-19 15:06:18,55.8,,공통,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,36,BLK_36P,2,베이36B 론지취부,6,2025-12-19 15:06:18,2025-12-19 16:19:18,73.0,36B,베이36B,raw,
b50_ps_heavy_r1,GA,Small (20-80),50,ps_heavy,83.51666666666667,3,20251219,36,BLK_36P,2,베이36B 론지용접,7,2025-12-19 16:19:18,2025-12-19 16:43:06,23.8,36B,베이36B,raw,
