grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,1,BLK_1C,1,판계,1,2025-08-07 08:00:00,2025-08-07 08:12:00,12.0,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,1,BLK_1C,1,전면SAW,2,2025-08-07 08:12:00,2025-08-07 08:58:39,46.6,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,1,BLK_1C,1,TurnOver,3,2025-08-07 08:58:39,2025-08-07 09:10:39,12.0,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,1,BLK_1C,1,후면SAW,4,2025-08-07 09:10:39,2025-08-07 09:50:54,40.3,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,1,BLK_1C,1,NC,5,2025-08-07 09:50:54,2025-08-07 10:14:13,23.3,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,1,BLK_1C,1,베이35A 론지취부,6,2025-08-07 10:14:13,2025-08-07 11:09:43,55.5,35A,베이35A,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,1,BLK_1C,1,베이35A 론지용접,7,2025-08-07 11:09:43,2025-08-07 11:30:31,20.8,35A,베이35A,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,1,BLK_1C,1,베이35A 수정,8,2025-08-07 11:30:31,2025-08-07 12:04:07,33.6,35A,베이35A,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,9,BLK_9P,2,판계,1,2025-08-07 08:12:00,2025-08-07 08:24:00,12.0,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,9,BLK_9P,2,전면SAW,2,2025-08-07 08:58:39,2025-08-07 09:45:31,46.9,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,9,BLK_9P,2,TurnOver,3,2025-08-07 09:45:31,2025-08-07 09:57:31,12.0,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,9,BLK_9P,2,후면SAW,4,2025-08-07 09:57:31,2025-08-07 10:38:06,40.6,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,9,BLK_9P,2,NC,5,2025-08-07 10:38:06,2025-08-07 11:00:36,22.5,,공통,raw,
b50_sub_heavy_r1,MSF,Small (20-80),50,sub_heavy,67.06666666666666,4,20250807,9,BLK_9P,2,베이36B 론지취부,6,2025-08-07 11:00:36,2025-08-07 11:45:36,45.0,36B,베이36B,raw,
