grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b50_sub_heavy_r1,SPT,5,BLK_5P,1,35A,185.0,P,line,L_1,6.8,9,2,0,0,2025-08-07 08:00,2025-08-07 11:04,2025-08-07 11:04
b50_sub_heavy_r1,SPT,17,BLK_17P,2,36B,200.5,P,line,L_1,17.2,9,3,0,0,2025-08-07 08:20,2025-08-07 11:44,2025-08-07 11:44
b50_sub_heavy_r1,SPT,31,BLK_31C,3,35A,285.4,C,fixed,F_1,18.1,20,3,0,0,2025-08-07 08:45,2025-08-07 13:38,2025-08-07 13:38
b50_sub_heavy_r1,SPT,41,BLK_41C,4,36B,437.9,C,fixed,F_1,15.3,19,4,1,0,2025-08-07 09:10,2025-08-07 16:32,2025-08-07 16:32
b50_sub_heavy_r1,SPT,21,BLK_21C,5,35A,529.1,C,fixed,F_1,14.0,19,3,0,0,2025-08-07 09:48,2025-08-07 19:49,2025-08-07 19:49
b50_sub_heavy_r1,SPT,9,BLK_9P,6,36B,224.9,P,line,L_1,9.4,10,1,0,0,2025-08-07 10:28,2025-08-07 19:15,2025-08-07 19:15
b50_sub_heavy_r1,SPT,1,BLK_1C,7,35A,244.1,C,line,L_1,9.9,13,1,0,0,2025-08-07 10:40,2025-08-07 20:28,2025-08-07 20:28
b50_sub_heavy_r1,SPT,13,BLK_13S,8,36B,334.6,S,line,L_1,19.0,26,4,0,1,2025-08-07 10:52,2025-08-07 22:15,2025-08-07 22:15
b50_sub_heavy_r1,SPT,22,BLK_22C,9,35A,245.4,C,fixed,F_10,10.7,8,2,0,0,2025-08-07 11:22,2025-08-07 20:58,2025-08-07 20:58
b50_sub_heavy_r1,SPT,49,BLK_22C,9,35A,245.4,C,fixed,F_10,10.7,8,2,0,0,2025-08-07 11:22,2025-08-07 20:58,2025-08-07 20:58
b50_sub_heavy_r1,SPT,42,BLK_42C,10,36B,415.1,C,fixed,F_10,28.9,29,8,0,0,2025-08-07 11:42,2025-08-08 00:16,2025-08-08 00:16
b50_sub_heavy_r1,SPT,32,BLK_32C,11,35A,497.5,C,fixed,F_10,15.4,17,4,2,0,2025-08-07 12:41,2025-08-08 01:35,2025-08-08 01:35
b50_sub_heavy_r1,SPT,10,BLK_10C,12,36B,276.8,C,line,L_1,19.9,17,4,0,0,2025-08-07 13:26,2025-08-08 02:19,2025-08-08 02:19
b50_sub_heavy_r1,SPT,14,BLK_14C,13,35A,322.6,C,line,L_1,10.3,9,3,1,0,2025-08-07 13:56,2025-08-08 02:06,2025-08-08 02:06
b50_sub_heavy_r1,SPT,2,BLK_2C,14,36B,526.4,C,line,L_1,19.9,16,4,0,1,2025-08-07 14:29,2025-08-08 06:32,2025-08-08 06:32
b50_sub_heavy_r1,SPT,6,BLK_6S,15,35A,389.9,S,line,L_1,12.7,12,1,1,1,2025-08-07 15:14,2025-08-08 07:11,2025-08-08 07:11
