grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b60_base_r1,LPT,26,BLK_26C,1,36B,481.1,C,fixed,F_10,21.5,15,4,0,0,2025-04-12 08:00,2025-04-12 16:01,2025-04-12 16:01
b60_base_r1,LPT,46,BLK_46S,2,35A,379.9,S,fixed,F_10,19.9,11,4,1,0,2025-04-12 08:45,2025-04-12 16:52,2025-04-12 16:52
b60_base_r1,LPT,36,BLK_36S,3,36B,379.5,S,fixed,F_10,28.9,23,7,0,0,2025-04-12 09:23,2025-04-12 19:13,2025-04-12 19:13
b60_base_r1,LPT,56,BLK_56P,4,35A,278.2,P,fixed,F_10,13.6,19,2,0,0,2025-04-12 10:15,2025-04-12 19:20,2025-04-12 19:20
b60_base_r1,LPT,45,BLK_45S,5,36B,257.0,S,fixed,F_1,14.9,12,4,0,0,2025-04-12 10:35,2025-04-12 19:45,2025-04-12 19:45
b60_base_r1,LPT,55,BLK_55C,6,35A,236.2,C,fixed,F_1,15.7,12,3,0,0,2025-04-12 11:05,2025-04-12 19:52,2025-04-12 19:52
b60_base_r1,LPT,35,BLK_35C,7,36B,222.5,C,fixed,F_1,7.4,12,2,0,0,2025-04-12 11:30,2025-04-12 20:27,2025-04-12 20:27
b60_base_r1,LPT,25,BLK_25C,8,35A,180.0,C,fixed,F_1,5.4,8,1,0,0,2025-04-12 11:50,2025-04-12 20:25,2025-04-12 20:25
b60_base_r1,LPT,3,BLK_3C,9,36B,602.4,C,line,L_2,17.2,18,3,0,0,2025-04-12 12:02,2025-04-13 01:23,2025-04-13 01:23
b60_base_r1,LPT,17,BLK_17S,10,35A,510.4,S,line,L_1,16.5,14,4,2,0,2025-04-12 12:42,2025-04-13 02:58,2025-04-13 02:58
b60_base_r1,LPT,1,BLK_1C,11,36B,285.5,C,line,L_1,19.9,18,4,0,0,2025-04-12 13:27,2025-04-13 04:07,2025-04-13 04:07
b60_base_r1,LPT,11,BLK_11C,12,35A,457.0,C,line,L_2,16.4,15,2,2,0,2025-04-12 13:57,2025-04-13 05:31,2025-04-13 05:31
b60_base_r1,LPT,7,BLK_7S,13,36B,264.5,S,line,L_2,13.6,15,4,0,0,2025-04-13 08:00,2025-04-13 12:24,2025-04-13 12:24
b60_base_r1,LPT,21,BLK_21C,14,35A,444.7,C,line,L_1,15.7,20,4,1,0,2025-04-13 08:30,2025-04-13 15:54,2025-04-13 15:54
b60_base_r1,LPT,5,BLK_5P,15,36B,188.8,P,line,L_1,6.4,6,1,0,0,2025-04-13 09:08,2025-04-13 14:43,2025-04-13 14:43
b60_base_r1,LPT,15,BLK_15P,16,35A,292.6,P,line,L_2,12.6,8,4,1,0,2025-04-13 09:20,2025-04-13 16:17,2025-04-13 16:17
b60_base_r1,LPT,10,BLK_10S,17,36B,416.1,S,line,L_1,22.5,33,5,0,1,2025-04-13 09:58,2025-04-13 19:33,2025-04-13 19:33
b60_base_r1,LPT,14,BLK_14C,18,35A,295.3,C,line,L_1,15.4,20,5,0,0,2025-04-13 10:28,2025-04-13 18:58,2025-04-13 18:58
b60_base_r1,LPT,6,BLK_6P,19,36B,277.5,P,line,L_1,21.2,16,4,0,1,2025-04-13 10:58,2025-04-13 20:13,2025-04-13 20:13
b60_base_r1,LPT,2,BLK_2C,20,35A,272.8,C,line,L_1,19.9,17,4,0,1,2025-04-13 11:28,2025-04-13 20:11,2025-04-13 20:11
b60_base_r1,LPT,22,BLK_22P,21,36B,229.8,P,line,L_1,12.3,13,3,0,1,2025-04-13 11:58,2025-04-13 20:47,2025-04-13 20:47
b60_base_r1,LPT,18,BLK_18S,22,35A,193.0,S,line,L_1,9.4,6,1,0,1,2025-04-13 12:23,2025-04-13 20:29,2025-04-13 20:29
b60_base_r1,LPT,47,BLK_47S,23,36B,410.8,S,fixed,F_2,9.5,13,2,1,0,2025-04-13 12:35,2025-04-13 22:50,2025-04-13 22:50
b60_base_r1,LPT,27,BLK_27C,24,35A,332.0,C,fixed,F_2,16.5,24,4,0,0,2025-04-13 13:03,2025-04-14 00:41,2025-04-14 00:41
b60_base_r1,LPT,37,BLK_37S,25,36B,262.3,S,fixed,F_2,5.4,12,1,0,0,2025-04-13 13:33,2025-04-13 23:57,2025-04-13 23:57
b60_base_r1,LPT,57,BLK_57C,26,35A,241.1,C,fixed,F_2,12.7,13,3,0,0,2025-04-14 08:00,2025-04-14 12:01,2025-04-14 12:01
b60_base_r1,LPT,23,BLK_23S,27,36B,491.9,S,line,L_2,10.2,14,3,3,0,2025-04-14 08:25,2025-04-14 16:36,2025-04-14 16:36
b60_base_r1,LPT,13,BLK_13P,28,36B,348.2,P,line,L_1,21.1,28,5,0,0,2025-04-14 09:05,2025-04-14 19:04,2025-04-14 19:04
b60_base_r1,LPT,60,BLK_60P,29,35A,367.6,P,fixed,F_5,10.3,8,2,1,0,2025-04-14 09:35,2025-04-14 17:55,2025-04-14 17:55
b60_base_r1,LPT,40,BLK_40C,30,36B,308.0,C,fixed,F_5,21.1,21,4,0,0,2025-04-14 10:03,2025-04-14 20:08,2025-04-14 20:08
b60_base_r1,LPT,19,BLK_19C,31,35A,287.9,C,line,L_2,15.7,20,3,0,0,2025-04-14 10:33,2025-04-14 20:34,2025-04-14 20:34
b60_base_r1,LPT,30,BLK_30C,32,36B,273.9,C,fixed,F_5,19.9,15,4,0,0,2025-04-14 10:58,2025-04-14 20:53,2025-04-14 20:53
b60_base_r1,LPT,9,BLK_9P,33,35A,239.3,P,line,L_1,10.5,10,3,0,0,2025-04-14 11:28,2025-04-14 21:01,2025-04-14 21:01
b60_base_r1,LPT,39,BLK_39S,34,36B,521.1,S,fixed,F_4,20.0,25,4,1,0,2025-04-14 11:53,2025-04-15 00:48,2025-04-15 00:48
b60_base_r1,LPT,54,BLK_54P,35,35A,349.5,P,fixed,F_9,19.9,28,5,0,0,2025-04-14 12:31,2025-04-15 01:56,2025-04-15 01:56
b60_base_r1,LPT,49,BLK_49P,36,36B,307.5,P,fixed,F_4,18.0,18,5,0,0,2025-04-14 13:01,2025-04-15 01:41,2025-04-15 01:41
b60_base_r1,LPT,44,BLK_44P,37,35A,258.3,P,fixed,F_9,15.3,15,4,0,0,2025-04-14 13:31,2025-04-15 02:34,2025-04-15 02:34
b60_base_r1,LPT,29,BLK_29C,38,36B,217.6,C,fixed,F_4,8.3,11,3,0,0,2025-04-14 14:01,2025-04-15 02:12,2025-04-15 02:12
b60_base_r1,LPT,34,BLK_34C,39,35A,210.0,C,fixed,F_9,12.0,10,2,0,0,2025-04-14 14:26,2025-04-15 03:01,2025-04-15 03:01
b60_base_r1,LPT,43,BLK_43S,40,36B,515.3,S,fixed,F_8,15.3,13,3,2,0,2025-04-14 14:46,2025-04-15 05:40,2025-04-15 05:40
b60_base_r1,LPT,32,BLK_32C,41,35A,425.9,C,fixed,F_7,6.1,8,2,0,0,2025-04-14 15:26,2025-04-15 06:59,2025-04-15 06:59
b60_base_r1,LPT,48,BLK_48S,42,36B,484.7,S,fixed,F_3,23.3,23,5,1,0,2025-04-14 16:01,2025-04-15 10:43,2025-04-15 10:43
b60_base_r1,LPT,42,BLK_42C,43,36B,395.9,C,fixed,F_7,28.9,28,7,0,0,2025-04-14 16:31,2025-04-15 12:45,2025-04-15 12:45
b60_base_r1,LPT,41,BLK_41C,44,35A,470.9,C,fixed,F_6,17.0,18,4,1,0,2025-04-15 08:00,2025-04-15 15:50,2025-04-15 15:50
b60_base_r1,LPT,28,BLK_28C,45,36B,332.1,C,fixed,F_3,16.9,26,4,0,0,2025-04-15 08:38,2025-04-15 17:24,2025-04-15 17:24
b60_base_r1,LPT,20,BLK_20S,46,36B,447.8,S,line,L_2,22.4,21,5,1,0,2025-04-15 09:08,2025-04-15 18:34,2025-04-15 18:34
b60_base_r1,LPT,51,BLK_51P,47,36B,360.5,P,fixed,F_6,22.4,23,6,0,1,2025-04-15 09:38,2025-04-15 20:10,2025-04-15 20:10
b60_base_r1,LPT,58,BLK_58S,48,35A,442.4,S,fixed,F_3,12.0,18,3,1,0,2025-04-15 10:23,2025-04-15 20:21,2025-04-15 20:21
b60_base_r1,LPT,31,BLK_31C,49,36B,297.0,C,fixed,F_6,16.5,20,4,0,0,2025-04-15 10:56,2025-04-15 21:22,2025-04-15 21:22
b60_base_r1,LPT,8,BLK_8S,50,36B,410.6,S,line,L_2,21.7,16,5,1,0,2025-04-15 11:26,2025-04-15 22:26,2025-04-15 22:26
b60_base_r1,LPT,38,BLK_38S,51,35A,295.2,S,fixed,F_3,15.7,21,3,0,0,2025-04-15 11:56,2025-04-15 23:35,2025-04-15 23:35
b60_base_r1,LPT,52,BLK_52C,52,36B,294.1,C,fixed,F_7,15.4,20,4,0,0,2025-04-15 12:21,2025-04-16 00:11,2025-04-16 00:11
b60_base_r1,LPT,53,BLK_53C,53,35A,240.5,C,fixed,F_8,13.0,13,2,0,0,2025-04-15 12:51,2025-04-16 00:09,2025-04-16 00:09
b60_base_r1,LPT,59,BLK_59C,54,36B,238.9,C,fixed,F_4,15.3,14,2,0,0,2025-04-15 13:11,2025-04-16 00:53,2025-04-16 00:53
b60_base_r1,LPT,33,BLK_33C,55,35A,211.5,C,fixed,F_8,12.4,9,2,0,0,2025-04-15 13:31,2025-04-16 00:38,2025-04-16 00:38
b60_base_r1,LPT,50,BLK_50S,56,36B,204.7,S,fixed,F_5,8.2,7,1,0,0,2025-04-15 13:51,2025-04-16 01:14,2025-04-16 01:14
b60_base_r1,LPT,12,BLK_12P,57,35A,402.7,P,line,L_2,14.5,15,3,1,0,2025-04-15 14:03,2025-04-16 03:47,2025-04-16 03:47
