grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b60_heavy_work_r1,MSF,54,BLK_54C,1,판계,1,2025-08-16 08:00:00,2025-08-16 08:14:24,14.4,,공통
b60_heavy_work_r1,MSF,54,BLK_54C,1,전면SAW,2,2025-08-16 08:14:24,2025-08-16 09:00:41,46.3,,공통
b60_heavy_work_r1,MSF,54,BLK_54C,1,TurnOver,3,2025-08-16 09:00:41,2025-08-16 09:15:05,14.4,,공통
b60_heavy_work_r1,MSF,54,BLK_54C,1,후면SAW,4,2025-08-16 09:15:05,2025-08-16 09:50:40,35.6,,공통
b60_heavy_work_r1,MSF,54,BLK_54C,1,NC,5,2025-08-16 09:50:40,2025-08-16 10:15:24,24.7,,공통
b60_heavy_work_r1,MSF,54,BLK_54C,1,베이35A 론지취부,6,2025-08-16 10:15:24,2025-08-16 11:09:24,54.0,35A,베이35A
b60_heavy_work_r1,MSF,54,BLK_54C,1,베이35A 론지용접,7,2025-08-16 11:09:24,2025-08-16 11:27:24,18.0,35A,베이35A
b60_heavy_work_r1,MSF,54,BLK_54C,1,베이35A 수정,8,2025-08-16 11:27:24,2025-08-16 11:59:48,32.4,35A,베이35A
b60_heavy_work_r1,MSF,44,BLK_44C,2,판계,1,2025-08-16 08:14:24,2025-08-16 08:54:00,39.6,,공통
b60_heavy_work_r1,MSF,44,BLK_44C,2,전면SAW,2,2025-08-16 09:00:41,2025-08-16 10:51:43,111.0,,공통
b60_heavy_work_r1,MSF,44,BLK_44C,2,TurnOver,3,2025-08-16 10:51:43,2025-08-16 11:06:07,14.4,,공통
b60_heavy_work_r1,MSF,44,BLK_44C,2,후면SAW,4,2025-08-16 11:06:07,2025-08-16 12:32:39,86.5,,공통
b60_heavy_work_r1,MSF,44,BLK_44C,2,NC,5,2025-08-16 12:32:39,2025-08-16 13:20:21,47.7,,공통
b60_heavy_work_r1,MSF,44,BLK_44C,2,베이36B 론지취부,6,2025-08-16 13:20:21,2025-08-16 14:39:33,79.2,36B,베이36B
b60_heavy_work_r1,MSF,44,BLK_44C,2,베이36B 론지용접,7,2025-08-16 14:39:33,2025-08-16 15:06:40,27.1,36B,베이36B
b60_heavy_work_r1,MSF,44,BLK_44C,2,베이36B 수정,8,2025-08-16 15:06:40,2025-08-16 15:54:54,48.2,36B,베이36B
b60_heavy_work_r1,MSF,24,BLK_24C,3,판계,1,2025-08-16 08:54:00,2025-08-16 09:30:00,36.0,,공통
b60_heavy_work_r1,MSF,24,BLK_24C,3,전면SAW,2,2025-08-16 10:51:43,2025-08-16 14:18:12,206.5,,공통
b60_heavy_work_r1,MSF,24,BLK_24C,3,TurnOver,3,2025-08-16 14:18:12,2025-08-16 14:32:36,14.4,,공통
b60_heavy_work_r1,MSF,24,BLK_24C,3,후면SAW,4,2025-08-16 14:32:36,2025-08-16 17:05:57,153.3,,공통
b60_heavy_work_r1,MSF,24,BLK_24C,3,NC,5,2025-08-16 17:05:57,2025-08-16 18:17:17,71.3,,공통
b60_heavy_work_r1,MSF,24,BLK_24C,3,베이35A 론지취부,6,2025-08-16 18:17:17,2025-08-16 20:18:29,121.2,35A,베이35A
b60_heavy_work_r1,MSF,24,BLK_24C,3,베이35A 론지용접,7,2025-08-16 20:18:29,2025-08-16 20:52:48,34.3,35A,베이35A
b60_heavy_work_r1,MSF,24,BLK_24C,3,베이35A 수정,8,2025-08-16 20:52:48,2025-08-16 22:07:27,74.6,35A,베이35A
b60_heavy_work_r1,MSF,34,BLK_34S,4,판계,1,2025-08-16 09:30:00,2025-08-16 10:06:00,36.0,,공통
b60_heavy_work_r1,MSF,34,BLK_34S,4,전면SAW,2,2025-08-16 14:18:12,2025-08-16 14:56:34,38.4,,공통
b60_heavy_work_r1,MSF,34,BLK_34S,4,TurnOver,3,2025-08-16 14:56:34,2025-08-16 15:10:58,14.4,,공통
b60_heavy_work_r1,MSF,34,BLK_34S,4,후면SAW,4,2025-08-16 17:05:57,2025-08-16 17:31:04,25.1,,공통
b60_heavy_work_r1,MSF,34,BLK_34S,4,NC,5,2025-08-16 18:17:17,2025-08-16 19:09:11,51.9,,공통
b60_heavy_work_r1,MSF,34,BLK_34S,4,베이36B 론지취부,6,2025-08-16 19:09:11,2025-08-16 20:36:47,87.6,36B,베이36B
b60_heavy_work_r1,MSF,34,BLK_34S,4,베이36B 론지용접,7,2025-08-16 20:36:47,2025-08-16 21:05:21,28.6,36B,베이36B
