grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b60_overload_r1,MSF,17,BLK_17S,1,판계,1,2025-08-10 08:00:00,2025-08-10 08:22:00,22.0,,공통
b60_overload_r1,MSF,17,BLK_17S,1,전면SAW,2,2025-08-10 08:22:00,2025-08-10 08:52:40,30.7,,공통
b60_overload_r1,MSF,17,BLK_17S,1,TurnOver,3,2025-08-10 08:52:40,2025-08-10 09:05:52,13.2,,공통
b60_overload_r1,MSF,17,BLK_17S,1,후면SAW,4,2025-08-10 09:05:52,2025-08-10 09:22:59,17.1,,공통
b60_overload_r1,MSF,17,BLK_17S,1,NC,5,2025-08-10 09:22:59,2025-08-10 09:51:15,28.3,,공통
b60_overload_r1,MSF,17,BLK_17S,1,베이35A 론지취부,6,2025-08-10 09:51:15,2025-08-10 10:29:12,38.0,35A,베이35A
b60_overload_r1,MSF,17,BLK_17S,1,베이35A 론지용접,7,2025-08-10 10:29:12,2025-08-10 10:48:07,18.9,35A,베이35A
b60_overload_r1,MSF,17,BLK_17S,1,베이35A 수정,8,2025-08-10 10:48:07,2025-08-10 11:10:33,22.4,35A,베이35A
b60_overload_r1,MSF,5,BLK_5P,2,판계,1,2025-08-10 08:22:00,2025-08-10 08:58:18,36.3,,공통
b60_overload_r1,MSF,5,BLK_5P,2,전면SAW,2,2025-08-10 08:58:18,2025-08-10 11:40:09,161.9,,공통
b60_overload_r1,MSF,5,BLK_5P,2,TurnOver,3,2025-08-10 11:40:09,2025-08-10 11:53:21,13.2,,공통
b60_overload_r1,MSF,5,BLK_5P,2,후면SAW,4,2025-08-10 11:53:21,2025-08-10 14:42:18,168.9,,공통
b60_overload_r1,MSF,5,BLK_5P,2,NC,5,2025-08-10 14:42:18,2025-08-10 15:28:07,45.8,,공통
b60_overload_r1,MSF,5,BLK_5P,2,베이36B 론지취부,6,2025-08-10 15:28:07,2025-08-10 16:40:43,72.6,36B,베이36B
b60_overload_r1,MSF,5,BLK_5P,2,베이36B 론지용접,7,2025-08-10 16:40:43,2025-08-10 17:05:34,24.9,36B,베이36B
b60_overload_r1,MSF,5,BLK_5P,2,베이36B 수정,8,2025-08-10 17:05:34,2025-08-10 17:49:47,44.2,36B,베이36B
b60_overload_r1,MSF,24,BLK_24C,3,판계,1,2025-08-10 08:58:18,2025-08-10 09:31:18,33.0,,공통
