grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b60_sub_heavy_r1,Proposed,5,BLK_5C,1,판계,1,2025-10-01 08:00:00,2025-10-01 08:33:00,33.0,,공통
b60_sub_heavy_r1,Proposed,5,BLK_5C,1,전면SAW,2,2025-10-01 08:33:00,2025-10-01 10:33:52,120.9,,공통
b60_sub_heavy_r1,Proposed,5,BLK_5C,1,TurnOver,3,2025-10-01 10:33:52,2025-10-01 10:45:52,12.0,,공통
b60_sub_heavy_r1,Proposed,5,BLK_5C,1,후면SAW,4,2025-10-01 10:45:52,2025-10-01 12:23:50,98.0,,공통
b60_sub_heavy_r1,Proposed,5,BLK_5C,1,NC,5,2025-10-01 12:23:50,2025-10-01 13:06:04,42.2,,공통
b60_sub_heavy_r1,Proposed,5,BLK_5C,1,베이35A 론지취부,6,2025-10-01 13:06:04,2025-10-01 14:01:34,55.5,35A,베이35A
b60_sub_heavy_r1,Proposed,5,BLK_5C,1,베이35A 론지용접,7,2025-10-01 14:01:34,2025-10-01 14:22:22,20.8,35A,베이35A
b60_sub_heavy_r1,Proposed,5,BLK_5C,1,베이35A 수정,8,2025-10-01 14:22:22,2025-10-01 14:55:58,33.6,35A,베이35A
b60_sub_heavy_r1,Proposed,9,BLK_9S,2,판계,1,2025-10-01 08:33:00,2025-10-01 09:03:00,30.0,,공통
b60_sub_heavy_r1,Proposed,9,BLK_9S,2,전면SAW,2,2025-10-01 10:33:52,2025-10-01 11:08:29,34.6,,공통
b60_sub_heavy_r1,Proposed,9,BLK_9S,2,TurnOver,3,2025-10-01 11:08:29,2025-10-01 11:20:29,12.0,,공통
b60_sub_heavy_r1,Proposed,9,BLK_9S,2,후면SAW,4,2025-10-01 12:23:50,2025-10-01 12:48:16,24.4,,공통
b60_sub_heavy_r1,Proposed,9,BLK_9S,2,NC,5,2025-10-01 13:06:04,2025-10-01 13:50:54,44.8,,공통
b60_sub_heavy_r1,Proposed,9,BLK_9S,2,베이36B 론지취부,6,2025-10-01 13:50:54,2025-10-01 15:17:54,87.0,36B,베이36B
b60_sub_heavy_r1,Proposed,9,BLK_9S,2,베이36B 론지용접,7,2025-10-01 15:17:54,2025-10-01 15:44:06,26.2,36B,베이36B
b60_sub_heavy_r1,Proposed,9,BLK_9S,2,베이36B 수정,8,2025-10-01 15:44:06,2025-10-01 16:37:30,53.4,36B,베이36B
b60_sub_heavy_r1,Proposed,21,BLK_21P,3,판계,1,2025-10-01 09:03:00,2025-10-01 09:48:00,45.0,,공통
b60_sub_heavy_r1,Proposed,21,BLK_21P,3,전면SAW,2,2025-10-01 11:08:29,2025-10-01 13:26:24,137.9,,공통
b60_sub_heavy_r1,Proposed,21,BLK_21P,3,TurnOver,3,2025-10-01 13:26:24,2025-10-01 13:38:24,12.0,,공통
b60_sub_heavy_r1,Proposed,21,BLK_21P,3,후면SAW,4,2025-10-01 13:38:24,2025-10-01 15:18:51,100.5,,공통
b60_sub_heavy_r1,Proposed,21,BLK_21P,3,NC,5,2025-10-01 15:18:51,2025-10-01 16:09:51,51.0,,공통
b60_sub_heavy_r1,Proposed,21,BLK_21P,3,베이35A 론지취부,6,2025-10-01 16:09:51,2025-10-01 17:05:21,55.5,35A,베이35A
b60_sub_heavy_r1,Proposed,21,BLK_21P,3,베이35A 론지용접,7,2025-10-01 17:05:21,2025-10-01 17:26:09,20.8,35A,베이35A
b60_sub_heavy_r1,Proposed,21,BLK_21P,3,베이35A 수정,8,2025-10-01 17:26:09,2025-10-01 17:59:45,33.6,35A,베이35A
b60_sub_heavy_r1,Proposed,1,BLK_1C,4,판계,1,2025-10-01 09:48:00,2025-10-01 10:08:00,20.0,,공통
b60_sub_heavy_r1,Proposed,1,BLK_1C,4,전면SAW,2,2025-10-01 13:26:24,2025-10-01 14:03:47,37.4,,공통
b60_sub_heavy_r1,Proposed,1,BLK_1C,4,TurnOver,3,2025-10-01 14:03:47,2025-10-01 14:15:47,12.0,,공통
b60_sub_heavy_r1,Proposed,1,BLK_1C,4,후면SAW,4,2025-10-01 15:18:51,2025-10-01 15:46:55,28.1,,공통
b60_sub_heavy_r1,Proposed,1,BLK_1C,4,NC,5,2025-10-01 16:09:51,2025-10-01 16:40:35,30.7,,공통
b60_sub_heavy_r1,Proposed,1,BLK_1C,4,베이36B 론지취부,6,2025-10-01 16:40:35,2025-10-01 17:57:05,76.5,36B,베이36B
b60_sub_heavy_r1,Proposed,1,BLK_1C,4,베이36B 론지용접,7,2025-10-01 17:57:05,2025-10-01 18:21:29,24.4,36B,베이36B
b60_sub_heavy_r1,Proposed,1,BLK_1C,4,베이36B 수정,8,2025-10-01 18:21:29,2025-10-01 19:08:17,46.8,36B,베이36B
b60_sub_heavy_r1,Proposed,13,BLK_13C,5,판계,1,2025-10-01 10:08:00,2025-10-01 10:38:00,30.0,,공통
b60_sub_heavy_r1,Proposed,13,BLK_13C,5,전면SAW,2,2025-10-01 14:03:47,2025-10-01 14:36:42,32.9,,공통
b60_sub_heavy_r1,Proposed,13,BLK_13C,5,TurnOver,3,2025-10-01 14:36:42,2025-10-01 14:48:42,12.0,,공통
b60_sub_heavy_r1,Proposed,13,BLK_13C,5,후면SAW,4,2025-10-01 15:46:55,2025-10-01 16:09:05,22.2,,공통
b60_sub_heavy_r1,Proposed,13,BLK_13C,5,NC,5,2025-10-01 16:40:35,2025-10-01 17:24:51,44.3,,공통
b60_sub_heavy_r1,Proposed,13,BLK_13C,5,베이35A 론지취부,6,2025-10-01 17:24:51,2025-10-01 18:20:21,55.5,35A,베이35A
b60_sub_heavy_r1,Proposed,13,BLK_13C,5,베이35A 론지용접,7,2025-10-01 18:20:21,2025-10-01 18:41:09,20.8,35A,베이35A
b60_sub_heavy_r1,Proposed,13,BLK_13C,5,베이35A 수정,8,2025-10-01 18:41:09,2025-10-01 19:14:45,33.6,35A,베이35A
b60_sub_heavy_r1,Proposed,17,BLK_17C,6,판계,1,2025-10-01 10:38:00,2025-10-01 11:08:00,30.0,,공통
b60_sub_heavy_r1,Proposed,17,BLK_17C,6,전면SAW,2,2025-10-01 14:36:42,2025-10-01 15:06:39,30.0,,공통
b60_sub_heavy_r1,Proposed,17,BLK_17C,6,TurnOver,3,2025-10-01 15:06:39,2025-10-01 15:18:39,12.0,,공통
b60_sub_heavy_r1,Proposed,17,BLK_17C,6,후면SAW,4,2025-10-01 16:09:05,2025-10-01 16:27:22,18.3,,공통
b60_sub_heavy_r1,Proposed,17,BLK_17C,6,NC,5,2025-10-01 17:24:51,2025-10-01 18:03:44,38.9,,공통
b60_sub_heavy_r1,Proposed,17,BLK_17C,6,베이36B 론지취부,6,2025-10-01 18:03:44,2025-10-01 18:34:44,31.0,36B,베이36B
b60_sub_heavy_r1,Proposed,17,BLK_17C,6,베이36B 론지용접,7,2025-10-01 18:34:44,2025-10-01 18:51:20,16.6,36B,베이36B
b60_sub_heavy_r1,Proposed,17,BLK_17C,6,베이36B 수정,8,2025-10-01 19:08:17,2025-10-01 19:26:29,18.2,36B,베이36B
b60_sub_heavy_r1,Proposed,45,BLK_45S,7,판계,1,2025-10-01 11:08:00,2025-10-01 11:53:00,45.0,,공통
b60_sub_heavy_r1,Proposed,45,BLK_45S,7,전면SAW,2,2025-10-01 15:06:39,2025-10-01 15:50:29,43.8,,공통
b60_sub_heavy_r1,Proposed,45,BLK_45S,7,TurnOver,3,2025-10-01 15:50:29,2025-10-01 16:02:29,12.0,,공통
b60_sub_heavy_r1,Proposed,45,BLK_45S,7,후면SAW,4,2025-10-01 16:27:22,2025-10-01 17:03:55,36.5,,공통
b60_sub_heavy_r1,Proposed,45,BLK_45S,7,NC,5,2025-10-01 18:03:44,2025-10-01 19:00:32,56.8,,공통
b60_sub_heavy_r1,Proposed,45,BLK_45S,7,베이36B 론지취부,6,2025-10-01 19:00:32,2025-10-01 20:48:32,108.0,36B,베이36B
b60_sub_heavy_r1,Proposed,45,BLK_45S,7,베이36B 론지용접,7,2025-10-01 20:48:32,2025-10-01 21:18:20,29.8,36B,베이36B
b60_sub_heavy_r1,Proposed,45,BLK_45S,7,베이36B 수정,8,2025-10-01 21:18:20,2025-10-01 22:24:56,66.6,36B,베이36B
b60_sub_heavy_r1,Proposed,25,BLK_25C,8,판계,1,2025-10-01 11:53:00,2025-10-01 12:13:00,20.0,,공통
b60_sub_heavy_r1,Proposed,25,BLK_25C,8,전면SAW,2,2025-10-01 15:50:29,2025-10-01 17:44:40,114.2,,공통
b60_sub_heavy_r1,Proposed,25,BLK_25C,8,TurnOver,3,2025-10-01 17:44:40,2025-10-01 17:56:40,12.0,,공통
b60_sub_heavy_r1,Proposed,25,BLK_25C,8,후면SAW,4,2025-10-01 17:56:40,2025-10-01 19:28:33,91.9,,공통
b60_sub_heavy_r1,Proposed,25,BLK_25C,8,NC,5,2025-10-01 19:28:33,2025-10-01 19:54:28,25.9,,공통
b60_sub_heavy_r1,Proposed,25,BLK_25C,8,베이35A 론지취부,6,2025-10-01 19:54:28,2025-10-01 20:39:28,45.0,35A,베이35A
b60_sub_heavy_r1,Proposed,25,BLK_25C,8,베이35A 론지용접,7,2025-10-01 20:39:28,2025-10-01 20:54:28,15.0,35A,베이35A
b60_sub_heavy_r1,Proposed,25,BLK_25C,8,베이35A 수정,8,2025-10-01 20:54:28,2025-10-01 21:21:28,27.0,35A,베이35A
b60_sub_heavy_r1,Proposed,35,BLK_35P,9,판계,1,2025-10-01 12:13:00,2025-10-01 12:43:00,30.0,,공통
b60_sub_heavy_r1,Proposed,35,BLK_35P,9,전면SAW,2,2025-10-01 17:44:40,2025-10-01 18:26:09,41.5,,공통
b60_sub_heavy_r1,Proposed,35,BLK_35P,9,TurnOver,3,2025-10-01 18:26:09,2025-10-01 18:38:09,12.0,,공통
b60_sub_heavy_r1,Proposed,35,BLK_35P,9,후면SAW,4,2025-10-01 19:28:33,2025-10-01 20:02:00,33.5,,공통
b60_sub_heavy_r1,Proposed,35,BLK_35P,9,NC,5,2025-10-01 20:02:00,2025-10-01 20:44:36,42.6,,공통
b60_sub_heavy_r1,Proposed,35,BLK_35P,9,베이36B 론지취부,6,2025-10-01 20:48:32,2025-10-01 21:54:32,66.0,36B,베이36B
b60_sub_heavy_r1,Proposed,35,BLK_35P,9,베이36B 론지용접,7,2025-10-01 21:54:32,2025-10-01 22:17:08,22.6,36B,베이36B
b60_sub_heavy_r1,Proposed,35,BLK_35P,9,베이36B 수정,8,2025-10-01 22:24:56,2025-10-01 23:05:08,40.2,36B,베이36B
b60_sub_heavy_r1,Proposed,6,BLK_6S,10,판계,1,2025-10-01 12:43:00,2025-10-01 13:13:00,30.0,,공통
b60_sub_heavy_r1,Proposed,6,BLK_6S,10,전면SAW,2,2025-10-01 18:26:09,2025-10-01 19:06:32,40.4,,공통
b60_sub_heavy_r1,Proposed,6,BLK_6S,10,TurnOver,3,2025-10-01 19:06:32,2025-10-01 19:18:32,12.0,,공통
