grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,1,21,BLK_21P,P,line,L_1,L_11,2025-11-22,18.3,15,3,1,False,3,35A,False,448.3,True,NORMAL,False,0,0,0,[],[],[],2025-11-22 08:00,2025-11-22 08:33,2025-11-22 15:28,2025-11-22 08:00,2025-11-22 15:28,448.3,7.47,33.0,118.7,12.0,120.4,41.7,62.5,22.0,38.0
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,2,9,BLK_9S,S,line,L_1,L_11,2025-11-22,12.3,19,4,0,False,8,36B,False,315.2,True,NORMAL,False,0,0,1,[],[],[],2025-11-22 08:33,2025-11-22 10:31,2025-11-22 16:33,2025-11-22 08:33,2025-11-22 16:33,514.0,8.57,30.0,45.8,12.0,39.2,40.5,76.5,24.4,46.8
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,3,29,BLK_29C,C,fixed,F_1,F_1,2025-11-23,16.6,17,4,0,False,8,35A,False,466.3,True,NORMAL,False,0,0,0,[],[],[],2025-11-22 09:03,2025-11-22 11:17,2025-11-22 18:25,2025-11-22 09:03,2025-11-22 18:25,625.8,10.43,38.0,128.9,12.0,105.3,46.9,69.5,23.2,42.4
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,4,39,BLK_39P,P,fixed,F_1,F_1,2025-11-23,7.4,12,1,1,False,3,36B,False,378.3,True,NORMAL,False,0,0,1,[],[],[],2025-11-22 09:41,2025-11-22 13:26,2025-11-22 19:24,2025-11-22 09:41,2025-11-22 19:24,684.7,11.41,20.0,119.2,12.0,96.4,27.1,52.0,20.2,31.4
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,5,59,BLK_59C,C,fixed,F_1,F_1,2025-11-23,18.1,19,2,0,False,7,35A,False,285.9,True,NORMAL,False,0,0,0,[],[],[],2025-11-22 10:01,2025-11-22 15:25,2025-11-22 20:47,2025-11-22 10:01,2025-11-22 20:47,767.4,12.79,20.0,40.4,12.0,32.1,33.6,76.5,24.4,46.8
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,6,49,BLK_49C,C,fixed,F_1,F_1,2025-11-23,5.4,9,1,2,False,4,36B,False,321.5,True,NORMAL,False,0,0,0,[],[],[],2025-11-22 10:21,2025-11-22 16:06,2025-11-22 21:00,2025-11-22 10:21,2025-11-22 21:00,780.5,13.01,27.0,100.2,12.0,70.3,31.3,41.5,14.4,24.8
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,7,1,BLK_1C,C,line,L_1,L_11,2025-11-22,14.6,12,4,0,False,5,35A,False,264.5,True,NORMAL,False,0,0,0,[],[],[],2025-11-22 10:48,2025-11-22 17:46,2025-11-22 22:08,2025-11-22 10:48,2025-11-22 22:08,848.4,14.14,30.0,42.7,12.0,35.0,41.2,52.0,20.2,31.4
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,8,5,BLK_5C,C,line,L_1,L_11,2025-11-22,9.9,6,2,0,False,4,36B,False,174.8,True,NORMAL,False,0,0,0,[],[],[],2025-11-22 11:18,2025-11-22 18:28,2025-11-22 21:57,2025-11-22 11:18,2025-11-22 21:57,848.4,14.14,20.0,30.8,12.0,19.4,26.9,31.0,16.6,18.2
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,9,13,BLK_13C,C,line,L_1,L_11,2025-11-23,12.7,11,2,0,False,3,35A,False,224.6,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 3판 연속 → 최대 2판'],2025-11-22 11:38,2025-11-22 18:59,2025-11-22 22:59,2025-11-22 11:38,2025-11-22 22:59,899.2,14.99,20.0,37.2,12.0,27.8,30.3,48.5,19.6,29.2
b70_base_r1,LPT,Small (20-80),70,base,104.06666666666666,15,20251122,10,25,BLK_25P,P,line,L_1,L_11,2025-11-23,10.5,8,2,0,False,4,36B,False,195.7,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 4판 연속 → 최대 2판'],2025-11-22 11:58,2025-11-22 19:36,2025-11-22 23:07,2025-11-22 11:58,2025-11-22 23:07,907.3,15.12,20.0,34.3,12.0,24.0,27.0,38.0,17.8,22.6
