grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,1,39,BLK_39P,P,fixed,F_10,F_10,2025-07-16,14.7,17,6,0,False,6,35A,False,314.1,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 08:00,2025-07-13 08:36,2025-07-13 13:14,2025-07-13 08:00,2025-07-13 13:14,314.1,5.24,36.0,31.9,14.4,16.7,53.0,83.4,27.8,50.9
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,2,28,BLK_28C,C,fixed,F_1,F_1,2025-07-15,10.6,13,1,0,False,4,36B,False,306.8,True,NORMAL,False,0,0,1,[],[],[],2025-07-13 08:36,2025-07-13 09:07,2025-07-13 14:00,2025-07-13 08:36,2025-07-13 14:00,360.3,6.0,14.4,61.5,14.4,55.6,29.0,66.6,25.0,40.3
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,3,1,BLK_1C,C,line,L_1,L_11,2025-07-13,22.2,13,5,0,False,12,36B,False,307.0,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 08:50,2025-07-13 10:09,2025-07-13 15:06,2025-07-13 08:50,2025-07-13 15:06,426.9,7.12,36.0,38.7,14.4,25.5,60.6,66.6,25.0,40.3
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,4,41,BLK_41P,P,fixed,F_3,F_3,2025-07-19,13.2,14,4,1,False,7,35A,False,484.6,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 09:26,2025-07-13 10:48,2025-07-13 18:13,2025-07-13 09:26,2025-07-13 18:13,613.0,10.22,39.6,123.1,14.4,121.9,46.1,70.8,25.7,43.0
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,5,27,BLK_27S,S,line,L_2,L_21,2025-07-15,11.2,5,2,0,False,4,36B,False,195.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 10:06,2025-07-13 12:51,2025-07-13 17:35,2025-07-13 10:06,2025-07-13 17:35,613.0,10.22,24.0,34.8,14.4,20.5,30.7,33.0,19.2,19.2
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,6,62,BLK_62C,C,fixed,F_4,F_4,2025-07-20,7.0,7,2,0,False,4,35A,False,252.5,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 10:30,2025-07-13 13:26,2025-07-13 18:37,2025-07-13 10:30,2025-07-13 18:37,637.5,10.63,24.0,54.8,14.4,46.7,30.9,41.4,15.8,24.5
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,7,7,BLK_7S,S,line,L_2,L_21,2025-07-15,12.4,11,4,2,False,6,36B,False,511.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 10:54,2025-07-13 14:20,2025-07-13 22:04,2025-07-13 10:54,2025-07-13 22:04,844.6,14.08,48.0,161.5,14.4,117.3,53.8,58.2,23.5,35.0
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,8,25,BLK_25S,S,line,L_1,L_11,2025-07-13,22.6,18,5,0,False,6,36B,False,345.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 11:42,2025-07-13 17:02,2025-07-13 23:55,2025-07-13 11:42,2025-07-13 23:55,955.7,15.93,36.0,44.0,14.4,32.5,49.2,87.6,28.6,53.5
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,9,29,BLK_29C,C,fixed,F_10,F_10,2025-07-16,6.7,8,1,0,False,4,35A,False,445.2,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 12:18,2025-07-13 17:46,2025-07-14 00:39,2025-07-13 12:18,2025-07-14 00:39,999.1,16.65,32.4,129.1,14.4,91.4,36.0,81.6,49.0,11.3
b70_heavy_work_r1,GA,Small (20-80),70,heavy_work,113.7,1,20250713,10,5,BLK_5C,C,line,L_1,L_11,2025-07-13,13.8,12,4,2,False,7,36B,False,491.3,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 12:50,2025-07-13 19:55,2025-07-14 03:18,2025-07-13 12:50,2025-07-14 03:18,1158.7,19.31,48.0,146.8,14.4,105.6,52.2,62.4,24.2,37.7
