grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,1,5,BLK_5C,C,line,L_1,L_11,2025-07-13,13.8,12,4,2,False,7,35A,False,491.3,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 08:00,2025-07-13 08:48,2025-07-13 16:11,2025-07-13 08:00,2025-07-13 16:11,491.3,8.19,48.0,146.8,14.4,105.6,52.2,62.4,24.2,37.7
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,2,1,BLK_1C,C,line,L_1,L_11,2025-07-13,22.2,13,5,0,False,12,36B,False,307.0,True,NORMAL,False,0,0,1,[],[],[],2025-07-13 08:48,2025-07-13 11:14,2025-07-13 17:19,2025-07-13 08:48,2025-07-13 17:19,559.4,9.32,36.0,38.7,14.4,25.5,60.6,66.6,25.0,40.3
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,3,25,BLK_25S,S,line,L_1,L_11,2025-07-13,22.6,18,5,0,False,6,36B,False,345.8,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 3판 연속 → 최대 2판'],2025-07-13 09:24,2025-07-13 11:53,2025-07-13 19:03,2025-07-13 09:24,2025-07-13 19:03,663.8,11.06,36.0,44.0,14.4,32.5,49.2,87.6,28.6,53.5
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,4,21,BLK_21P,P,line,L_1,L_11,2025-07-13,18.3,18,6,0,False,6,35A,False,360.3,True,NORMAL,False,1,1,2,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 4판 연속 → 최대 2판'],2025-07-13 10:00,2025-07-13 12:37,2025-07-13 19:44,2025-07-13 10:00,2025-07-13 19:44,704.6,11.74,36.0,46.4,14.4,35.7,58.1,87.6,28.6,53.5
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,5,28,BLK_28C,C,fixed,F_1,F_1,2025-07-15,10.6,13,1,0,False,4,36B,False,306.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 10:36,2025-07-13 13:23,2025-07-13 19:53,2025-07-13 10:36,2025-07-13 19:53,713.6,11.89,14.4,61.5,14.4,55.6,29.0,66.6,25.0,40.3
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,6,6,BLK_6C,C,line,L_1,L_12,2025-07-15,13.1,21,2,2,False,5,35A,False,719.7,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 10:50,2025-07-13 14:25,2025-07-14 01:43,2025-07-13 10:50,2025-07-14 01:43,1063.0,17.72,42.0,224.3,14.4,198.0,48.7,100.2,30.7,61.4
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,7,27,BLK_27S,S,line,L_2,L_21,2025-07-15,11.2,5,2,0,False,4,36B,False,195.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 11:32,2025-07-13 18:09,2025-07-14 00:12,2025-07-13 11:32,2025-07-14 00:12,1063.0,17.72,24.0,34.8,14.4,20.5,30.7,33.0,19.2,19.2
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,8,11,BLK_11P,P,line,L_2,L_21,2025-07-15,5.7,8,2,1,False,6,35A,False,355.0,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 11:56,2025-07-13 18:44,2025-07-14 02:10,2025-07-13 11:56,2025-07-14 02:10,1090.1,18.17,33.6,102.0,14.4,78.3,37.4,45.6,16.6,27.1
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,9,14,BLK_14S,S,line,L_1,L_12,2025-07-15,19.7,5,4,0,False,5,36B,False,205.6,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 12:30,2025-07-13 20:26,2025-07-14 01:48,2025-07-13 12:30,2025-07-14 01:48,1090.1,18.17,30.0,32.8,14.4,17.8,39.3,33.0,19.2,19.2
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,10,29,BLK_29C,C,fixed,F_10,F_10,2025-07-16,6.7,8,1,0,False,4,35A,False,445.2,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 13:00,2025-07-13 20:59,2025-07-14 04:07,2025-07-13 13:00,2025-07-14 04:07,1207.8,20.13,32.4,129.1,14.4,91.4,36.0,81.6,49.0,11.3
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250713,11,34,BLK_34C,C,fixed,F_6,F_6,2025-07-19,6.4,8,2,0,False,2,36B,False,255.6,True,NORMAL,False,0,0,0,[],[],[],2025-07-13 13:32,2025-07-13 23:08,2025-07-14 03:56,2025-07-13 13:32,2025-07-14 03:56,1207.8,20.13,24.0,50.6,14.4,41.2,30.4,52.8,23.0,19.2
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,12,3,BLK_3C,C,line,L_2,L_21,2025-07-15,13.3,14,4,0,False,5,35A,False,288.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 08:00,2025-07-14 08:30,2025-07-14 12:48,2025-07-14 08:00,2025-07-14 12:48,288.8,4.81,30.0,38.1,14.4,24.7,42.2,70.8,25.7,43.0
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,13,7,BLK_7S,S,line,L_2,L_21,2025-07-15,12.4,11,4,2,False,6,36B,False,511.8,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 08:30,2025-07-14 09:18,2025-07-14 17:01,2025-07-14 08:30,2025-07-14 17:01,541.8,9.03,48.0,161.5,14.4,117.3,53.8,58.2,23.5,35.0
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,14,58,BLK_58C,C,fixed,F_1,F_1,2025-07-15,14.7,10,4,0,False,4,35A,False,238.3,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 09:18,2025-07-14 11:59,2025-07-14 17:30,2025-07-14 09:18,2025-07-14 17:30,571.0,9.52,30.0,31.7,14.4,16.3,36.7,54.0,22.8,32.4
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,15,2,BLK_2P,P,line,L_1,L_12,2025-07-15,20.9,25,5,0,False,10,36B,False,389.2,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 09:48,2025-07-14 12:31,2025-07-14 20:17,2025-07-14 09:48,2025-07-14 20:17,737.5,12.29,36.0,38.2,14.4,24.9,53.1,117.0,33.6,72.0
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,16,10,BLK_10C,C,line,L_1,L_12,2025-07-15,23.6,20,5,0,False,7,36B,False,343.1,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 10:24,2025-07-14 13:09,2025-07-14 21:36,2025-07-14 10:24,2025-07-14 21:36,816.7,13.61,36.0,35.9,14.4,21.9,50.1,96.0,30.0,58.8
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,17,38,BLK_38P,P,fixed,F_1,F_1,2025-07-15,15.2,20,5,0,False,6,35A,False,345.1,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 11:00,2025-07-14 13:45,2025-07-14 21:18,2025-07-14 11:00,2025-07-14 21:18,816.7,13.61,36.0,37.2,14.4,23.6,49.1,96.0,30.0,58.8
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,18,68,BLK_38S,S,fixed,F_1,F_1,2025-07-15,15.2,20,5,0,False,6,36B,False,345.1,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 11:36,2025-07-14 14:22,2025-07-14 23:12,2025-07-14 11:36,2025-07-14 23:12,912.7,15.21,36.0,37.2,14.4,23.6,49.1,96.0,30.0,58.8
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,19,48,BLK_48C,C,fixed,F_1,F_1,2025-07-15,22.6,22,7,1,False,10,36B,False,604.7,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 12:12,2025-07-14 14:59,2025-07-15 01:03,2025-07-14 12:12,2025-07-15 01:03,1023.8,17.06,54.0,132.0,14.4,132.3,72.1,104.4,31.4,64.1
b70_heavy_work_r1,MSF,Small (20-80),70,heavy_work,122.6,12,20250714,20,67,BLK_2S,S,line,L_1,L_12,2025-07-15,20.9,25,5,0,False,10,35A,False,389.2,True,NORMAL,False,0,0,0,[],[],[],2025-07-14 13:06,2025-07-14 17:11,2025-07-15 01:26,2025-07-14 13:06,2025-07-15 01:26,1046.1,17.43,36.0,38.2,14.4,24.9,53.1,117.0,33.6,72.0
