grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b70_ps_heavy_r1,GA,23,BLK_23P,1,판계,1,2025-03-06 08:00:00,2025-03-06 08:25:00,25.0,,공통
b70_ps_heavy_r1,GA,23,BLK_23P,1,전면SAW,2,2025-03-06 08:25:00,2025-03-06 08:54:25,29.4,,공통
b70_ps_heavy_r1,GA,23,BLK_23P,1,TurnOver,3,2025-03-06 08:54:25,2025-03-06 09:06:25,12.0,,공통
b70_ps_heavy_r1,GA,23,BLK_23P,1,후면SAW,4,2025-03-06 09:06:25,2025-03-06 09:24:02,17.6,,공통
b70_ps_heavy_r1,GA,23,BLK_23P,1,NC,5,2025-03-06 09:24:02,2025-03-06 09:56:33,32.5,,공통
b70_ps_heavy_r1,GA,23,BLK_23P,1,베이35A 론지취부,6,2025-03-06 09:56:33,2025-03-06 11:02:33,66.0,35A,베이35A
b70_ps_heavy_r1,GA,23,BLK_23P,1,베이35A 론지용접,7,2025-03-06 11:02:33,2025-03-06 11:25:09,22.6,35A,베이35A
b70_ps_heavy_r1,GA,23,BLK_23P,1,베이35A 수정,8,2025-03-06 11:25:09,2025-03-06 12:05:21,40.2,35A,베이35A
b70_ps_heavy_r1,GA,2,BLK_2C,2,판계,1,2025-03-06 08:25:00,2025-03-06 09:10:00,45.0,,공통
b70_ps_heavy_r1,GA,2,BLK_2C,2,전면SAW,2,2025-03-06 09:10:00,2025-03-06 11:25:42,135.7,,공통
b70_ps_heavy_r1,GA,2,BLK_2C,2,TurnOver,3,2025-03-06 11:25:42,2025-03-06 11:37:42,12.0,,공통
b70_ps_heavy_r1,GA,2,BLK_2C,2,후면SAW,4,2025-03-06 11:37:42,2025-03-06 13:16:22,98.7,,공통
b70_ps_heavy_r1,GA,2,BLK_2C,2,NC,5,2025-03-06 13:16:22,2025-03-06 14:07:37,51.2,,공통
b70_ps_heavy_r1,GA,2,BLK_2C,2,베이36B 론지취부,6,2025-03-06 14:07:37,2025-03-06 15:06:37,59.0,36B,베이36B
b70_ps_heavy_r1,GA,2,BLK_2C,2,베이36B 론지용접,7,2025-03-06 15:06:37,2025-03-06 15:28:01,21.4,36B,베이36B
b70_ps_heavy_r1,GA,2,BLK_2C,2,베이36B 수정,8,2025-03-06 15:28:01,2025-03-06 16:03:49,35.8,36B,베이36B
b70_ps_heavy_r1,GA,11,BLK_11P,3,판계,1,2025-03-06 09:10:00,2025-03-06 09:55:00,45.0,,공통
b70_ps_heavy_r1,GA,11,BLK_11P,3,전면SAW,2,2025-03-06 11:25:42,2025-03-06 13:38:02,132.3,,공통
b70_ps_heavy_r1,GA,11,BLK_11P,3,TurnOver,3,2025-03-06 13:38:02,2025-03-06 13:50:02,12.0,,공통
b70_ps_heavy_r1,GA,11,BLK_11P,3,후면SAW,4,2025-03-06 13:50:02,2025-03-06 15:26:01,96.0,,공통
b70_ps_heavy_r1,GA,11,BLK_11P,3,NC,5,2025-03-06 15:26:01,2025-03-06 16:13:16,47.2,,공통
b70_ps_heavy_r1,GA,11,BLK_11P,3,베이35A 론지취부,6,2025-03-06 16:13:16,2025-03-06 16:51:16,38.0,35A,베이35A
b70_ps_heavy_r1,GA,11,BLK_11P,3,베이35A 론지용접,7,2025-03-06 16:51:16,2025-03-06 17:05:04,13.8,35A,베이35A
b70_ps_heavy_r1,GA,11,BLK_11P,3,베이35A 수정,8,2025-03-06 17:05:04,2025-03-06 17:27:40,22.6,35A,베이35A
b70_ps_heavy_r1,GA,63,BLK_63C,4,판계,1,2025-03-06 09:55:00,2025-03-06 10:07:00,12.0,,공통
b70_ps_heavy_r1,GA,63,BLK_63C,4,전면SAW,2,2025-03-06 13:38:02,2025-03-06 14:26:51,48.8,,공통
b70_ps_heavy_r1,GA,63,BLK_63C,4,TurnOver,3,2025-03-06 14:26:51,2025-03-06 14:38:51,12.0,,공통
b70_ps_heavy_r1,GA,63,BLK_63C,4,후면SAW,4,2025-03-06 15:26:01,2025-03-06 16:09:07,43.1,,공통
b70_ps_heavy_r1,GA,63,BLK_63C,4,NC,5,2025-03-06 16:13:16,2025-03-06 16:37:15,24.0,,공통
b70_ps_heavy_r1,GA,63,BLK_63C,4,베이36B 론지취부,6,2025-03-06 16:37:15,2025-03-06 17:18:45,41.5,36B,베이36B
b70_ps_heavy_r1,GA,63,BLK_63C,4,베이36B 론지용접,7,2025-03-06 17:18:45,2025-03-06 17:37:09,18.4,36B,베이36B
b70_ps_heavy_r1,GA,63,BLK_63C,4,베이36B 수정,8,2025-03-06 17:37:09,2025-03-06 18:01:57,24.8,36B,베이36B
b70_ps_heavy_r1,GA,34,BLK_34C,5,판계,1,2025-03-06 10:07:00,2025-03-06 10:45:00,38.0,,공통
b70_ps_heavy_r1,GA,34,BLK_34C,5,전면SAW,2,2025-03-06 14:26:51,2025-03-06 16:02:28,95.6,,공통
b70_ps_heavy_r1,GA,34,BLK_34C,5,TurnOver,3,2025-03-06 16:02:28,2025-03-06 16:14:28,12.0,,공통
b70_ps_heavy_r1,GA,34,BLK_34C,5,후면SAW,4,2025-03-06 16:14:28,2025-03-06 17:29:24,74.9,,공통
b70_ps_heavy_r1,GA,34,BLK_34C,5,NC,5,2025-03-06 17:29:24,2025-03-06 18:14:01,44.6,,공통
b70_ps_heavy_r1,GA,34,BLK_34C,5,베이35A 론지취부,6,2025-03-06 18:14:01,2025-03-06 19:09:31,55.5,35A,베이35A
b70_ps_heavy_r1,GA,34,BLK_34C,5,베이35A 론지용접,7,2025-03-06 19:09:31,2025-03-06 19:30:19,20.8,35A,베이35A
b70_ps_heavy_r1,GA,34,BLK_34C,5,베이35A 수정,8,2025-03-06 19:30:19,2025-03-06 20:03:55,33.6,35A,베이35A
b70_ps_heavy_r1,GA,31,BLK_31C,6,판계,1,2025-03-06 10:45:00,2025-03-06 11:15:00,30.0,,공통
b70_ps_heavy_r1,GA,31,BLK_31C,6,전면SAW,2,2025-03-06 16:02:28,2025-03-06 16:33:01,30.6,,공통
b70_ps_heavy_r1,GA,31,BLK_31C,6,TurnOver,3,2025-03-06 16:33:01,2025-03-06 16:45:01,12.0,,공통
b70_ps_heavy_r1,GA,31,BLK_31C,6,후면SAW,4,2025-03-06 17:29:24,2025-03-06 17:48:30,19.1,,공통
b70_ps_heavy_r1,GA,31,BLK_31C,6,NC,5,2025-03-06 18:14:01,2025-03-06 19:03:51,49.8,,공통
b70_ps_heavy_r1,GA,31,BLK_31C,6,베이36B 론지취부,6,2025-03-06 19:03:51,2025-03-06 20:44:51,101.0,36B,베이36B
b70_ps_heavy_r1,GA,31,BLK_31C,6,베이36B 론지용접,7,2025-03-06 20:44:51,2025-03-06 21:13:27,28.6,36B,베이36B
b70_ps_heavy_r1,GA,31,BLK_31C,6,베이36B 수정,8,2025-03-06 21:13:27,2025-03-06 22:15:39,62.2,36B,베이36B
b70_ps_heavy_r1,GA,53,BLK_53P,7,판계,1,2025-03-06 11:15:00,2025-03-06 12:07:00,52.0,,공통
b70_ps_heavy_r1,GA,53,BLK_53P,7,전면SAW,2,2025-03-06 16:33:01,2025-03-06 19:43:01,190.0,,공통
b70_ps_heavy_r1,GA,53,BLK_53P,7,TurnOver,3,2025-03-06 19:43:01,2025-03-06 19:55:01,12.0,,공통
b70_ps_heavy_r1,GA,53,BLK_53P,7,후면SAW,4,2025-03-06 19:55:01,2025-03-06 22:40:01,165.0,,공통
b70_ps_heavy_r1,GA,53,BLK_53P,7,NC,5,2025-03-06 22:40:01,2025-03-06 23:42:04,62.0,,공통
b70_ps_heavy_r1,GA,53,BLK_53P,7,베이35A 론지취부,6,2025-03-06 23:42:04,2025-03-07 00:58:34,76.5,35A,베이35A
b70_ps_heavy_r1,GA,53,BLK_53P,7,베이35A 론지용접,7,2025-03-07 00:58:34,2025-03-07 01:22:58,24.4,35A,베이35A
b70_ps_heavy_r1,GA,53,BLK_53P,7,베이35A 수정,8,2025-03-07 01:22:58,2025-03-07 02:09:46,46.8,35A,베이35A
b70_ps_heavy_r1,GA,40,BLK_40S,8,판계,1,2025-03-06 12:07:00,2025-03-06 12:32:00,25.0,,공통
b70_ps_heavy_r1,GA,40,BLK_40S,8,전면SAW,2,2025-03-06 19:43:01,2025-03-06 20:16:13,33.2,,공통
b70_ps_heavy_r1,GA,40,BLK_40S,8,TurnOver,3,2025-03-06 20:16:13,2025-03-06 20:28:13,12.0,,공통
b70_ps_heavy_r1,GA,40,BLK_40S,8,후면SAW,4,2025-03-06 22:40:01,2025-03-06 23:02:34,22.5,,공통
b70_ps_heavy_r1,GA,40,BLK_40S,8,NC,5,2025-03-06 23:42:04,2025-03-07 00:17:54,35.8,,공통
b70_ps_heavy_r1,GA,40,BLK_40S,8,베이36B 론지취부,6,2025-03-07 00:17:54,2025-03-07 01:27:24,69.5,36B,베이36B
b70_ps_heavy_r1,GA,40,BLK_40S,8,베이36B 론지용접,7,2025-03-07 01:27:24,2025-03-07 01:50:36,23.2,36B,베이36B
b70_ps_heavy_r1,GA,40,BLK_40S,8,베이36B 수정,8,2025-03-07 01:50:36,2025-03-07 02:33:00,42.4,36B,베이36B
b70_ps_heavy_r1,GA,47,BLK_47S,9,판계,1,2025-03-06 12:32:00,2025-03-06 13:10:00,38.0,,공통
b70_ps_heavy_r1,GA,47,BLK_47S,9,전면SAW,2,2025-03-06 20:16:13,2025-03-06 22:07:48,111.6,,공통
b70_ps_heavy_r1,GA,47,BLK_47S,9,TurnOver,3,2025-03-06 22:07:48,2025-03-06 22:19:48,12.0,,공통
b70_ps_heavy_r1,GA,47,BLK_47S,9,후면SAW,4,2025-03-06 23:02:34,2025-03-07 00:32:04,89.5,,공통
b70_ps_heavy_r1,GA,47,BLK_47S,9,NC,5,2025-03-07 00:32:04,2025-03-07 01:19:25,47.4,,공통
b70_ps_heavy_r1,GA,47,BLK_47S,9,베이35A 론지취부,6,2025-03-07 01:19:25,2025-03-07 02:42:55,83.5,35A,베이35A
b70_ps_heavy_r1,GA,47,BLK_47S,9,베이35A 론지용접,7,2025-03-07 02:42:55,2025-03-07 03:08:31,25.6,35A,베이35A
b70_ps_heavy_r1,GA,47,BLK_47S,9,베이35A 수정,8,2025-03-07 03:08:31,2025-03-07 03:59:43,51.2,35A,베이35A
b70_ps_heavy_r1,GA,5,BLK_5C,10,판계,1,2025-03-06 13:10:00,2025-03-06 13:40:00,30.0,,공통
b70_ps_heavy_r1,GA,5,BLK_5C,10,전면SAW,2,2025-03-06 22:07:48,2025-03-06 22:40:12,32.4,,공통
b70_ps_heavy_r1,GA,5,BLK_5C,10,TurnOver,3,2025-03-06 22:40:12,2025-03-06 22:52:12,12.0,,공통
b70_ps_heavy_r1,GA,5,BLK_5C,10,후면SAW,4,2025-03-07 00:32:04,2025-03-07 00:53:34,21.5,,공통
b70_ps_heavy_r1,GA,5,BLK_5C,10,NC,5,2025-03-07 01:19:25,2025-03-07 02:01:39,42.2,,공통
b70_ps_heavy_r1,GA,5,BLK_5C,10,베이36B 론지취부,6,2025-03-07 02:01:39,2025-03-07 03:11:09,69.5,36B,베이36B
b70_ps_heavy_r1,GA,5,BLK_5C,10,베이36B 론지용접,7,2025-03-07 03:11:09,2025-03-07 03:34:21,23.2,36B,베이36B
b70_ps_heavy_r1,GA,5,BLK_5C,10,베이36B 수정,8,2025-03-07 03:34:21,2025-03-07 04:16:45,42.4,36B,베이36B
b70_ps_heavy_r1,GA,7,BLK_7P,11,판계,1,2025-03-06 13:40:00,2025-03-06 14:10:00,30.0,,공통
b70_ps_heavy_r1,GA,7,BLK_7P,11,전면SAW,2,2025-03-06 22:40:12,2025-03-06 23:12:13,32.0,,공통
b70_ps_heavy_r1,GA,7,BLK_7P,11,TurnOver,3,2025-03-06 23:12:13,2025-03-06 23:24:13,12.0,,공통
b70_ps_heavy_r1,GA,7,BLK_7P,11,후면SAW,4,2025-03-07 00:53:34,2025-03-07 01:14:34,21.0,,공통
b70_ps_heavy_r1,GA,7,BLK_7P,11,NC,5,2025-03-07 02:01:39,2025-03-07 02:53:38,52.0,,공통
b70_ps_heavy_r1,GA,7,BLK_7P,11,베이36B 론지취부,6,2025-03-07 03:11:09,2025-03-07 05:06:09,115.0,36B,베이36B
b70_ps_heavy_r1,GA,7,BLK_7P,11,베이36B 론지용접,7,2025-03-07 05:06:09,2025-03-07 05:37:09,31.0,36B,베이36B
