grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,1,BLK_1C,1,판계,1,2025-12-22 08:00:00,2025-12-22 08:40:00,40.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,1,BLK_1C,1,전면SAW,2,2025-12-22 08:40:00,2025-12-22 10:45:20,125.3,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,1,BLK_1C,1,TurnOver,3,2025-12-22 10:45:20,2025-12-22 10:57:20,12.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,1,BLK_1C,1,후면SAW,4,2025-12-22 10:57:20,2025-12-22 12:43:31,106.2,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,1,BLK_1C,1,NC,5,2025-12-22 12:43:31,2025-12-22 13:26:55,43.4,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,1,BLK_1C,1,베이35A 론지취부,6,2025-12-22 13:26:55,2025-12-22 14:06:21,39.4,35A,베이35A,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,1,BLK_1C,1,베이35A 론지용접,7,2025-12-22 14:06:21,2025-12-22 14:26:01,19.7,35A,베이35A,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,1,BLK_1C,1,베이35A 수정,8,2025-12-22 14:26:01,2025-12-22 14:46:25,20.4,35A,베이35A,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,13,BLK_13C,2,판계,1,2025-12-22 08:40:00,2025-12-22 09:10:00,30.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,13,BLK_13C,2,전면SAW,2,2025-12-22 10:45:20,2025-12-22 11:16:48,31.5,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,13,BLK_13C,2,TurnOver,3,2025-12-22 11:16:48,2025-12-22 11:28:48,12.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,13,BLK_13C,2,후면SAW,4,2025-12-22 12:43:31,2025-12-22 13:03:48,20.3,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,13,BLK_13C,2,NC,5,2025-12-22 13:26:55,2025-12-22 14:08:47,41.9,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,13,BLK_13C,2,베이36B 론지취부,6,2025-12-22 14:08:47,2025-12-22 15:49:47,101.0,36B,베이36B,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,13,BLK_13C,2,베이36B 론지용접,7,2025-12-22 15:49:47,2025-12-22 16:18:23,28.6,36B,베이36B,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,13,BLK_13C,2,베이36B 수정,8,2025-12-22 16:18:23,2025-12-22 17:20:35,62.2,36B,베이36B,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,5,BLK_5P,3,판계,1,2025-12-22 09:10:00,2025-12-22 09:30:00,20.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,5,BLK_5P,3,전면SAW,2,2025-12-22 11:16:48,2025-12-22 12:59:55,103.1,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,5,BLK_5P,3,TurnOver,3,2025-12-22 12:59:55,2025-12-22 13:11:55,12.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,5,BLK_5P,3,후면SAW,4,2025-12-22 13:11:55,2025-12-22 14:54:10,102.2,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,5,BLK_5P,3,NC,5,2025-12-22 14:54:10,2025-12-22 15:19:51,25.7,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,5,BLK_5P,3,베이35A 론지취부,6,2025-12-22 15:19:51,2025-12-22 15:47:21,27.5,35A,베이35A,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,5,BLK_5P,3,베이35A 론지용접,7,2025-12-22 15:47:21,2025-12-22 15:59:21,12.0,35A,베이35A,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,5,BLK_5P,3,베이35A 수정,8,2025-12-22 15:59:21,2025-12-22 16:15:21,16.0,35A,베이35A,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,17,BLK_17C,4,판계,1,2025-12-22 09:30:00,2025-12-22 09:55:00,25.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,17,BLK_17C,4,전면SAW,2,2025-12-22 12:59:55,2025-12-22 13:31:56,32.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,17,BLK_17C,4,TurnOver,3,2025-12-22 13:31:56,2025-12-22 13:43:56,12.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,17,BLK_17C,4,후면SAW,4,2025-12-22 14:54:10,2025-12-22 15:15:10,21.0,,공통,raw,
b80_base_r1,LPT,Small (20-80),80,base,89.55,9,20251222,17,BLK_17C,4,NC,5,2025-12-22 15:19:51,2025-12-22 15:53:06,33.2,,공통,raw,
