grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b80_base_r1,MSF,5,BLK_5P,1,35A,318.5,P,line,L_1,5.4,5,1,1,0,2025-12-22 08:00,2025-12-22 13:18,2025-12-22 13:18
b80_base_r1,MSF,1,BLK_1C,2,36B,406.4,C,line,L_1,10.7,8,3,0,0,2025-12-22 08:20,2025-12-22 16:09,2025-12-22 16:09
b80_base_r1,MSF,9,BLK_9S,3,35A,289.9,S,line,L_1,5.6,8,1,1,1,2025-12-22 09:00,2025-12-22 16:55,2025-12-22 16:55
b80_base_r1,MSF,17,BLK_17C,4,36B,252.1,C,line,L_1,12.6,16,3,0,1,2025-12-22 09:20,2025-12-22 18:23,2025-12-22 18:23
b80_base_r1,MSF,13,BLK_13C,5,35A,327.4,C,line,L_1,16.8,26,4,0,1,2025-12-22 09:45,2025-12-22 20:07,2025-12-22 20:07
b80_base_r1,MSF,21,BLK_21C,6,36B,264.4,C,line,L_1,12.5,10,1,0,1,2025-12-22 10:15,2025-12-22 18:54,2025-12-22 18:54
b80_base_r1,MSF,25,BLK_25S,7,35A,520.6,S,line,L_1,17.4,20,4,2,1,2025-12-22 10:27,2025-12-22 23:39,2025-12-22 23:39
b80_base_r1,MSF,29,BLK_29P,8,36B,238.0,P,line,L_1,18.0,12,4,0,1,2025-12-22 11:12,2025-12-22 23:32,2025-12-22 23:32
b80_base_r1,MSF,33,BLK_33C,9,35A,203.7,C,fixed,F_1,5.4,8,1,0,0,2025-12-22 11:42,2025-12-23 00:00,2025-12-23 00:00
b80_base_r1,MSF,73,BLK_73P,10,36B,213.4,P,fixed,F_1,10.0,11,2,0,0,2025-12-22 11:54,2025-12-23 00:18,2025-12-23 00:18
b80_base_r1,MSF,63,BLK_63S,11,35A,310.0,S,fixed,F_1,12.5,5,3,2,0,2025-12-22 12:14,2025-12-23 00:22,2025-12-23 00:22
b80_base_r1,MSF,43,BLK_43P,12,36B,331.9,P,fixed,F_1,19.9,26,4,0,0,2025-12-22 12:54,2025-12-23 03:19,2025-12-23 03:19
b80_base_r1,MSF,53,BLK_53S,13,35A,255.7,S,fixed,F_1,14.9,15,4,0,0,2025-12-22 13:24,2025-12-23 02:51,2025-12-23 02:51
b80_base_r1,MSF,45,BLK_45P,14,36B,236.2,P,fixed,F_2,10.1,14,2,0,0,2025-12-22 13:54,2025-12-23 03:55,2025-12-23 03:55
b80_base_r1,MSF,2,BLK_2C,15,35A,422.7,C,line,L_1,12.5,16,3,0,0,2025-12-22 14:14,2025-12-23 05:32,2025-12-23 05:32
b80_base_r1,MSF,22,BLK_22S,16,36B,432.7,S,line,L_1,12.5,14,3,1,0,2025-12-22 14:47,2025-12-23 07:27,2025-12-23 07:27
b80_base_r1,MSF,55,BLK_55C,17,35A,257.1,C,fixed,F_2,18.1,17,3,0,0,2025-12-22 15:20,2025-12-23 08:22,2025-12-23 08:22
b80_base_r1,MSF,35,BLK_35C,18,36B,259.4,C,fixed,F_2,23.3,15,4,0,0,2025-12-22 15:45,2025-12-23 08:52,2025-12-23 08:52
b80_base_r1,MSF,75,BLK_75C,19,35A,415.6,C,fixed,F_2,16.7,22,5,1,0,2025-12-22 16:15,2025-12-23 10:27,2025-12-23 10:27
b80_base_r1,MSF,10,BLK_10P,20,36B,311.6,P,line,L_1,19.9,18,4,0,0,2025-12-22 16:45,2025-12-23 10:47,2025-12-23 10:47
b80_base_r1,MSF,18,BLK_18S,21,35A,585.5,S,line,L_1,18.9,28,4,2,0,2025-12-22 17:15,2025-12-23 14:58,2025-12-23 14:58
b80_base_r1,MSF,60,BLK_60C,22,36B,213.9,C,fixed,F_7,5.4,11,2,0,0,2025-12-22 18:00,2025-12-23 13:38,2025-12-23 13:38
b80_base_r1,MSF,6,BLK_6S,23,35A,296.6,S,line,L_1,18.9,21,5,0,0,2025-12-23 08:00,2025-12-23 16:02,2025-12-23 16:02
b80_base_r1,MSF,48,BLK_48P,24,36B,386.0,P,fixed,F_5,5.4,9,1,1,0,2025-12-23 08:30,2025-12-23 15:43,2025-12-23 15:43
b80_base_r1,MSF,38,BLK_38C,25,35A,255.3,C,fixed,F_5,10.3,12,3,0,0,2025-12-23 08:50,2025-12-23 16:51,2025-12-23 16:51
b80_base_r1,MSF,40,BLK_40C,26,36B,210.3,C,fixed,F_7,12.0,11,3,0,0,2025-12-23 09:15,2025-12-23 17:17,2025-12-23 17:17
b80_base_r1,MSF,50,BLK_50S,27,35A,228.6,S,fixed,F_7,7.4,13,3,0,0,2025-12-23 09:40,2025-12-23 18:02,2025-12-23 18:02
b80_base_r1,MSF,78,BLK_78S,28,36B,242.5,S,fixed,F_5,16.5,14,3,0,0,2025-12-23 10:05,2025-12-23 18:43,2025-12-23 18:43
b80_base_r1,MSF,68,BLK_68P,29,35A,325.1,P,fixed,F_5,15.7,20,4,0,0,2025-12-23 10:30,2025-12-23 20:03,2025-12-23 20:03
b80_base_r1,MSF,80,BLK_80P,30,36B,626.4,P,fixed,F_7,21.4,23,4,2,0,2025-12-23 11:00,2025-12-24 00:35,2025-12-24 00:35
b80_base_r1,MSF,58,BLK_58C,31,36B,342.4,C,fixed,F_5,21.5,26,5,0,0,2025-12-23 11:45,2025-12-24 02:25,2025-12-24 02:25
b80_base_r1,MSF,26,BLK_26C,32,35A,393.3,C,line,L_1,9.5,6,1,2,0,2025-12-23 12:15,2025-12-24 00:44,2025-12-24 00:44
b80_base_r1,MSF,14,BLK_14C,33,36B,254.2,C,line,L_1,15.5,14,2,0,0,2025-12-23 12:42,2025-12-24 03:00,2025-12-24 03:00
b80_base_r1,MSF,30,BLK_30S,34,35A,361.4,S,line,L_1,18.8,14,5,1,1,2025-12-23 13:02,2025-12-24 03:33,2025-12-24 03:33
b80_base_r1,MSF,44,BLK_44S,35,36B,207.2,S,fixed,F_10,8.2,9,1,0,0,2025-12-23 13:32,2025-12-24 03:25,2025-12-24 03:25
b80_base_r1,MSF,24,BLK_24P,36,35A,337.5,P,line,L_2,5.4,4,1,1,0,2025-12-23 13:44,2025-12-24 05:12,2025-12-24 05:12
b80_base_r1,MSF,65,BLK_65S,37,36B,282.2,S,fixed,F_2,10.1,18,1,0,0,2025-12-23 14:04,2025-12-24 07:26,2025-12-24 07:26
b80_base_r1,MSF,11,BLK_11S,38,35A,277.7,S,line,L_2,12.7,19,2,0,0,2025-12-23 14:16,2025-12-24 08:07,2025-12-24 08:07
b80_base_r1,MSF,19,BLK_19S,39,36B,475.1,S,line,L_2,12.0,16,2,1,0,2025-12-23 14:36,2025-12-24 10:56,2025-12-24 10:56
b80_base_r1,MSF,12,BLK_12C,40,35A,174.0,C,line,L_2,9.5,7,2,0,0,2025-12-23 15:04,2025-12-24 10:24,2025-12-24 10:24
b80_base_r1,MSF,16,BLK_16S,41,36B,270.1,S,line,L_2,13.6,18,3,0,0,2025-12-23 15:24,2025-12-24 12:14,2025-12-24 12:14
b80_base_r1,MSF,3,BLK_3C,42,35A,271.6,C,line,L_2,18.0,14,4,0,0,2025-12-23 15:49,2025-12-24 12:25,2025-12-24 12:25
b80_base_r1,MSF,20,BLK_20S,43,36B,542.8,S,line,L_2,21.2,17,3,2,0,2025-12-23 16:19,2025-12-24 16:02,2025-12-24 16:02
b80_base_r1,MSF,4,BLK_4C,44,36B,365.3,C,line,L_2,28.9,21,4,0,0,2025-12-23 16:59,2025-12-24 17:36,2025-12-24 17:36
b80_base_r1,MSF,42,BLK_42C,45,35A,208.1,C,fixed,F_9,5.4,10,1,0,0,2025-12-23 17:51,2025-12-24 16:41,2025-12-24 16:41
b80_base_r1,MSF,72,BLK_72C,46,36B,252.6,C,fixed,F_9,10.3,12,1,0,0,2025-12-23 18:03,2025-12-24 18:08,2025-12-24 18:08
b80_base_r1,MSF,23,BLK_23P,47,35A,373.0,P,line,L_2,15.7,18,4,1,0,2025-12-24 08:00,2025-12-24 19:03,2025-12-24 19:03
b80_base_r1,MSF,8,BLK_8P,48,36B,222.2,P,line,L_2,10.0,11,4,0,0,2025-12-24 08:38,2025-12-24 18:56,2025-12-24 18:56
