grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b80_base_r1,SPT,17,BLK_17C,1,판계,1,2025-12-22 08:00:00,2025-12-22 08:25:00,25.0,,공통
b80_base_r1,SPT,17,BLK_17C,1,전면SAW,2,2025-12-22 08:25:00,2025-12-22 08:57:00,32.0,,공통
b80_base_r1,SPT,17,BLK_17C,1,TurnOver,3,2025-12-22 08:57:00,2025-12-22 09:09:00,12.0,,공통
b80_base_r1,SPT,17,BLK_17C,1,후면SAW,4,2025-12-22 09:09:00,2025-12-22 09:30:00,21.0,,공통
b80_base_r1,SPT,17,BLK_17C,1,NC,5,2025-12-22 09:30:00,2025-12-22 10:03:15,33.2,,공통
b80_base_r1,SPT,17,BLK_17C,1,베이35A 론지취부,6,2025-12-22 10:03:15,2025-12-22 11:09:15,66.0,35A,베이35A
b80_base_r1,SPT,17,BLK_17C,1,베이35A 론지용접,7,2025-12-22 11:09:15,2025-12-22 11:31:51,22.6,35A,베이35A
b80_base_r1,SPT,17,BLK_17C,1,베이35A 수정,8,2025-12-22 11:31:51,2025-12-22 12:12:03,40.2,35A,베이35A
b80_base_r1,SPT,9,BLK_9S,2,판계,1,2025-12-22 08:25:00,2025-12-22 08:45:00,20.0,,공통
b80_base_r1,SPT,9,BLK_9S,2,전면SAW,2,2025-12-22 08:57:00,2025-12-22 10:26:08,89.1,,공통
b80_base_r1,SPT,9,BLK_9S,2,TurnOver,3,2025-12-22 10:26:08,2025-12-22 10:38:08,12.0,,공통
b80_base_r1,SPT,9,BLK_9S,2,후면SAW,4,2025-12-22 10:38:08,2025-12-22 11:47:10,69.0,,공통
b80_base_r1,SPT,9,BLK_9S,2,NC,5,2025-12-22 11:47:10,2025-12-22 12:12:31,25.4,,공통
b80_base_r1,SPT,9,BLK_9S,2,베이36B 론지취부,6,2025-12-22 12:12:31,2025-12-22 12:50:31,38.0,36B,베이36B
b80_base_r1,SPT,9,BLK_9S,2,베이36B 론지용접,7,2025-12-22 12:50:31,2025-12-22 13:04:19,13.8,36B,베이36B
b80_base_r1,SPT,9,BLK_9S,2,베이36B 수정,8,2025-12-22 13:04:19,2025-12-22 13:26:55,22.6,36B,베이36B
b80_base_r1,SPT,13,BLK_13C,3,판계,1,2025-12-22 08:45:00,2025-12-22 09:15:00,30.0,,공통
b80_base_r1,SPT,13,BLK_13C,3,전면SAW,2,2025-12-22 10:26:08,2025-12-22 10:57:36,31.5,,공통
b80_base_r1,SPT,13,BLK_13C,3,TurnOver,3,2025-12-22 10:57:36,2025-12-22 11:09:36,12.0,,공통
b80_base_r1,SPT,13,BLK_13C,3,후면SAW,4,2025-12-22 11:47:10,2025-12-22 12:07:27,20.3,,공통
b80_base_r1,SPT,13,BLK_13C,3,NC,5,2025-12-22 12:12:31,2025-12-22 12:54:23,41.9,,공통
b80_base_r1,SPT,13,BLK_13C,3,베이35A 론지취부,6,2025-12-22 12:54:23,2025-12-22 14:35:23,101.0,35A,베이35A
b80_base_r1,SPT,13,BLK_13C,3,베이35A 론지용접,7,2025-12-22 14:35:23,2025-12-22 15:03:59,28.6,35A,베이35A
b80_base_r1,SPT,13,BLK_13C,3,베이35A 수정,8,2025-12-22 15:03:59,2025-12-22 16:06:11,62.2,35A,베이35A
b80_base_r1,SPT,5,BLK_5P,4,판계,1,2025-12-22 09:15:00,2025-12-22 09:35:00,20.0,,공통
b80_base_r1,SPT,5,BLK_5P,4,전면SAW,2,2025-12-22 10:57:36,2025-12-22 12:40:43,103.1,,공통
b80_base_r1,SPT,5,BLK_5P,4,TurnOver,3,2025-12-22 12:40:43,2025-12-22 12:52:43,12.0,,공통
b80_base_r1,SPT,5,BLK_5P,4,후면SAW,4,2025-12-22 12:52:43,2025-12-22 14:34:58,102.2,,공통
b80_base_r1,SPT,5,BLK_5P,4,NC,5,2025-12-22 14:34:58,2025-12-22 15:00:39,25.7,,공통
b80_base_r1,SPT,5,BLK_5P,4,베이36B 론지취부,6,2025-12-22 15:00:39,2025-12-22 15:28:09,27.5,36B,베이36B
b80_base_r1,SPT,5,BLK_5P,4,베이36B 론지용접,7,2025-12-22 15:28:09,2025-12-22 15:40:09,12.0,36B,베이36B
