grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b80_overload_r1,LPT,17,BLK_17C,1,35A,364.2,C,line,L_1,17.4,26,3,0,0,2025-04-24 08:00,2025-04-24 14:04,2025-04-24 14:04
b80_overload_r1,LPT,1,BLK_1C,2,36B,340.4,C,line,L_1,19.9,22,4,0,0,2025-04-24 08:27,2025-04-24 14:23,2025-04-24 14:23
b80_overload_r1,LPT,13,BLK_13C,3,35A,264.3,C,line,L_1,18.6,11,6,0,1,2025-04-24 09:00,2025-04-24 14:36,2025-04-24 14:36
b80_overload_r1,LPT,9,BLK_9S,4,36B,258.9,S,line,L_1,18.0,14,4,0,1,2025-04-24 09:33,2025-04-24 15:04,2025-04-24 15:04
b80_overload_r1,LPT,5,BLK_5C,5,35A,186.5,C,line,L_1,12.3,5,3,0,1,2025-04-24 10:06,2025-04-24 14:53,2025-04-24 14:53
b80_overload_r1,LPT,29,BLK_29S,6,36B,304.6,S,line,L_1,18.1,18,3,0,1,2025-04-24 10:34,2025-04-24 16:49,2025-04-24 16:49
b80_overload_r1,LPT,21,BLK_21C,7,35A,297.5,C,line,L_1,15.3,17,4,0,1,2025-04-24 11:01,2025-04-24 17:28,2025-04-24 17:28
b80_overload_r1,LPT,25,BLK_25P,8,36B,285.5,P,line,L_1,15.3,17,3,0,1,2025-04-24 11:34,2025-04-24 18:09,2025-04-24 18:09
b80_overload_r1,LPT,42,BLK_42P,9,35A,458.2,P,fixed,F_1,15.5,19,2,1,0,2025-04-24 12:02,2025-04-24 20:12,2025-04-24 20:12
b80_overload_r1,LPT,32,BLK_32C,10,36B,326.4,C,fixed,F_1,22.5,20,4,0,0,2025-04-24 12:32,2025-04-24 21:13,2025-04-24 21:13
b80_overload_r1,LPT,62,BLK_62S,11,35A,237.8,S,fixed,F_1,15.6,9,4,0,0,2025-04-24 13:05,2025-04-24 20:41,2025-04-24 20:41
b80_overload_r1,LPT,10,BLK_10P,12,36B,458.8,P,line,L_1,12.0,11,3,2,0,2025-04-24 13:38,2025-04-24 23:05,2025-04-24 23:05
b80_overload_r1,LPT,2,BLK_2P,13,35A,354.6,P,line,L_1,15.7,20,4,0,0,2025-04-24 14:22,2025-04-25 00:54,2025-04-25 00:54
b80_overload_r1,LPT,78,BLK_2S,14,36B,354.6,S,line,L_1,15.7,20,4,0,1,2025-04-24 14:55,2025-04-25 01:40,2025-04-25 01:40
b80_overload_r1,LPT,6,BLK_6C,15,35A,261.8,C,line,L_1,15.7,15,2,0,1,2025-04-24 15:28,2025-04-25 01:47,2025-04-25 01:47
b80_overload_r1,LPT,52,BLK_52S,16,36B,439.1,S,fixed,F_1,10.1,13,2,2,0,2025-04-24 15:50,2025-04-25 03:30,2025-04-25 03:30
b80_overload_r1,LPT,72,BLK_72S,17,35A,359.0,S,fixed,F_1,19.9,25,6,0,0,2025-04-24 16:29,2025-04-25 05:47,2025-04-25 05:47
b80_overload_r1,LPT,79,BLK_72S,17,35A,359.0,S,fixed,F_1,19.9,25,6,0,0,2025-04-24 16:29,2025-04-25 05:47,2025-04-25 05:47
b80_overload_r1,LPT,22,BLK_22C,18,36B,344.0,C,line,L_1,16.4,19,3,0,0,2025-04-24 17:02,2025-04-25 05:47,2025-04-25 05:47
b80_overload_r1,LPT,11,BLK_11C,19,35A,498.3,C,line,L_2,15.7,17,4,1,0,2025-04-24 17:29,2025-04-25 08:04,2025-04-25 08:04
b80_overload_r1,LPT,3,BLK_3C,20,36B,255.2,C,line,L_2,9.9,8,1,0,0,2025-04-24 18:11,2025-04-25 07:31,2025-04-25 07:31
b80_overload_r1,LPT,14,BLK_14P,21,35A,632.6,P,line,L_1,19.9,27,6,2,0,2025-04-25 08:00,2025-04-25 18:32,2025-04-25 18:32
b80_overload_r1,LPT,77,BLK_14S,22,36B,632.6,S,line,L_1,19.9,27,6,2,1,2025-04-25 08:33,2025-04-25 21:26,2025-04-25 21:26
b80_overload_r1,LPT,15,BLK_15S,23,35A,253.8,S,line,L_2,15.7,13,3,0,0,2025-04-25 09:06,2025-04-25 20:27,2025-04-25 20:27
b80_overload_r1,LPT,7,BLK_7S,24,36B,627.3,S,line,L_2,22.4,29,7,1,1,2025-04-25 09:33,2025-04-26 00:32,2025-04-26 00:32
b80_overload_r1,LPT,35,BLK_35C,25,35A,449.0,C,fixed,F_3,8.2,11,2,0,0,2025-04-25 10:23,2025-04-26 00:08,2025-04-26 00:08
b80_overload_r1,LPT,45,BLK_45S,26,36B,683.8,S,fixed,F_3,16.4,24,4,3,0,2025-04-25 10:53,2025-04-26 05:51,2025-04-26 05:51
b80_overload_r1,LPT,65,BLK_65S,27,35A,351.4,S,fixed,F_3,16.4,18,2,0,0,2025-04-25 11:43,2025-04-26 05:46,2025-04-26 05:46
b80_overload_r1,LPT,18,BLK_18P,28,36B,452.0,P,line,L_1,6.4,10,1,2,0,2025-04-25 12:05,2025-04-26 06:51,2025-04-26 06:51
b80_overload_r1,LPT,30,BLK_30S,29,35A,306.6,S,line,L_1,12.6,20,3,0,0,2025-04-25 12:35,2025-04-26 08:44,2025-04-26 08:44
b80_overload_r1,LPT,26,BLK_26C,30,36B,245.7,C,line,L_1,12.0,10,3,0,1,2025-04-25 13:02,2025-04-26 08:13,2025-04-26 08:13
b80_overload_r1,LPT,4,BLK_4C,31,35A,616.0,C,line,L_2,15.6,15,4,0,0,2025-04-25 13:30,2025-04-26 13:10,2025-04-26 13:10
b80_overload_r1,LPT,71,BLK_71S,32,36B,575.8,S,fixed,F_9,21.2,10,7,3,0,2025-04-25 14:19,2025-04-26 15:56,2025-04-26 15:56
b80_overload_r1,LPT,34,BLK_34C,33,35A,492.3,C,fixed,F_2,12.6,14,4,0,0,2025-04-25 15:09,2025-04-26 17:59,2025-04-26 17:59
b80_overload_r1,LPT,24,BLK_24S,34,36B,483.5,S,line,L_2,12.5,11,3,2,0,2025-04-25 15:58,2025-04-26 19:49,2025-04-26 19:49
b80_overload_r1,LPT,36,BLK_36C,35,35A,310.5,C,fixed,F_4,15.4,19,2,0,0,2025-04-25 16:42,2025-04-26 21:20,2025-04-26 21:20
b80_overload_r1,LPT,58,BLK_58S,36,36B,538.4,S,fixed,F_6,21.4,22,6,1,0,2025-04-26 08:00,2025-04-27 00:15,2025-04-27 00:15
b80_overload_r1,LPT,41,BLK_41C,37,35A,456.3,C,fixed,F_9,19.3,15,4,0,0,2025-04-26 08:33,2025-04-27 00:53,2025-04-27 00:53
b80_overload_r1,LPT,38,BLK_38C,38,36B,443.6,C,fixed,F_6,21.7,33,4,0,1,2025-04-26 09:14,2025-04-27 03:54,2025-04-27 03:54
b80_overload_r1,LPT,54,BLK_54P,39,35A,401.6,P,fixed,F_2,10.7,15,4,1,0,2025-04-26 09:47,2025-04-27 02:38,2025-04-27 02:38
b80_overload_r1,LPT,80,BLK_54P,39,35A,401.6,P,fixed,F_2,10.7,15,4,1,0,2025-04-26 09:47,2025-04-27 02:38,2025-04-27 02:38
b80_overload_r1,LPT,55,BLK_55S,40,36B,375.9,S,fixed,F_3,19.4,21,7,0,0,2025-04-26 10:29,2025-04-27 04:50,2025-04-27 04:50
b80_overload_r1,LPT,27,BLK_27C,41,35A,345.2,C,line,L_2,15.4,19,4,0,0,2025-04-26 11:19,2025-04-27 04:53,2025-04-27 04:53
b80_overload_r1,LPT,8,BLK_8P,42,36B,421.0,P,line,L_2,18.3,19,4,1,0,2025-04-26 11:52,2025-04-27 06:07,2025-04-27 06:07
b80_overload_r1,LPT,70,BLK_70P,43,35A,338.9,P,fixed,F_8,16.5,19,6,0,0,2025-04-26 12:33,2025-04-27 06:52,2025-04-27 06:52
b80_overload_r1,LPT,60,BLK_60C,44,36B,312.9,C,fixed,F_8,16.6,18,3,0,0,2025-04-26 13:06,2025-04-27 07:24,2025-04-27 07:24
b80_overload_r1,LPT,48,BLK_48P,45,35A,264.2,P,fixed,F_6,6.8,14,2,0,0,2025-04-27 08:00,2025-04-27 12:24,2025-04-27 12:24
b80_overload_r1,LPT,19,BLK_19P,46,36B,326.2,P,line,L_2,19.9,21,6,0,0,2025-04-27 08:22,2025-04-27 14:03,2025-04-27 14:03
b80_overload_r1,LPT,46,BLK_46S,47,35A,260.9,S,fixed,F_4,9.8,14,3,0,0,2025-04-27 08:55,2025-04-27 13:50,2025-04-27 13:50
b80_overload_r1,LPT,76,BLK_76S,48,36B,259.9,S,fixed,F_4,15.5,11,4,0,0,2025-04-27 09:22,2025-04-27 14:35,2025-04-27 14:35
b80_overload_r1,LPT,12,BLK_12P,49,35A,271.8,P,line,L_2,19.0,13,6,0,0,2025-04-27 09:55,2025-04-27 15:20,2025-04-27 15:20
b80_overload_r1,LPT,51,BLK_51P,50,36B,257.4,P,fixed,F_9,5.4,6,1,0,0,2025-04-27 10:28,2025-04-27 15:24,2025-04-27 15:24
