grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,am_sequence,block_id,block_name,port_starboard,assembly_type,line_group,assembly_workshop_code,block_assembly_date,width_m,longi_count,seam_count,c_seam_count,has_curved_plate,main_plate_count,assigned_bay,bay_changed,total_time_min,material_ready,material_type,is_subassembly,violations,violations_primary_count,violations_raw_count,constraint_ids,constraint_families,violation_details,panel_start_time,machine2_start_time,final_end_time,start_time,end_time,makespan_minutes,makespan_hours,process_1_time_min,process_2_time_min,process_3_time_min,process_4_time_min,process_5_time_min,process_6_time_min,process_7_time_min,process_8_time_min
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,1,5,BLK_5S,S,line,L_1,L_11,2025-05-20,10.3,10,1,0,False,4,35A,False,214.4,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 08:00,2025-05-20 08:12,2025-05-20 11:34,2025-05-20 08:00,2025-05-20 11:34,214.4,3.57,12.0,41.8,12.0,33.8,23.9,45.0,19.0,27.0
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,2,1,BLK_1C,C,line,L_1,L_11,2025-05-20,20.0,21,4,0,False,9,36B,False,442.4,True,NORMAL,False,0,0,1,[],[],[],2025-05-20 08:12,2025-05-20 08:53,2025-05-20 15:46,2025-05-20 08:12,2025-05-20 15:46,466.2,7.77,30.0,103.3,12.0,82.0,54.9,83.5,25.6,51.2
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,3,9,BLK_9C,C,line,L_1,L_11,2025-05-20,12.3,8,3,4,False,7,35A,False,533.8,True,NORMAL,False,1,1,2,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_11 3판 연속 → 최대 2판'],2025-05-20 08:42,2025-05-20 10:37,2025-05-20 18:44,2025-05-20 08:42,2025-05-20 18:44,644.9,10.75,46.0,190.0,12.0,151.9,55.5,38.0,17.8,22.6
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,4,10,BLK_10C,C,line,L_1,L_12,2025-05-22,8.3,12,2,0,False,6,36B,False,234.2,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 09:28,2025-05-20 13:47,2025-05-20 19:37,2025-05-20 09:28,2025-05-20 19:37,697.4,11.62,20.0,39.9,12.0,31.4,27.3,52.0,20.2,31.4
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,5,18,BLK_18P,P,line,L_1,L_12,2025-05-22,15.0,13,2,0,False,5,35A,False,244.2,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 09:48,2025-05-20 14:26,2025-05-20 20:14,2025-05-20 09:48,2025-05-20 20:14,735.0,12.25,20.0,39.8,12.0,31.3,31.2,55.5,20.8,33.6
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,6,14,BLK_14P,P,line,L_1,L_12,2025-05-22,12.3,15,3,0,False,5,36B,False,246.5,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 3판 연속 → 최대 2판'],2025-05-20 10:08,2025-05-20 15:06,2025-05-20 21:02,2025-05-20 10:08,2025-05-20 21:02,782.7,13.05,25.0,31.5,12.0,20.4,35.2,62.5,22.0,38.0
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,7,2,BLK_2C,C,line,L_1,L_12,2025-05-22,16.4,18,3,0,False,6,35A,False,270.8,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 4판 연속 → 최대 2판'],2025-05-20 10:33,2025-05-20 15:38,2025-05-20 21:59,2025-05-20 10:33,2025-05-20 21:59,839.4,13.99,25.0,32.7,12.0,21.9,37.7,73.0,23.8,44.6
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,8,6,BLK_6P,P,line,L_1,L_12,2025-05-22,18.1,21,4,0,False,7,36B,False,301.5,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 5판 연속 → 최대 2판'],2025-05-20 10:58,2025-05-20 16:11,2025-05-20 23:01,2025-05-20 10:58,2025-05-20 23:01,901.5,15.02,30.0,33.3,12.0,22.7,43.2,83.5,25.6,51.2
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,9,30,BLK_30S,S,line,L_1,L_12,2025-05-22,9.8,9,3,1,False,8,35A,False,302.5,True,NORMAL,False,1,1,1,['LINE_GROUP_CONSTRAINT'],['LINE_GROUP_FAMILY'],['라인 그룹 연속 제한 위반: L_12 6판 연속 → 최대 2판'],2025-05-20 11:28,2025-05-20 16:44,2025-05-20 22:24,2025-05-20 11:28,2025-05-20 22:24,901.5,15.02,33.0,76.7,12.0,57.7,38.4,41.5,18.4,24.8
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,10,26,BLK_26C,C,line,L_1,L_12,2025-05-22,15.6,18,4,2,False,8,36B,False,546.4,True,NORMAL,False,2,2,2,"['ROUTING_C_SEAM_SPACING', 'LINE_GROUP_CONSTRAINT']","['C_SEAM_SPACING_FAMILY', 'LINE_GROUP_FAMILY']","['C/Seam 블록 연속 배치 불가', '라인 그룹 연속 제한 위반: L_12 7판 연속 → 최대 2판']",2025-05-20 12:01,2025-05-20 18:01,2025-05-21 02:22,2025-05-20 12:01,2025-05-21 02:22,1102.4,18.37,45.0,158.1,12.0,137.5,52.4,73.0,23.8,44.6
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,11,13,BLK_13P,P,line,L_1,L_11,2025-05-23,15.7,15,3,2,False,5,35A,False,470.4,True,NORMAL,False,1,1,1,['ROUTING_C_SEAM_SPACING'],['C_SEAM_SPACING_FAMILY'],['C/Seam 블록 연속 배치 불가'],2025-05-20 12:46,2025-05-20 20:39,2025-05-21 03:49,2025-05-20 12:46,2025-05-21 03:49,1189.5,19.82,40.0,143.6,12.0,105.0,47.4,62.5,22.0,38.0
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,12,79,BLK_13S,S,line,L_1,L_11,2025-05-23,15.7,15,3,2,False,5,36B,False,470.4,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 13:26,2025-05-20 23:02,2025-05-21 06:13,2025-05-20 13:26,2025-05-21 06:13,1333.0,22.22,40.0,143.6,12.0,105.0,47.4,62.5,22.0,38.0
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,13,42,BLK_42P,P,fixed,F_1,F_1,2025-05-24,16.7,9,4,0,False,7,35A,False,214.2,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 14:06,2025-05-21 01:26,2025-05-21 06:15,2025-05-20 14:06,2025-05-21 06:15,1335.5,22.26,30.0,29.5,12.0,17.7,40.2,41.5,18.4,24.8
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,14,72,BLK_72S,S,fixed,F_1,F_1,2025-05-24,14.7,16,4,0,False,8,36B,False,260.2,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 14:36,2025-05-21 01:55,2025-05-21 07:40,2025-05-20 14:36,2025-05-21 07:40,1420.5,23.67,30.0,30.1,12.0,18.4,40.9,66.0,22.6,40.2
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,15,62,BLK_62C,C,fixed,F_1,F_1,2025-05-24,19.9,20,5,0,False,9,35A,False,325.3,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 15:06,2025-05-21 02:25,2025-05-21 08:55,2025-05-20 15:06,2025-05-21 08:55,1495.8,24.93,30.0,43.3,12.0,35.9,50.1,80.0,25.0,49.0
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,16,32,BLK_32C,C,fixed,F_1,F_1,2025-05-24,17.4,13,4,0,False,6,36B,False,360.1,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 15:36,2025-05-21 03:09,2025-05-21 08:56,2025-05-20 15:36,2025-05-21 08:56,1496.4,24.94,38.0,87.7,12.0,67.7,44.8,55.5,20.8,33.6
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,17,22,BLK_22C,C,line,L_1,L_12,2025-05-24,22.4,27,5,0,False,6,36B,False,368.6,True,NORMAL,False,0,0,0,[],[],[],2025-05-20 16:14,2025-05-21 04:36,2025-05-21 11:20,2025-05-20 16:14,2025-05-21 11:20,1640.1,27.34,30.0,43.3,12.0,35.8,49.4,104.5,29.2,64.4
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,18,17,BLK_17S,S,line,L_1,L_11,2025-05-24,15.4,19,5,1,False,9,35A,False,404.5,True,NORMAL,False,0,0,1,[],[],[],2025-05-20 16:44,2025-05-21 05:20,2025-05-21 11:34,2025-05-20 16:44,2025-05-21 11:34,1654.7,27.58,30.0,91.2,12.0,71.0,52.6,76.5,24.4,46.8
b80_ps_heavy_r1,SPT,Small (20-80),80,ps_heavy,113.18333333333334,27,20250520,19,76,BLK_76P,P,fixed,F_4,F_4,2025-05-25,5.4,5,1,0,False,3,36B,False,164.2,True,NORMAL,False,0,0,1,[],[],[],2025-05-20 17:14,2025-05-21 06:51,2025-05-21 11:36,2025-05-20 17:14,2025-05-21 11:36,1656.1,27.6,12.0,36.9,12.0,27.5,20.3,27.5,12.0,16.0
