grid_case_id,method_label,block_id,block_name,am_sequence,assigned_bay,total_time_min,port_starboard,assembly_type,line_group,width_m,longi_count,seam_count,c_seam_count,violations,start_time,end_time,final_end_time
b90_base_r1,GA,74,BLK_74P,1,35A,552.4,P,fixed,F_7,12.3,18,1,1,0,2025-11-18 08:00,2025-11-18 17:12,2025-11-18 17:12
b90_base_r1,GA,15,BLK_15S,2,36B,307.8,S,line,L_2,16.7,23,4,0,0,2025-11-18 08:20,2025-11-18 18:26,2025-11-18 18:26
b90_base_r1,GA,19,BLK_19C,3,35A,502.2,C,line,L_2,15.7,13,3,2,0,2025-11-18 08:50,2025-11-18 19:36,2025-11-18 19:36
b90_base_r1,GA,1,BLK_1C,4,36B,336.6,C,line,L_1,19.9,22,4,0,0,2025-11-18 09:30,2025-11-18 21:22,2025-11-18 21:22
b90_base_r1,GA,52,BLK_52P,5,35A,546.1,P,fixed,F_5,18.9,10,5,4,0,2025-11-18 10:00,2025-11-19 00:03,2025-11-19 00:03
b90_base_r1,GA,42,BLK_42C,6,36B,216.2,C,fixed,F_5,9.8,10,3,0,0,2025-11-18 10:30,2025-11-19 00:37,2025-11-19 00:37
b90_base_r1,GA,70,BLK_70S,7,35A,426.6,S,fixed,F_3,14.6,16,3,1,0,2025-11-18 10:55,2025-11-19 02:23,2025-11-19 02:23
b90_base_r1,GA,2,BLK_2C,8,36B,429.8,C,line,L_1,13.9,14,2,0,0,2025-11-18 11:28,2025-11-19 04:04,2025-11-19 04:04
b90_base_r1,GA,43,BLK_43C,9,35A,323.0,C,fixed,F_6,18.1,11,4,0,0,2025-11-18 11:56,2025-11-19 04:55,2025-11-19 04:55
b90_base_r1,GA,16,BLK_16P,10,36B,275.7,P,line,L_2,12.0,19,3,0,0,2025-11-18 12:34,2025-11-19 06:21,2025-11-19 06:21
b90_base_r1,GA,66,BLK_66C,11,35A,397.5,C,fixed,F_9,5.4,11,1,1,0,2025-11-18 12:59,2025-11-19 06:56,2025-11-19 06:56
b90_base_r1,GA,13,BLK_13S,12,36B,227.1,S,line,L_1,15.3,10,5,0,0,2025-11-18 13:19,2025-11-19 07:35,2025-11-19 07:35
b90_base_r1,GA,63,BLK_63C,13,35A,434.2,C,fixed,F_6,14.0,14,2,1,0,2025-11-18 13:49,2025-11-19 10:08,2025-11-19 10:08
b90_base_r1,GA,71,BLK_71P,14,36B,167.7,P,fixed,F_4,6.3,5,1,0,0,2025-11-18 14:17,2025-11-19 09:28,2025-11-19 09:28
b90_base_r1,GA,53,BLK_53C,15,35A,371.7,C,fixed,F_6,5.4,7,1,1,0,2025-11-18 14:29,2025-11-19 12:04,2025-11-19 12:04
b90_base_r1,GA,30,BLK_30C,16,36B,160.4,C,line,L_1,5.4,4,2,0,0,2025-11-18 14:49,2025-11-19 12:10,2025-11-19 12:10
b90_base_r1,GA,58,BLK_58C,17,35A,383.4,C,fixed,F_10,12.4,17,3,1,0,2025-11-18 15:09,2025-11-19 14:57,2025-11-19 14:57
b90_base_r1,GA,3,BLK_3C,18,36B,220.4,C,line,L_2,9.8,11,3,0,0,2025-11-18 15:42,2025-11-19 14:52,2025-11-19 14:52
b90_base_r1,GA,37,BLK_37C,19,35A,319.8,C,fixed,F_1,18.9,22,4,0,0,2025-11-18 16:07,2025-11-19 16:46,2025-11-19 16:46
