grid_case_id,method_label,size_bucket,total_blocks,distribution_profile,graph_makespan_hours,graph_violations,date,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type,unity_process_row_source,source_representative_block_id
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,37,BLK_37C,1,판계,1,2025-06-15 08:00:00,2025-06-15 08:30:00,30.0,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,37,BLK_37C,1,전면SAW,2,2025-06-15 08:30:00,2025-06-15 09:11:02,41.0,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,37,BLK_37C,1,TurnOver,3,2025-06-15 09:11:02,2025-06-15 09:25:26,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,37,BLK_37C,1,후면SAW,4,2025-06-15 09:25:26,2025-06-15 09:54:05,28.7,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,37,BLK_37C,1,NC,5,2025-06-15 09:54:05,2025-06-15 10:36:43,42.6,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,37,BLK_37C,1,베이35A 론지취부,6,2025-06-15 10:36:43,2025-06-15 12:21:07,104.4,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,37,BLK_37C,1,베이35A 론지용접,7,2025-06-15 12:21:07,2025-06-15 12:52:33,31.4,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,37,BLK_37C,1,베이35A 수정,8,2025-06-15 12:52:33,2025-06-15 13:56:38,64.1,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,47,BLK_47C,2,판계,1,2025-06-15 08:30:00,2025-06-15 09:06:00,36.0,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,47,BLK_47C,2,전면SAW,2,2025-06-15 09:11:02,2025-06-15 09:44:13,33.2,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,47,BLK_47C,2,TurnOver,3,2025-06-15 09:44:13,2025-06-15 09:58:37,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,47,BLK_47C,2,후면SAW,4,2025-06-15 09:58:37,2025-06-15 10:16:57,18.3,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,47,BLK_47C,2,NC,5,2025-06-15 10:36:43,2025-06-15 11:33:12,56.5,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,47,BLK_47C,2,베이36B 론지취부,6,2025-06-15 11:33:12,2025-06-15 13:34:24,121.2,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,47,BLK_47C,2,베이36B 론지용접,7,2025-06-15 13:34:24,2025-06-15 14:08:44,34.3,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,47,BLK_47C,2,베이36B 수정,8,2025-06-15 14:08:44,2025-06-15 15:23:22,74.6,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,1,BLK_1C,3,판계,1,2025-06-15 09:06:00,2025-06-15 09:20:24,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,1,BLK_1C,3,전면SAW,2,2025-06-15 09:44:13,2025-06-15 10:39:28,55.2,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,1,BLK_1C,3,TurnOver,3,2025-06-15 10:39:28,2025-06-15 10:53:52,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,1,BLK_1C,3,후면SAW,4,2025-06-15 10:53:52,2025-06-15 11:41:11,47.3,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,1,BLK_1C,3,NC,5,2025-06-15 11:41:11,2025-06-15 12:09:20,28.1,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,1,BLK_1C,3,베이35A 론지취부,6,2025-06-15 12:21:07,2025-06-15 13:08:26,47.3,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,1,BLK_1C,3,베이35A 론지용접,7,2025-06-15 13:08:26,2025-06-15 13:32:01,23.6,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,1,BLK_1C,3,베이35A 수정,8,2025-06-15 13:56:38,2025-06-15 14:21:07,24.5,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,17,BLK_17C,4,판계,1,2025-06-15 09:20:24,2025-06-15 09:54:00,33.6,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,17,BLK_17C,4,전면SAW,2,2025-06-15 10:39:28,2025-06-15 12:55:31,136.1,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,17,BLK_17C,4,TurnOver,3,2025-06-15 12:55:31,2025-06-15 13:09:55,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,17,BLK_17C,4,후면SAW,4,2025-06-15 13:09:55,2025-06-15 14:59:16,109.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,17,BLK_17C,4,NC,5,2025-06-15 14:59:16,2025-06-15 15:41:31,42.3,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,17,BLK_17C,4,베이36B 론지취부,6,2025-06-15 15:41:31,2025-06-15 16:35:31,54.0,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,17,BLK_17C,4,베이36B 론지용접,7,2025-06-15 16:35:31,2025-06-15 16:58:19,22.8,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,17,BLK_17C,4,베이36B 수정,8,2025-06-15 16:58:19,2025-06-15 17:30:43,32.4,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,5,BLK_5P,5,판계,1,2025-06-15 09:54:00,2025-06-15 10:24:00,30.0,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,5,BLK_5P,5,전면SAW,2,2025-06-15 12:55:31,2025-06-15 13:35:03,39.5,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,5,BLK_5P,5,TurnOver,3,2025-06-15 13:35:03,2025-06-15 13:49:27,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,5,BLK_5P,5,후면SAW,4,2025-06-15 14:59:16,2025-06-15 15:25:58,26.7,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,5,BLK_5P,5,NC,5,2025-06-15 15:41:31,2025-06-15 16:25:01,43.5,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,5,BLK_5P,5,베이35A 론지취부,6,2025-06-15 16:25:01,2025-06-15 17:48:25,83.4,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,5,BLK_5P,5,베이35A 론지용접,7,2025-06-15 17:48:25,2025-06-15 18:16:15,27.8,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,5,BLK_5P,5,베이35A 수정,8,2025-06-15 18:16:15,2025-06-15 19:07:08,50.9,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,77,BLK_77S,6,판계,1,2025-06-15 10:24:00,2025-06-15 11:18:00,54.0,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,77,BLK_77S,6,전면SAW,2,2025-06-15 13:35:03,2025-06-15 16:39:07,184.1,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,77,BLK_77S,6,TurnOver,3,2025-06-15 16:39:07,2025-06-15 16:53:31,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,77,BLK_77S,6,후면SAW,4,2025-06-15 16:53:31,2025-06-15 19:33:09,159.6,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,77,BLK_77S,6,NC,5,2025-06-15 19:33:09,2025-06-15 20:49:57,76.8,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,77,BLK_77S,6,베이36B 론지취부,6,2025-06-15 20:49:57,2025-06-15 22:09:09,79.2,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,77,BLK_77S,6,베이36B 론지용접,7,2025-06-15 22:09:09,2025-06-15 22:36:16,27.1,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,77,BLK_77S,6,베이36B 수정,8,2025-06-15 22:36:16,2025-06-15 23:24:30,48.2,36B,베이36B,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,13,BLK_13S,7,판계,1,2025-06-15 11:18:00,2025-06-15 12:03:36,45.6,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,13,BLK_13S,7,전면SAW,2,2025-06-15 16:39:07,2025-06-15 19:04:48,145.7,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,13,BLK_13S,7,TurnOver,3,2025-06-15 19:04:48,2025-06-15 19:19:12,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,13,BLK_13S,7,후면SAW,4,2025-06-15 19:33:09,2025-06-15 21:31:17,118.1,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,13,BLK_13S,7,NC,5,2025-06-15 21:31:17,2025-06-15 22:32:07,60.8,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,13,BLK_13S,7,베이35A 론지취부,6,2025-06-15 22:32:07,2025-06-16 00:45:55,133.8,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,13,BLK_13S,7,베이35A 론지용접,7,2025-06-16 00:45:55,2025-06-16 01:22:24,36.5,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,13,BLK_13S,7,베이35A 수정,8,2025-06-16 01:22:24,2025-06-16 02:44:57,82.6,35A,베이35A,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,57,BLK_57C,8,판계,1,2025-06-15 12:03:36,2025-06-15 12:18:00,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,57,BLK_57C,8,전면SAW,2,2025-06-15 19:04:48,2025-06-15 19:51:29,46.7,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,57,BLK_57C,8,TurnOver,3,2025-06-15 19:51:29,2025-06-15 20:05:53,14.4,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,57,BLK_57C,8,후면SAW,4,2025-06-15 21:31:17,2025-06-15 22:07:22,36.1,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,57,BLK_57C,8,NC,5,2025-06-15 22:32:07,2025-06-15 22:57:20,25.2,,공통,raw,
b90_heavy_work_r1,MSF,Medium (81-140),90,heavy_work,174.23333333333332,22,20250615,57,BLK_57C,8,베이36B 론지취부,6,2025-06-15 22:57:20,2025-06-15 23:38:44,41.4,36B,베이36B,raw,
