grid_case_id,method_label,block_id,block_name,sequence,process_name,process_index,start_time,end_time,duration_min,assigned_bay,machine_type
b90_overload_r1,SPT,56,BLK_56S,1,판계,1,2025-03-14 08:00:00,2025-03-14 08:22:00,22.0,,공통
b90_overload_r1,SPT,56,BLK_56S,1,전면SAW,2,2025-03-14 08:22:00,2025-03-14 09:12:16,50.3,,공통
b90_overload_r1,SPT,56,BLK_56S,1,TurnOver,3,2025-03-14 09:12:16,2025-03-14 09:25:28,13.2,,공통
b90_overload_r1,SPT,56,BLK_56S,1,후면SAW,4,2025-03-14 09:25:28,2025-03-14 10:08:23,42.9,,공통
b90_overload_r1,SPT,56,BLK_56S,1,NC,5,2025-03-14 10:08:23,2025-03-14 10:36:56,28.5,,공통
b90_overload_r1,SPT,56,BLK_56S,1,베이35A 론지취부,6,2025-03-14 10:36:56,2025-03-14 11:07:11,30.3,35A,베이35A
b90_overload_r1,SPT,56,BLK_56S,1,베이35A 론지용접,7,2025-03-14 11:07:11,2025-03-14 11:20:23,13.2,35A,베이35A
b90_overload_r1,SPT,56,BLK_56S,1,베이35A 수정,8,2025-03-14 11:20:23,2025-03-14 11:37:59,17.6,35A,베이35A
b90_overload_r1,SPT,46,BLK_46P,2,판계,1,2025-03-14 08:22:00,2025-03-14 08:58:18,36.3,,공통
b90_overload_r1,SPT,46,BLK_46P,2,전면SAW,2,2025-03-14 09:12:16,2025-03-14 10:59:15,107.0,,공통
b90_overload_r1,SPT,46,BLK_46P,2,TurnOver,3,2025-03-14 10:59:15,2025-03-14 11:12:27,13.2,,공통
b90_overload_r1,SPT,46,BLK_46P,2,후면SAW,4,2025-03-14 11:12:27,2025-03-14 12:36:31,84.1,,공통
b90_overload_r1,SPT,46,BLK_46P,2,NC,5,2025-03-14 12:36:31,2025-03-14 13:22:23,45.9,,공통
b90_overload_r1,SPT,46,BLK_46P,2,베이36B 론지취부,6,2025-03-14 13:22:23,2025-03-14 14:46:32,84.2,36B,베이36B
b90_overload_r1,SPT,46,BLK_46P,2,베이36B 론지용접,7,2025-03-14 14:46:32,2025-03-14 15:13:23,26.8,36B,베이36B
b90_overload_r1,SPT,46,BLK_46P,2,베이36B 수정,8,2025-03-14 15:13:23,2025-03-14 16:04:52,51.5,36B,베이36B
b90_overload_r1,SPT,36,BLK_36C,3,판계,1,2025-03-14 08:58:18,2025-03-14 09:36:48,38.5,,공통
b90_overload_r1,SPT,36,BLK_36C,3,전면SAW,2,2025-03-14 10:59:15,2025-03-14 14:27:31,208.3,,공통
b90_overload_r1,SPT,36,BLK_36C,3,TurnOver,3,2025-03-14 14:27:31,2025-03-14 14:40:43,13.2,,공통
b90_overload_r1,SPT,36,BLK_36C,3,후면SAW,4,2025-03-14 14:40:43,2025-03-14 17:16:28,155.8,,공통
b90_overload_r1,SPT,36,BLK_36C,3,NC,5,2025-03-14 17:16:28,2025-03-14 18:01:40,45.2,,공통
b90_overload_r1,SPT,36,BLK_36C,3,베이35A 론지취부,6,2025-03-14 18:01:40,2025-03-14 19:29:40,88.0,35A,베이35A
b90_overload_r1,SPT,36,BLK_36C,3,베이35A 론지용접,7,2025-03-14 19:29:40,2025-03-14 19:57:10,27.5,35A,베이35A
b90_overload_r1,SPT,36,BLK_36C,3,베이35A 수정,8,2025-03-14 19:57:10,2025-03-14 20:51:04,53.9,35A,베이35A
b90_overload_r1,SPT,66,BLK_66P,4,판계,1,2025-03-14 09:36:48,2025-03-14 09:58:48,22.0,,공통
b90_overload_r1,SPT,66,BLK_66P,4,전면SAW,2,2025-03-14 14:27:31,2025-03-14 15:06:59,39.5,,공통
b90_overload_r1,SPT,66,BLK_66P,4,TurnOver,3,2025-03-14 15:06:59,2025-03-14 15:20:11,13.2,,공통
b90_overload_r1,SPT,66,BLK_66P,4,후면SAW,4,2025-03-14 17:16:28,2025-03-14 17:45:12,28.7,,공통
b90_overload_r1,SPT,66,BLK_66P,4,NC,5,2025-03-14 18:01:40,2025-03-14 18:32:49,31.2,,공통
b90_overload_r1,SPT,66,BLK_66P,4,베이36B 론지취부,6,2025-03-14 18:32:49,2025-03-14 19:14:37,41.8,36B,베이36B
b90_overload_r1,SPT,66,BLK_66P,4,베이36B 론지용접,7,2025-03-14 19:14:37,2025-03-14 19:34:12,19.6,36B,베이36B
b90_overload_r1,SPT,66,BLK_66P,4,베이36B 수정,8,2025-03-14 19:34:12,2025-03-14 19:59:04,24.9,36B,베이36B
b90_overload_r1,SPT,57,BLK_57S,5,판계,1,2025-03-14 09:58:48,2025-03-14 10:12:00,13.2,,공통
b90_overload_r1,SPT,57,BLK_57S,5,전면SAW,2,2025-03-14 15:06:59,2025-03-14 16:17:43,70.7,,공통
b90_overload_r1,SPT,57,BLK_57S,5,TurnOver,3,2025-03-14 16:17:43,2025-03-14 16:30:55,13.2,,공통
b90_overload_r1,SPT,57,BLK_57S,5,후면SAW,4,2025-03-14 17:45:12,2025-03-14 18:55:01,69.8,,공통
b90_overload_r1,SPT,57,BLK_57S,5,NC,5,2025-03-14 18:55:01,2025-03-14 19:18:22,23.4,,공통
b90_overload_r1,SPT,57,BLK_57S,5,베이35A 론지취부,6,2025-03-14 19:29:40,2025-03-14 20:07:37,38.0,35A,베이35A
b90_overload_r1,SPT,57,BLK_57S,5,베이35A 론지용접,7,2025-03-14 20:07:37,2025-03-14 20:22:08,14.5,35A,베이35A
b90_overload_r1,SPT,57,BLK_57S,5,베이35A 수정,8,2025-03-14 20:51:04,2025-03-14 21:13:31,22.4,35A,베이35A
b90_overload_r1,SPT,86,BLK_86P,6,판계,1,2025-03-14 10:12:00,2025-03-14 10:45:00,33.0,,공통
b90_overload_r1,SPT,86,BLK_86P,6,전면SAW,2,2025-03-14 16:17:43,2025-03-14 16:50:52,33.2,,공통
b90_overload_r1,SPT,86,BLK_86P,6,TurnOver,3,2025-03-14 16:50:52,2025-03-14 17:04:04,13.2,,공통
b90_overload_r1,SPT,86,BLK_86P,6,후면SAW,4,2025-03-14 18:55:01,2025-03-14 19:15:24,20.4,,공통
b90_overload_r1,SPT,86,BLK_86P,6,NC,5,2025-03-14 19:18:22,2025-03-14 20:05:13,46.8,,공통
b90_overload_r1,SPT,86,BLK_86P,6,베이36B 론지취부,6,2025-03-14 20:05:13,2025-03-14 21:13:58,68.8,36B,베이36B
b90_overload_r1,SPT,86,BLK_86P,6,베이36B 론지용접,7,2025-03-14 21:13:58,2025-03-14 21:38:10,24.2,36B,베이36B
b90_overload_r1,SPT,86,BLK_86P,6,베이36B 수정,8,2025-03-14 21:38:10,2025-03-14 22:19:58,41.8,36B,베이36B
b90_overload_r1,SPT,37,BLK_37C,7,판계,1,2025-03-14 10:45:00,2025-03-14 11:18:00,33.0,,공통
b90_overload_r1,SPT,37,BLK_37C,7,전면SAW,2,2025-03-14 16:50:52,2025-03-14 17:22:24,31.5,,공통
b90_overload_r1,SPT,37,BLK_37C,7,TurnOver,3,2025-03-14 17:22:24,2025-03-14 17:35:36,13.2,,공통
b90_overload_r1,SPT,37,BLK_37C,7,후면SAW,4,2025-03-14 19:15:24,2025-03-14 19:33:39,18.2,,공통
b90_overload_r1,SPT,37,BLK_37C,7,NC,5,2025-03-14 20:05:13,2025-03-14 20:55:33,50.3,,공통
b90_overload_r1,SPT,37,BLK_37C,7,베이35A 론지취부,6,2025-03-14 20:55:33,2025-03-14 22:19:42,84.2,35A,베이35A
b90_overload_r1,SPT,37,BLK_37C,7,베이35A 론지용접,7,2025-03-14 22:19:42,2025-03-14 22:46:32,26.8,35A,베이35A
b90_overload_r1,SPT,37,BLK_37C,7,베이35A 수정,8,2025-03-14 22:46:32,2025-03-14 23:38:01,51.5,35A,베이35A
b90_overload_r1,SPT,67,BLK_67S,8,판계,1,2025-03-14 11:18:00,2025-03-14 11:48:48,30.8,,공통
b90_overload_r1,SPT,67,BLK_67S,8,전면SAW,2,2025-03-14 17:22:24,2025-03-14 18:54:35,92.2,,공통
b90_overload_r1,SPT,67,BLK_67S,8,TurnOver,3,2025-03-14 18:54:35,2025-03-14 19:07:47,13.2,,공통
b90_overload_r1,SPT,67,BLK_67S,8,후면SAW,4,2025-03-14 19:33:39,2025-03-14 20:44:14,70.6,,공통
b90_overload_r1,SPT,67,BLK_67S,8,NC,5,2025-03-14 20:55:33,2025-03-14 21:29:35,34.0,,공통
b90_overload_r1,SPT,67,BLK_67S,8,베이36B 론지취부,6,2025-03-14 21:29:35,2025-03-14 22:19:05,49.5,36B,베이36B
b90_overload_r1,SPT,67,BLK_67S,8,베이36B 론지용접,7,2025-03-14 22:19:05,2025-03-14 22:35:35,16.5,36B,베이36B
b90_overload_r1,SPT,67,BLK_67S,8,베이36B 수정,8,2025-03-14 22:35:35,2025-03-14 23:05:17,29.7,36B,베이36B
b90_overload_r1,SPT,76,BLK_76C,9,판계,1,2025-03-14 11:48:48,2025-03-14 12:21:48,33.0,,공통
b90_overload_r1,SPT,76,BLK_76C,9,전면SAW,2,2025-03-14 18:54:35,2025-03-14 19:37:57,43.4,,공통
b90_overload_r1,SPT,76,BLK_76C,9,TurnOver,3,2025-03-14 19:37:57,2025-03-14 19:51:09,13.2,,공통
b90_overload_r1,SPT,76,BLK_76C,9,후면SAW,4,2025-03-14 20:44:14,2025-03-14 21:18:04,33.8,,공통
b90_overload_r1,SPT,76,BLK_76C,9,NC,5,2025-03-14 21:29:35,2025-03-14 22:23:18,53.7,,공통
b90_overload_r1,SPT,76,BLK_76C,9,베이35A 론지취부,6,2025-03-14 22:23:18,2025-03-14 23:51:18,88.0,35A,베이35A
b90_overload_r1,SPT,76,BLK_76C,9,베이35A 론지용접,7,2025-03-14 23:51:18,2025-03-15 00:18:48,27.5,35A,베이35A
b90_overload_r1,SPT,76,BLK_76C,9,베이35A 수정,8,2025-03-15 00:18:48,2025-03-15 01:12:42,53.9,35A,베이35A
b90_overload_r1,SPT,47,BLK_47S,10,판계,1,2025-03-14 12:21:48,2025-03-14 12:58:06,36.3,,공통
b90_overload_r1,SPT,47,BLK_47S,10,전면SAW,2,2025-03-14 19:37:57,2025-03-14 21:33:38,115.7,,공통
b90_overload_r1,SPT,47,BLK_47S,10,TurnOver,3,2025-03-14 21:33:38,2025-03-14 21:46:50,13.2,,공통
b90_overload_r1,SPT,47,BLK_47S,10,후면SAW,4,2025-03-14 21:46:50,2025-03-14 23:18:50,92.0,,공통
b90_overload_r1,SPT,47,BLK_47S,10,NC,5,2025-03-14 23:18:50,2025-03-15 00:03:45,44.9,,공통
b90_overload_r1,SPT,47,BLK_47S,10,베이36B 론지취부,6,2025-03-15 00:03:45,2025-03-15 01:35:36,91.9,36B,베이36B
b90_overload_r1,SPT,47,BLK_47S,10,베이36B 론지용접,7,2025-03-15 01:35:36,2025-03-15 02:03:46,28.2,36B,베이36B
b90_overload_r1,SPT,47,BLK_47S,10,베이36B 수정,8,2025-03-15 02:03:46,2025-03-15 03:00:05,56.3,36B,베이36B
b90_overload_r1,SPT,5,BLK_5P,11,판계,1,2025-03-14 12:58:06,2025-03-14 13:11:18,13.2,,공통
